Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,-0.004761,14.9925,328.7280
2.0,-0.004294,14.9424,329.2280
3.0,-0.004835,14.8923,329.7280
4.0,-0.004900,14.8421,330.2280
5.0,-0.004676,14.7920,330.7280
6.0,-0.005257,14.7418,331.2280
7.0,-0.004752,14.6918,331.7280
8.0,-0.004190,14.6415,332.2280
9.0,-0.004641,14.5913,332.7280
10.0,-0.004379,14.5411,333.2280
11.0,-0.004750,14.4910,333.7280
12.0,-0.005173,14.4407,334.2280
13.0,-0.005520,14.3904,334.7280
14.0,-0.004603,14.3403,335.2280
15.0,-0.005005,14.2902,335.7280
16.0,-0.004607,14.2398,336.2280
17.0,-0.004713,14.1897,336.7280
18.0,-0.005090,14.1395,337.2280
19.0,-0.005474,14.0894,337.7280
20.0,-0.005280,14.0392,338.2280
21.0,-0.005404,13.9890,338.7280
22.0,-0.005372,13.9389,339.2280
23.0,-0.004934,13.8888,339.7280
24.0,-0.006312,13.8387,340.2280
25.0,-0.005438,13.7887,340.7280
26.0,-0.005667,13.7384,341.2280
27.0,-0.005422,13.6883,341.7280
28.0,-0.005858,13.6383,342.2280
29.0,-0.005682,13.5880,342.7280
30.0,-0.006414,13.5376,343.2280
31.0,-0.006898,13.4874,343.7280
32.0,-0.006855,13.4374,344.2280
33.0,-0.006537,13.3872,344.7280
34.0,-0.006726,13.3368,345.2280
35.0,-0.006277,13.2866,345.7280
36.0,-0.006743,13.2365,346.2280
37.0,-0.007274,13.1863,346.7280
38.0,-0.007677,13.1361,347.2280
39.0,-0.007479,13.0858,347.7280
40.0,-0.008021,13.0358,348.2280
41.0,-0.007479,12.9857,348.7280
42.0,-0.007621,12.9355,349.2280
43.0,-0.007931,12.8854,349.7280
44.0,-0.007799,12.8352,350.2280
45.0,-0.008867,12.7852,350.7280
46.0,-0.008662,12.7351,351.2280
47.0,-0.009103,12.6848,351.7280
48.0,-0.009567,12.6346,352.2280
49.0,-0.009615,12.5845,352.7280
50.0,-0.010340,12.5343,353.2280
51.0,-0.011596,12.4840,353.7280
52.0,-0.011374,12.4338,354.2280
53.0,-0.013137,12.3836,354.7280
54.0,-0.012770,12.3334,355.2280
55.0,-0.011188,12.2832,355.7280
56.0,-0.005699,12.2329,356.2280
57.0,0.007499,12.1828,356.7280
58.0,0.030379,12.1327,357.2280
59.0,0.070629,12.0826,357.7280
60.0,0.126020,12.0324,358.2280
61.0,0.203525,11.9824,358.7280
62.0,0.303598,11.9323,359.2280
63.0,0.433536,11.8822,359.7280
64.0,0.610545,11.8322,360.2280
65.0,0.787567,11.7821,360.7280
66.0,0.969334,11.7323,361.2280
67.0,1.163679,11.6821,361.7280
68.0,1.375557,11.6320,362.2280
69.0,1.610786,11.5819,362.7280
70.0,1.866396,11.5320,363.2280
71.0,2.155328,11.4818,363.7280
72.0,2.462702,11.4318,364.2280
73.0,2.823983,11.3818,364.7280
74.0,3.208433,11.3319,365.2280
75.0,3.616980,11.2818,365.7280
