Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.003549,14.9908,263.0860
2.0,0.002960,14.9408,263.5860
3.0,0.002542,14.8908,264.0860
4.0,0.002846,14.8406,264.5860
5.0,0.002216,14.7904,265.0860
6.0,0.002861,14.7402,265.5860
7.0,0.002133,14.6901,266.0860
8.0,0.002294,14.6400,266.5860
9.0,0.002322,14.5896,267.0860
10.0,0.002607,14.5395,267.5860
11.0,0.002939,14.4893,268.0860
12.0,0.002397,14.4390,268.5860
13.0,0.002374,14.3888,269.0860
14.0,0.002149,14.3386,269.5860
15.0,0.002655,14.2884,270.0860
16.0,0.002320,14.2382,270.5860
17.0,0.001771,14.1880,271.0860
18.0,0.002173,14.1378,271.5860
19.0,0.001732,14.0877,272.0860
20.0,0.001012,14.0377,272.5860
21.0,0.001382,13.9875,273.0860
22.0,0.001090,13.9374,273.5860
23.0,0.000810,13.8871,274.0860
24.0,0.001158,13.8372,274.5860
25.0,0.001395,13.7870,275.0860
26.0,0.001022,13.7368,275.5860
27.0,0.001189,13.6867,276.0860
28.0,0.000989,13.6365,276.5860
29.0,0.000438,13.5863,277.0860
30.0,0.001508,13.5361,277.5860
31.0,0.001191,13.4858,278.0860
32.0,0.000988,13.4356,278.5860
33.0,0.001513,13.3853,279.0860
34.0,-0.000484,13.3351,279.5860
35.0,0.001080,13.2849,280.0860
36.0,0.000500,13.2347,280.5860
37.0,0.001057,13.1847,281.0860
38.0,0.002042,13.1344,281.5860
39.0,0.001155,13.0843,282.0860
40.0,0.000473,13.0341,282.5860
41.0,0.000878,12.9841,283.0860
42.0,0.001888,12.9339,283.5860
43.0,0.001084,12.8838,284.0860
44.0,0.000220,12.8336,284.5860
45.0,-0.000005,12.7837,285.0860
46.0,-0.000317,12.7334,285.5860
47.0,-0.000001,12.6832,286.0860
48.0,-0.000532,12.6330,286.5860
49.0,0.000224,12.5829,287.0860
50.0,-0.000752,12.5325,287.5860
51.0,-0.002128,12.4825,288.0860
52.0,-0.001909,12.4321,288.5860
53.0,-0.001753,12.3820,289.0860
54.0,-0.002297,12.3318,289.5860
55.0,-0.000751,12.2816,290.0860
56.0,0.003309,12.2312,290.5860
57.0,0.013801,12.1813,291.0860
58.0,0.046064,12.1311,291.5860
59.0,0.081871,12.0810,292.0860
60.0,0.149590,12.0308,292.5860
61.0,0.204400,11.9807,293.0860
62.0,0.302070,11.9307,293.5860
63.0,0.430356,11.8807,294.0860
64.0,0.607322,11.8305,294.5860
65.0,0.786056,11.7806,295.0860
66.0,0.967750,11.7305,295.5860
67.0,1.153247,11.6805,296.0860
68.0,1.357091,11.6304,296.5860
69.0,1.581489,11.5802,297.0860
70.0,1.832514,11.5303,297.5860
71.0,2.121635,11.4802,298.0860
72.0,2.428079,11.4301,298.5860
73.0,2.789169,11.3801,299.0860
74.0,3.177181,11.3301,299.5860
75.0,3.589680,11.2802,300.0860
