Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.355407,11.4157,984.4720
2.0,4.329561,11.4157,984.9720
3.0,4.308855,11.4157,985.4720
4.0,4.294096,11.4157,985.9720
5.0,4.285741,11.4157,986.4720
6.0,4.278181,11.4157,986.9720
7.0,4.272407,11.4157,987.4720
8.0,4.267120,11.4156,987.9720
9.0,4.261108,11.4156,988.4720
10.0,4.255571,11.4156,988.9720
11.0,4.253021,11.4156,989.4720
12.0,4.248893,11.4156,989.9720
13.0,4.245299,11.4156,990.4720
14.0,4.242151,11.4156,990.9720
15.0,4.239797,11.4156,991.4720
16.0,4.237998,11.4156,991.9720
17.0,4.235796,11.4156,992.4720
18.0,4.233938,11.4156,992.9720
19.0,4.232596,11.4156,993.4720
20.0,4.230592,11.4156,993.9720
21.0,4.230740,11.4156,994.4720
22.0,4.229256,11.4156,994.9720
23.0,4.228243,11.4156,995.4720
24.0,4.226995,11.4156,995.9720
25.0,4.224884,11.4156,996.4720
26.0,4.223691,11.4156,996.9720
27.0,4.223028,11.4156,997.4720
28.0,4.221888,11.4156,997.9720
29.0,4.220950,11.4156,998.4720
30.0,4.219861,11.4156,998.9720
31.0,4.219268,11.4156,999.4720
32.0,4.217850,11.4156,999.9720
33.0,4.216953,11.4156,1000.4720
34.0,4.215474,11.4156,1000.9720
35.0,4.215612,11.4156,1001.4720
36.0,4.215500,11.4156,1001.9720
37.0,4.214030,11.4156,1002.4720
38.0,4.213238,11.4156,1002.9720
39.0,4.211457,11.4156,1003.4720
40.0,4.211267,11.4156,1003.9720
