Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,-0.002047,14.9927,440.1930
2.0,-0.002212,14.9427,440.6930
3.0,-0.002241,14.8925,441.1930
4.0,-0.002754,14.8424,441.6930
5.0,-0.002634,14.7923,442.1930
6.0,-0.002178,14.7422,442.6930
7.0,-0.001786,14.6921,443.1930
8.0,-0.002031,14.6419,443.6930
9.0,-0.002894,14.5916,444.1930
10.0,-0.002292,14.5415,444.6930
11.0,-0.002234,14.4912,445.1930
12.0,-0.001976,14.4410,445.6930
13.0,-0.002797,14.3908,446.1930
14.0,-0.002229,14.3406,446.6930
15.0,-0.002463,14.2904,447.1930
16.0,-0.002527,14.2401,447.6930
17.0,-0.002460,14.1899,448.1930
18.0,-0.003029,14.1398,448.6930
19.0,-0.002500,14.0896,449.1930
20.0,-0.002564,14.0395,449.6930
21.0,-0.002228,13.9893,450.1930
22.0,-0.003243,13.9392,450.6930
23.0,-0.002447,13.8892,451.1930
24.0,-0.002538,13.8390,451.6930
25.0,-0.002109,13.7888,452.1930
26.0,-0.002833,13.7387,452.6930
27.0,-0.002941,13.6887,453.1930
28.0,-0.002844,13.6385,453.6930
29.0,-0.002719,13.5881,454.1930
30.0,-0.002699,13.5380,454.6930
31.0,-0.002957,13.4879,455.1930
32.0,-0.002589,13.4377,455.6930
33.0,-0.002765,13.3873,456.1930
34.0,-0.003698,13.3371,456.6930
35.0,-0.002429,13.2870,457.1930
36.0,-0.002649,13.2368,457.6930
37.0,-0.003082,13.1864,458.1930
38.0,-0.002897,13.1363,458.6930
39.0,-0.002811,13.0862,459.1930
40.0,-0.002924,13.0361,459.6930
41.0,-0.003029,12.9860,460.1930
42.0,-0.003214,12.9357,460.6930
43.0,-0.003479,12.8856,461.1930
44.0,-0.002963,12.8357,461.6930
45.0,-0.003917,12.7854,462.1930
46.0,-0.003337,12.7353,462.6930
47.0,-0.003946,12.6850,463.1930
48.0,-0.004189,12.6351,463.6930
49.0,-0.005048,12.5849,464.1930
50.0,-0.003675,12.5345,464.6930
51.0,0.021253,12.4843,465.1930
52.0,0.105655,12.4343,465.6930
53.0,0.233977,12.3841,466.1930
54.0,0.372825,12.3339,466.6930
55.0,0.535389,12.2837,467.1930
56.0,0.696138,12.2337,467.6930
57.0,0.837834,12.1836,468.1930
58.0,0.962743,12.1335,468.6930
59.0,1.066639,12.0834,469.1930
60.0,1.154175,12.0332,469.6930
61.0,1.265170,11.9833,470.1930
62.0,1.432750,11.9332,470.6930
63.0,1.649751,11.8832,471.1930
64.0,1.898883,11.8331,471.6930
65.0,2.163952,11.7834,472.1930
66.0,2.429745,11.7333,472.6930
67.0,2.722999,11.6834,473.1930
68.0,3.026169,11.6333,473.6930
69.0,3.339908,11.5834,474.1930
70.0,3.664089,11.5333,474.6930
71.0,3.989330,11.4833,475.1930
