Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,-0.003539,14.9934,569.0870
2.0,-0.003478,14.9432,569.5870
3.0,-0.003817,14.8931,570.0870
4.0,-0.003998,14.8431,570.5870
5.0,-0.003709,14.7929,571.0870
6.0,-0.003711,14.7428,571.5870
7.0,-0.004168,14.6925,572.0870
8.0,-0.004105,14.6425,572.5870
9.0,-0.003822,14.5923,573.0870
10.0,-0.003821,14.5420,573.5870
11.0,-0.004113,14.4918,574.0870
12.0,-0.003934,14.4416,574.5870
13.0,-0.003853,14.3914,575.0870
14.0,-0.004227,14.3412,575.5870
15.0,-0.003592,14.2909,576.0870
16.0,-0.003190,14.2407,576.5870
17.0,-0.003389,14.1906,577.0870
18.0,-0.003721,14.1404,577.5870
19.0,-0.003811,14.0902,578.0870
20.0,-0.003797,14.0400,578.5870
21.0,-0.004047,13.9900,579.0870
22.0,-0.004281,13.9398,579.5870
23.0,-0.004506,13.8897,580.0870
24.0,-0.004971,13.8395,580.5870
25.0,-0.004328,13.7896,581.0870
26.0,-0.004649,13.7394,581.5870
27.0,-0.004763,13.6892,582.0870
28.0,-0.005353,13.6389,582.5870
29.0,-0.005212,13.5888,583.0870
30.0,-0.005705,13.5386,583.5870
31.0,-0.005662,13.4884,584.0870
32.0,-0.005827,13.4381,584.5870
33.0,-0.005451,13.3879,585.0870
34.0,-0.005953,13.3377,585.5870
35.0,-0.005795,13.2875,586.0870
36.0,-0.006316,13.2373,586.5870
37.0,-0.006357,13.1871,587.0870
38.0,-0.006796,13.1369,587.5870
39.0,-0.007157,13.0868,588.0870
40.0,-0.006970,13.0366,588.5870
41.0,-0.007171,12.9865,589.0870
42.0,-0.007769,12.9365,589.5870
43.0,-0.008007,12.8863,590.0870
44.0,-0.008088,12.8361,590.5870
45.0,-0.008256,12.7860,591.0870
46.0,-0.009569,12.7360,591.5870
47.0,-0.010125,12.6859,592.0870
48.0,-0.011741,12.6355,592.5870
49.0,-0.012323,12.5853,593.0870
50.0,-0.012174,12.5352,593.5870
51.0,0.021078,12.4850,594.0870
52.0,0.113870,12.4347,594.5870
53.0,0.244739,12.3846,595.0870
54.0,0.384303,12.3344,595.5870
55.0,0.548273,12.2845,596.0870
56.0,0.705571,12.2342,596.5870
57.0,0.845601,12.1842,597.0870
58.0,0.967152,12.1340,597.5870
59.0,1.063823,12.0841,598.0870
60.0,1.147687,12.0340,598.5870
61.0,1.242958,11.9837,599.0870
62.0,1.406102,11.9337,599.5870
63.0,1.614770,11.8839,600.0870
64.0,1.858994,11.8338,600.5870
65.0,2.126559,11.7839,601.0870
66.0,2.387103,11.7338,601.5870
67.0,2.681718,11.6840,602.0870
68.0,2.985534,11.6340,602.5870
69.0,3.297406,11.5839,603.0870
70.0,3.620650,11.5338,603.5870
71.0,3.948854,11.4838,604.0870
