Point No.,Normal Force [N],Gap [mm],Time [s]
1,4.103461,12.0655,126.3930
2,4.103778,12.0655,126.3980
3,4.104284,12.0655,126.4030
4,4.104073,12.0655,126.4080
5,4.103007,12.0662,126.4130
6,4.102315,12.0662,126.4180
7,4.101357,12.0662,126.4230
8,4.098401,12.0662,126.4280
9,4.095459,12.0680,126.4320
10,4.089466,12.0680,126.4370
11,4.074726,12.0724,126.4420
12,4.065639,12.0724,126.4470
13,4.046430,12.0768,126.4520
14,4.034173,12.0768,126.4570
15,4.014417,12.0817,126.4620
16,3.991953,12.0817,126.4680
17,3.975661,12.0867,126.4730
18,3.948623,12.0867,126.4780
19,3.931504,12.0917,126.4830
20,3.904615,12.0917,126.4880
21,3.888501,12.0967,126.4930
22,3.862245,12.0967,126.4980
23,3.845462,12.1016,126.5030
24,3.819163,12.1016,126.5080
25,3.804597,12.1066,126.5130
26,3.777990,12.1066,126.5180
27,3.762067,12.1116,126.5230
28,3.736442,12.1116,126.5280
29,3.722330,12.1166,126.5330
30,3.703325,12.1166,126.5370
31,3.683512,12.1215,126.5420
32,3.664457,12.1215,126.5470
33,3.646804,12.1265,126.5520
34,3.627014,12.1265,126.5570
35,3.605930,12.1315,126.5620
36,3.585930,12.1315,126.5670
37,3.569381,12.1365,126.5720
38,3.550657,12.1365,126.5770
39,3.532650,12.1415,126.5820
40,3.513276,12.1415,126.5870
41,3.496334,12.1458,126.5920
42,3.476742,12.1458,126.5970
43,3.460847,12.1514,126.6020
44,3.441024,12.1514,126.6070
45,3.426061,12.1564,126.6120
46,3.407187,12.1564,126.6170
47,3.389830,12.1614,126.6220
48,3.370447,12.1614,126.6270
49,3.355193,12.1664,126.6320
50,3.336348,12.1663,126.6370
51,3.320515,12.1713,126.6420
52,3.300454,12.1713,126.6470
53,3.287249,12.1763,126.6520
54,3.268801,12.1763,126.6570
55,3.254122,12.1813,126.6620
56,3.236297,12.1813,126.6670
57,3.224149,12.1857,126.6720
58,3.205570,12.1856,126.6770
59,3.190128,12.1913,126.6820
60,3.170634,12.1912,126.6870
61,3.157260,12.1962,126.6920
62,3.138527,12.1962,126.6970
63,3.124209,12.2012,126.7020
64,3.106341,12.2012,126.7070
65,3.094385,12.2056,126.7120
66,3.076180,12.2056,126.7170
67,3.061777,12.2112,126.7220
68,3.042324,12.2112,126.7270
69,3.030396,12.2162,126.7320
70,3.012257,12.2162,126.7370
71,2.999668,12.2211,126.7420
72,2.981772,12.2211,126.7470
73,2.971242,12.2255,126.7520
74,2.953122,12.2255,126.7570
75,2.939668,12.2311,126.7620
76,2.920712,12.2311,126.7670
77,2.910765,12.2361,126.7720
78,2.893430,12.2361,126.7770
79,2.880094,12.2411,126.7820
80,2.861529,12.2411,126.7870
81,2.850699,12.2454,126.7920
82,2.832649,12.2454,126.7970
83,2.821071,12.2510,126.8020
84,2.802788,12.2510,126.8070
85,2.793370,12.2560,126.8120
86,2.776736,12.2560,126.8170
87,2.764639,12.2610,126.8220
88,2.746435,12.2610,126.8270
89,2.737228,12.2660,126.8320
90,2.720380,12.2660,126.8370
91,2.708651,12.2710,126.8420
92,2.690470,12.2710,126.8470
93,2.682105,12.2760,126.8520
94,2.665668,12.2759,126.8570
95,2.654473,12.2809,126.8620
96,2.637255,12.2809,126.8670
97,2.626912,12.2853,126.8720
98,2.609446,12.2853,126.8770
99,2.598373,12.2909,126.8820
100,2.581001,12.2909,126.8870
101,2.573463,12.2959,126.8920
102,2.557877,12.2959,126.8970
103,2.547768,12.3009,126.9020
104,2.531621,12.3009,126.9070
105,2.523787,12.3052,126.9120
106,2.507248,12.3052,126.9170
107,2.496255,12.3108,126.9220
108,2.479126,12.3108,126.9270
109,2.471649,12.3158,126.9320
110,2.456133,12.3158,126.9370
111,2.446233,12.3208,126.9420
112,2.429586,12.3208,126.9470
113,2.420608,12.3252,126.9520
114,2.404480,12.3252,126.9570
115,2.394505,12.3308,126.9620
116,2.378658,12.3308,126.9670
117,2.372869,12.3358,126.9720
118,2.359079,12.3358,126.9770
119,2.350162,12.3408,126.9820
120,2.335385,12.3408,126.9870
121,2.328950,12.3451,126.9920
122,2.315067,12.3451,126.9970
123,2.306897,12.3507,127.0020
124,2.292832,12.3507,127.0070
125,2.286944,12.3557,127.0120
126,2.273108,12.3557,127.0170
127,2.263559,12.3607,127.0220
128,2.249507,12.3607,127.0270
129,2.241978,12.3657,127.0320
130,2.227749,12.3657,127.0370
131,2.218911,12.3707,127.0420
132,2.203727,12.3707,127.0470
133,2.197559,12.3757,127.0520
134,2.184503,12.3757,127.0570
135,2.177989,12.3807,127.0620
136,2.164784,12.3807,127.0670
137,2.160454,12.3850,127.0720
138,2.147042,12.3850,127.0770
139,2.140875,12.3906,127.0820
140,2.125925,12.3906,127.0870
141,2.120370,12.3956,127.0920
142,2.105934,12.3956,127.0970
143,2.097471,12.4006,127.1020
144,2.082207,12.4006,127.1070
145,2.075619,12.4056,127.1120
146,2.061132,12.4056,127.1170
147,2.054660,12.4106,127.1220
148,2.039490,12.4106,127.1270
149,2.033809,12.4156,127.1320
150,2.019205,12.4156,127.1370
151,2.011653,12.4206,127.1420
152,1.996675,12.4206,127.1470
153,1.990508,12.4249,127.1520
154,1.976208,12.4249,127.1570
155,1.968866,12.4305,127.1620
156,1.953337,12.4305,127.1670
157,1.948487,12.4355,127.1720
158,1.934501,12.4355,127.1770
159,1.926921,12.4405,127.1820
160,1.912275,12.4405,127.1870
161,1.907332,12.4449,127.1920
162,1.893986,12.4449,127.1970
163,1.887248,12.4505,127.2020
164,1.872308,12.4505,127.2070
165,1.868081,12.4555,127.2120
166,1.854183,12.4555,127.2170
167,1.846392,12.4605,127.2220
