Point No.,Normal Force [N],Gap [mm],Time [s]
1,9.003938,21.8172,1.262E+04
2,9.000528,21.8172,1.262E+04
3,8.999415,21.8172,1.262E+04
4,8.985855,21.8172,1.262E+04
5,8.987656,21.8178,1.262E+04
6,8.976114,21.8178,1.262E+04
7,8.931342,21.8184,1.262E+04
8,8.863108,21.8184,1.262E+04
9,8.800224,21.8208,1.262E+04
10,8.754249,21.8208,1.262E+04
11,8.590760,21.8238,1.262E+04
12,8.514235,21.8238,1.262E+04
13,8.324929,21.8274,1.262E+04
14,8.186332,21.8273,1.262E+04
15,8.008736,21.8322,1.262E+04
16,7.876704,21.8371,1.262E+04
17,7.744541,21.8371,1.262E+04
18,7.583517,21.8420,1.262E+04
19,7.481100,21.8419,1.262E+04
20,7.332477,21.8468,1.262E+04
21,7.214952,21.8468,1.262E+04
22,7.059440,21.8517,1.262E+04
23,6.955105,21.8516,1.262E+04
24,6.832711,21.8565,1.262E+04
25,6.711262,21.8565,1.262E+04
26,6.576353,21.8614,1.262E+04
27,6.480707,21.8613,1.262E+04
28,6.375222,21.8663,1.262E+04
29,6.287683,21.8662,1.262E+04
30,6.172135,21.8661,1.262E+04
31,6.116779,21.8711,1.262E+04
32,6.034365,21.8711,1.262E+04
33,5.965093,21.8760,1.262E+04
34,5.848142,21.8760,1.262E+04
35,5.804490,21.8809,1.262E+04
36,5.707436,21.8809,1.262E+04
37,5.657532,21.8852,1.262E+04
38,5.530675,21.8851,1.262E+04
39,5.498799,21.8907,1.262E+04
40,5.403414,21.8907,1.262E+04
41,5.348320,21.8957,1.262E+04
42,5.243279,21.8956,1.262E+04
43,5.192412,21.9006,1.262E+04
44,5.086534,21.9005,1.262E+04
45,5.045794,21.9055,1.262E+04
46,4.929961,21.9054,1.262E+04
47,4.942128,21.9104,1.262E+04
48,4.862264,21.9104,1.262E+04
49,4.850307,21.9147,1.262E+04
50,4.743695,21.9147,1.262E+04
51,4.725079,21.9197,1.262E+04
52,4.628184,21.9196,1.262E+04
53,4.607614,21.9246,1.262E+04
54,4.512187,21.9245,1.262E+04
55,4.548744,21.9302,1.262E+04
56,4.460707,21.9301,1.262E+04
57,4.454094,21.9345,1.262E+04
58,4.361366,21.9344,1.262E+04
59,4.353857,21.9401,1.262E+04
60,4.261202,21.9400,1.262E+04
61,4.258237,21.9450,1.262E+04
62,4.159514,21.9450,1.262E+04
63,4.182543,21.9500,1.262E+04
64,4.093234,21.9499,1.262E+04
65,4.104270,21.9543,1.262E+04
66,4.034038,21.9543,1.262E+04
67,4.044466,21.9593,1.262E+04
68,3.957134,21.9592,1.262E+04
69,3.981249,21.9642,1.262E+04
70,3.876867,21.9642,1.262E+04
71,3.925387,21.9692,1.262E+04
72,3.846575,21.9691,1.262E+04
73,3.892626,21.9742,1.262E+04
74,3.813145,21.9741,1.262E+04
75,3.863648,21.9792,1.262E+04
76,3.772125,21.9791,1.262E+04
77,3.820281,21.9848,1.262E+04
78,3.710255,21.9847,1.262E+04
79,3.756867,21.9897,1.262E+04
80,3.651059,21.9897,1.262E+04
81,3.680412,21.9940,1.262E+04
82,3.579977,21.9940,1.262E+04
83,3.621609,21.9990,1.262E+04
84,3.517438,21.9990,1.262E+04
85,3.562923,22.0040,1.262E+04
86,3.449395,22.0039,1.262E+04
87,3.523545,22.0090,1.262E+04
88,3.430026,22.0089,1.262E+04
89,3.488637,22.0139,1.262E+04
90,3.400038,22.0139,1.262E+04
91,3.484906,22.0189,1.262E+04
92,3.401454,22.0189,1.262E+04
93,3.479636,22.0239,1.262E+04
94,3.374337,22.0239,1.262E+04
95,3.465499,22.0295,1.262E+04
96,3.370793,22.0295,1.262E+04
97,3.439771,22.0345,1.262E+04
98,3.354609,22.0345,1.262E+04
99,3.423994,22.0389,1.262E+04
100,3.324180,22.0388,1.262E+04
101,3.404826,22.0439,1.262E+04
102,3.301081,22.0438,1.262E+04
103,3.390512,22.0489,1.262E+04
104,3.303091,22.0488,1.262E+04
105,3.379705,22.0539,1.262E+04
106,3.288380,22.0538,1.262E+04
