Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.304980,11.2075,165.6220
2.0,4.280578,11.2075,166.1220
3.0,4.260197,11.2075,166.6220
4.0,4.248193,11.2075,167.1220
5.0,4.239988,11.2075,167.6220
6.0,4.233829,11.2075,168.1220
7.0,4.227519,11.2075,168.6220
8.0,4.222673,11.2075,169.1220
9.0,4.216476,11.2075,169.6220
10.0,4.210567,11.2075,170.1220
11.0,4.207507,11.2075,170.6220
12.0,4.203315,11.2075,171.1220
13.0,4.199712,11.2075,171.6220
14.0,4.196520,11.2075,172.1220
15.0,4.195122,11.2075,172.6220
16.0,4.193533,11.2075,173.1220
17.0,4.191322,11.2075,173.6220
18.0,4.189784,11.2075,174.1220
19.0,4.188539,11.2075,174.6220
20.0,4.187430,11.2075,175.1220
21.0,4.185508,11.2075,175.6220
22.0,4.184562,11.2075,176.1220
23.0,4.183006,11.2075,176.6220
24.0,4.182247,11.2075,177.1220
25.0,4.181147,11.2075,177.6220
26.0,4.180249,11.2075,178.1220
27.0,4.178850,11.2075,178.6220
28.0,4.178600,11.2075,179.1220
29.0,4.177269,11.2075,179.6220
30.0,4.176100,11.2075,180.1220
31.0,4.175546,11.2075,180.6220
32.0,4.174434,11.2075,181.1220
33.0,4.174176,11.2075,181.6220
34.0,4.172667,11.2075,182.1220
35.0,4.172467,11.2075,182.6220
36.0,4.171870,11.2075,183.1220
37.0,4.170722,11.2075,183.6220
38.0,4.169264,11.2075,184.1220
39.0,4.169055,11.2075,184.6220
40.0,4.168308,11.2075,185.1220
