Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.192643,12.0931,2815.7890
2.0,4.165013,12.0931,2816.2890
3.0,4.143063,12.0931,2816.7890
4.0,4.126082,12.0931,2817.2890
5.0,4.115843,12.0931,2817.7890
6.0,4.107965,12.0931,2818.2890
7.0,4.100441,12.0931,2818.7890
8.0,4.092931,12.0931,2819.2890
9.0,4.086444,12.0930,2819.7890
10.0,4.079589,12.0930,2820.2890
11.0,4.073318,12.0930,2820.7890
12.0,4.070004,12.0930,2821.2890
13.0,4.065574,12.0930,2821.7890
14.0,4.063025,12.0930,2822.2890
15.0,4.059359,12.0930,2822.7890
16.0,4.056605,12.0930,2823.2890
17.0,4.054433,12.0930,2823.7890
18.0,4.051065,12.0930,2824.2890
19.0,4.048592,12.0930,2824.7890
20.0,4.046449,12.0930,2825.2890
21.0,4.044582,12.0930,2825.7890
22.0,4.042744,12.0930,2826.2890
23.0,4.041052,12.0930,2826.7890
24.0,4.039837,12.0930,2827.2890
25.0,4.038433,12.0930,2827.7890
26.0,4.036966,12.0930,2828.2890
27.0,4.036147,12.0930,2828.7890
28.0,4.035396,12.0930,2829.2890
29.0,4.033986,12.0930,2829.7890
30.0,4.033597,12.0930,2830.2890
31.0,4.031916,12.0930,2830.7890
32.0,4.031694,12.0930,2831.2890
33.0,4.030595,12.0930,2831.7890
34.0,4.029262,12.0930,2832.2890
35.0,4.028710,12.0930,2832.7890
36.0,4.027746,12.0930,2833.2890
37.0,4.026097,12.0930,2833.7890
38.0,4.025466,12.0930,2834.2890
39.0,4.025340,12.0930,2834.7890
40.0,4.023923,12.0930,2835.2890
