Data stamp = , 24-04-2022 20:06:11 481

Calibration Values: 
Slope = , 26.54  , g/V
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,3.4528 ,3.29999 ,0.62384 ,6.12109 
2 ,6.7450 ,3.09996 ,0.63410 ,6.22183 
3 ,10.0491 ,2.89992 ,0.62042 ,6.08752 
4 ,13.3879 ,2.69989 ,0.63753 ,6.25541 
5 ,16.7019 ,2.49985 ,0.63068 ,6.18825 
6 ,20.0055 ,2.29982 ,0.63410 ,6.22183 
7 ,23.2966 ,2.09978 ,0.60673 ,5.95320 
8 ,26.6063 ,1.89975 ,0.61699 ,6.05394 
9 ,29.9083 ,1.69971 ,0.62042 ,6.08752 
10 ,33.2280 ,1.49968 ,0.95579 ,9.37819 
11 ,35.5480 ,1.39966 ,1.43489 ,14.07915 
12 ,37.2793 ,1.34964 ,1.60600 ,15.75807 
13 ,38.9882 ,1.29962 ,1.77711 ,17.43698 
14 ,40.7171 ,1.24959 ,2.02008 ,19.82104 
15 ,42.4385 ,1.19960 ,2.15012 ,21.09702 
16 ,44.1665 ,1.14957 ,2.32808 ,22.84309 
17 ,45.8879 ,1.09958 ,2.51972 ,24.72347 
18 ,47.6177 ,1.04956 ,2.60869 ,25.59651 
19 ,49.3465 ,0.99953 ,2.93722 ,28.82003 
20 ,51.1003 ,0.94951 ,3.30682 ,32.44648 
21 ,52.8145 ,0.89949 ,3.71405 ,36.44230 
22 ,54.5289 ,0.84946 ,4.12129 ,40.43812 
23 ,56.2379 ,0.79944 ,4.48746 ,44.03100 
24 ,57.9577 ,0.74942 ,4.95972 ,48.66480 
25 ,59.6893 ,0.69939 ,5.41487 ,53.13072 

Plateau measurements: 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.01 ,0.6994 ,5.429 ,53.3 
2 ,0.39 ,0.6994 ,5.405 ,53.0 
3 ,0.74 ,0.6994 ,5.422 ,53.2 
4 ,1.13 ,0.6994 ,5.398 ,53.0 
5 ,1.50 ,0.6994 ,5.387 ,52.9 
6 ,1.87 ,0.6994 ,5.401 ,53.0 
7 ,2.24 ,0.6994 ,5.384 ,52.8 
8 ,2.63 ,0.6994 ,5.374 ,52.7 
9 ,3.02 ,0.6994 ,5.374 ,52.7 
10 ,3.40 ,0.6994 ,5.401 ,53.0 
11 ,3.78 ,0.6994 ,5.387 ,52.9 
12 ,4.16 ,0.6994 ,5.374 ,52.7 
13 ,4.55 ,0.6994 ,5.370 ,52.7 
14 ,4.93 ,0.6994 ,5.394 ,52.9 
15 ,5.31 ,0.6994 ,5.381 ,52.8 
16 ,5.68 ,0.6994 ,5.377 ,52.8 
17 ,6.05 ,0.6994 ,5.360 ,52.6 
18 ,6.45 ,0.6994 ,5.381 ,52.8 
19 ,6.83 ,0.6994 ,5.377 ,52.8 
20 ,7.19 ,0.6994 ,5.384 ,52.8 
21 ,7.55 ,0.6994 ,5.370 ,52.7 
22 ,7.93 ,0.6994 ,5.360 ,52.6 
23 ,8.29 ,0.6994 ,5.367 ,52.7 
24 ,8.66 ,0.6994 ,5.357 ,52.6 
25 ,9.05 ,0.6994 ,5.357 ,52.6 
26 ,9.43 ,0.6994 ,5.360 ,52.6 
27 ,9.81 ,0.6994 ,5.370 ,52.7 
28 ,10.17 ,0.6994 ,5.350 ,52.5 
29 ,10.57 ,0.6994 ,5.357 ,52.6 
30 ,10.98 ,0.6994 ,5.357 ,52.6 
31 ,11.35 ,0.6994 ,5.346 ,52.5 
32 ,11.74 ,0.6994 ,5.367 ,52.7 
33 ,12.12 ,0.6994 ,5.360 ,52.6 
34 ,12.47 ,0.6994 ,5.377 ,52.8 
35 ,12.85 ,0.6994 ,5.346 ,52.5 
36 ,13.21 ,0.6994 ,5.364 ,52.6 
37 ,13.57 ,0.6994 ,5.370 ,52.7 
38 ,13.93 ,0.6994 ,5.364 ,52.6 
39 ,14.32 ,0.6994 ,5.343 ,52.4 
40 ,14.69 ,0.6994 ,5.353 ,52.5 
41 ,15.06 ,0.6994 ,5.360 ,52.6 
42 ,15.44 ,0.6994 ,5.360 ,52.6 
43 ,15.82 ,0.6994 ,5.343 ,52.4 
44 ,16.18 ,0.6994 ,5.350 ,52.5 
45 ,16.55 ,0.6994 ,5.346 ,52.5 
46 ,16.93 ,0.6994 ,5.364 ,52.6 
47 ,17.31 ,0.6994 ,5.360 ,52.6 
48 ,17.71 ,0.6994 ,5.346 ,52.5 
49 ,18.08 ,0.6994 ,5.346 ,52.5 
50 ,18.45 ,0.6994 ,5.370 ,52.7 
51 ,18.83 ,0.6994 ,5.343 ,52.4 
52 ,19.21 ,0.6994 ,5.346 ,52.5 
53 ,19.59 ,0.6994 ,5.360 ,52.6 
54 ,19.96 ,0.6994 ,5.350 ,52.5 
55 ,20.34 ,0.6994 ,5.326 ,52.3 
56 ,20.71 ,0.6994 ,5.357 ,52.6 
57 ,21.09 ,0.6994 ,5.360 ,52.6 
58 ,21.47 ,0.6994 ,5.340 ,52.4 
59 ,21.83 ,0.6994 ,5.346 ,52.5 
60 ,22.19 ,0.6994 ,5.353 ,52.5 
61 ,22.55 ,0.6994 ,5.360 ,52.6 
62 ,22.93 ,0.6994 ,5.353 ,52.5 
63 ,23.30 ,0.6994 ,5.333 ,52.3 
64 ,23.68 ,0.6994 ,5.346 ,52.5 
65 ,24.05 ,0.6994 ,5.353 ,52.5 
66 ,24.42 ,0.6994 ,5.333 ,52.3 
67 ,24.82 ,0.6994 ,5.336 ,52.4 
68 ,25.20 ,0.6994 ,5.353 ,52.5 
69 ,25.57 ,0.6994 ,5.343 ,52.4 
70 ,25.94 ,0.6994 ,5.326 ,52.3 
71 ,26.33 ,0.6994 ,5.346 ,52.5 
72 ,26.70 ,0.6994 ,5.353 ,52.5 
73 ,27.09 ,0.6994 ,5.343 ,52.4 
74 ,27.48 ,0.6994 ,5.353 ,52.5 
75 ,27.87 ,0.6994 ,5.336 ,52.4 
76 ,28.22 ,0.6994 ,5.350 ,52.5 
77 ,28.60 ,0.6994 ,5.326 ,52.3 
78 ,28.97 ,0.6994 ,5.333 ,52.3 
79 ,29.35 ,0.6994 ,5.346 ,52.5 
80 ,29.71 ,0.6994 ,5.336 ,52.4 
81 ,30.07 ,0.6994 ,5.336 ,52.4 
82 ,30.43 ,0.6994 ,5.340 ,52.4 
83 ,30.81 ,0.6994 ,5.333 ,52.3 
84 ,31.19 ,0.6994 ,5.346 ,52.5 
85 ,31.57 ,0.6994 ,5.319 ,52.2 
86 ,31.93 ,0.6994 ,5.340 ,52.4 
87 ,32.32 ,0.6994 ,5.329 ,52.3 
88 ,32.68 ,0.6994 ,5.319 ,52.2 
89 ,33.05 ,0.6994 ,5.333 ,52.3 
90 ,33.41 ,0.6994 ,5.340 ,52.4 
91 ,33.81 ,0.6994 ,5.333 ,52.3 
92 ,34.19 ,0.6994 ,5.329 ,52.3 
93 ,34.56 ,0.6994 ,5.326 ,52.3 
94 ,34.92 ,0.6994 ,5.322 ,52.2 
95 ,35.31 ,0.6994 ,5.343 ,52.4 
96 ,35.67 ,0.6994 ,5.346 ,52.5 
97 ,36.05 ,0.6994 ,5.319 ,52.2 
98 ,36.43 ,0.6994 ,5.346 ,52.5 
99 ,36.79 ,0.6994 ,5.343 ,52.4 
100 ,37.18 ,0.6994 ,5.326 ,52.3 
