Data stamp = , 25-04-2022 10:26:54 828

Calibration Values: 
Slope = , 26.54 , g/V 
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.0000 ,0.69942 ,5.23007 ,51.31749 
2 ,0.2253 ,0.69951 ,5.22665 ,51.28391 
3 ,0.5460 ,0.70043 ,5.22323 ,51.25033 
4 ,0.7540 ,0.70197 ,5.23692 ,51.38464 
5 ,0.9459 ,0.70365 ,5.23692 ,51.38464 
6 ,1.1219 ,0.70534 ,5.24718 ,51.48538 
7 ,1.2979 ,0.70710 ,5.25403 ,51.55254 
8 ,1.4900 ,0.70894 ,5.23350 ,51.35107 
9 ,1.6821 ,0.71089 ,5.23007 ,51.31749 
10 ,1.8902 ,0.71302 ,5.20612 ,51.08244 
11 ,2.0825 ,0.71489 ,5.18901 ,50.91455 
12 ,2.2740 ,0.71684 ,5.16163 ,50.64592 
13 ,2.4666 ,0.71872 ,5.14452 ,50.47803 
14 ,2.6747 ,0.72086 ,5.13083 ,50.34372 
15 ,2.8668 ,0.72274 ,5.13083 ,50.34372 
16 ,3.0749 ,0.72486 ,5.09661 ,50.00793 
17 ,3.2669 ,0.72674 ,5.09661 ,50.00793 
18 ,3.4431 ,0.72860 ,5.07608 ,49.80646 
19 ,3.6350 ,0.73045 ,5.05212 ,49.57142 
20 ,3.8272 ,0.73236 ,5.03843 ,49.43710 
21 ,4.0349 ,0.73435 ,5.00763 ,49.13490 
22 ,4.2274 ,0.73636 ,4.97341 ,48.79911 
23 ,4.4190 ,0.73835 ,4.98026 ,48.86627 
24 ,4.6114 ,0.74021 ,4.93235 ,48.39618 
25 ,4.8036 ,0.74210 ,4.93577 ,48.42975 
26 ,4.9952 ,0.74405 ,4.90497 ,48.12755 
27 ,5.1874 ,0.74599 ,4.88786 ,47.95966 
28 ,5.3794 ,0.74799 ,4.87417 ,47.82534 
29 ,5.5554 ,0.74968 ,4.86048 ,47.69103 
30 ,5.7318 ,0.75144 ,4.83652 ,47.45598 
31 ,5.9399 ,0.75345 ,4.82968 ,47.38883 
32 ,6.1321 ,0.75548 ,4.79888 ,47.08662 
33 ,6.3401 ,0.75754 ,4.77835 ,46.88515 
34 ,6.5480 ,0.75958 ,4.76808 ,46.78442 
35 ,6.7402 ,0.76153 ,4.74070 ,46.51579 
36 ,6.9645 ,0.76370 ,4.72702 ,46.38148 
37 ,7.1566 ,0.76564 ,4.68253 ,45.94496 
38 ,7.3486 ,0.76761 ,4.67568 ,45.87780 
39 ,7.5567 ,0.76966 ,4.66199 ,45.74349 
40 ,7.7486 ,0.77160 ,4.64831 ,45.60918 
41 ,7.9405 ,0.77357 ,4.63804 ,45.50844 
42 ,8.1169 ,0.77529 ,4.61408 ,45.27339 
43 ,8.2929 ,0.77702 ,4.59355 ,45.07192 
44 ,8.4689 ,0.77879 ,4.57986 ,44.93761 
45 ,8.6452 ,0.78055 ,4.56960 ,44.83688 
46 ,8.8372 ,0.78258 ,4.53195 ,44.46751 
47 ,9.0291 ,0.78435 ,4.52511 ,44.40036 
48 ,9.2054 ,0.78622 ,4.52169 ,44.36678 
49 ,9.3973 ,0.78807 ,4.49431 ,44.09815 
50 ,9.5895 ,0.78992 ,4.46009 ,43.76237 
51 ,9.7973 ,0.79204 ,4.43955 ,43.56090 
52 ,9.9895 ,0.79396 ,4.42244 ,43.39301 
53 ,10.1977 ,0.79602 ,4.41560 ,43.32585 
54 ,10.3738 ,0.79785 ,4.38822 ,43.05723 
55 ,10.5660 ,0.79969 ,4.38822 ,43.05723 
56 ,10.7579 ,0.80171 ,4.35742 ,42.75502 
57 ,10.9499 ,0.80359 ,4.34031 ,42.58713 
58 ,11.1419 ,0.80546 ,4.33347 ,42.51997 
59 ,11.3338 ,0.80735 ,4.30609 ,42.25135 
60 ,11.5102 ,0.80922 ,4.28898 ,42.08345 
61 ,11.6860 ,0.81100 ,4.27871 ,41.98272 
62 ,11.8943 ,0.81300 ,4.24107 ,41.61336 
63 ,12.0862 ,0.81495 ,4.23765 ,41.57978 
64 ,12.2941 ,0.81706 ,4.20685 ,41.27758 
65 ,12.4865 ,0.81887 ,4.18974 ,41.10968 
66 ,12.6627 ,0.82074 ,4.19316 ,41.14326 
67 ,12.8547 ,0.82264 ,4.15209 ,40.74032 
68 ,13.0626 ,0.82466 ,4.14183 ,40.63959 
69 ,13.2709 ,0.82670 ,4.12471 ,40.47170 
70 ,13.4789 ,0.82882 ,4.10076 ,40.23665 
71 ,13.6552 ,0.83070 ,4.08707 ,40.10233 
72 ,13.8632 ,0.83264 ,4.07338 ,39.96802 
73 ,14.0392 ,0.83452 ,4.06654 ,39.90087 
74 ,14.2153 ,0.83635 ,4.02547 ,39.49793 
75 ,14.4073 ,0.83817 ,4.01863 ,39.43077 
76 ,14.6156 ,0.84024 ,3.99125 ,39.16214 
77 ,14.8076 ,0.84213 ,3.97414 ,38.99425 
78 ,14.9995 ,0.84406 ,3.96729 ,38.92709 
79 ,15.1754 ,0.84589 ,3.94676 ,38.72562 
80 ,15.3679 ,0.84774 ,3.92623 ,38.52415 
81 ,15.5598 ,0.84965 ,3.93307 ,38.59131 
82 ,15.7519 ,0.85158 ,3.87832 ,38.05406 
83 ,15.9438 ,0.85352 ,3.89543 ,38.22195 
84 ,16.1524 ,0.85545 ,3.86805 ,37.95332 
85 ,16.3600 ,0.85760 ,3.84752 ,37.75185 
86 ,16.5524 ,0.85954 ,3.81672 ,37.44965 
87 ,16.7445 ,0.86149 ,3.82014 ,37.48323 
88 ,16.9526 ,0.86363 ,3.77908 ,37.08029 
89 ,17.1604 ,0.86566 ,3.77565 ,37.04671 
90 ,17.3362 ,0.86748 ,3.76196 ,36.91240 
91 ,17.5288 ,0.86932 ,3.72432 ,36.54303 
92 ,17.7368 ,0.87141 ,3.70379 ,36.34157 
93 ,17.9289 ,0.87334 ,3.70037 ,36.30799 
94 ,18.1209 ,0.87528 ,3.69694 ,36.27441 
95 ,18.3289 ,0.87730 ,3.66614 ,35.97220 
96 ,18.5049 ,0.87918 ,3.65930 ,35.90505 
97 ,18.6971 ,0.88102 ,3.62166 ,35.53569 
98 ,18.8733 ,0.88284 ,3.61139 ,35.43495 
99 ,19.0809 ,0.88488 ,3.60112 ,35.33422 
100 ,19.2574 ,0.88663 ,3.58743 ,35.19990 
101 ,19.4495 ,0.88858 ,3.56006 ,34.93128 
102 ,19.6255 ,0.89041 ,3.54637 ,34.79696 
103 ,19.8173 ,0.89218 ,3.52584 ,34.59549 
104 ,19.9937 ,0.89402 ,3.50530 ,34.39402 
105 ,20.2014 ,0.89602 ,3.49161 ,34.25971 
106 ,20.3774 ,0.89790 ,3.48819 ,34.22613 
107 ,20.5536 ,0.89963 ,3.45739 ,33.92393 
108 ,20.7461 ,0.90154 ,3.44370 ,33.78961 
109 ,20.9220 ,0.90331 ,3.44370 ,33.78961 
110 ,21.1300 ,0.90533 ,3.41290 ,33.48741 
111 ,21.3062 ,0.90717 ,3.41290 ,33.48741 
112 ,21.4982 ,0.90908 ,3.37868 ,33.15163 
113 ,21.6740 ,0.91084 ,3.36157 ,32.98374 
114 ,21.8665 ,0.91271 ,3.35815 ,32.95016 
115 ,22.0741 ,0.91479 ,3.32393 ,32.61437 
116 ,22.2667 ,0.91676 ,3.31366 ,32.51364 
117 ,22.4747 ,0.91873 ,3.28286 ,32.21143 
118 ,22.6828 ,0.92084 ,3.28971 ,32.27859 
119 ,22.8589 ,0.92262 ,3.25891 ,31.97639 
120 ,23.0669 ,0.92467 ,3.24864 ,31.87565 
121 ,23.2589 ,0.92660 ,3.21442 ,31.53987 
122 ,23.4351 ,0.92843 ,3.20415 ,31.43913 
123 ,23.6271 ,0.93034 ,3.19731 ,31.37198 
124 ,23.8028 ,0.93214 ,3.19046 ,31.30482 
125 ,23.9952 ,0.93394 ,3.15282 ,30.93546 
126 ,24.1874 ,0.93588 ,3.14940 ,30.90188 
127 ,24.3794 ,0.93779 ,3.12202 ,30.63325 
128 ,24.5555 ,0.93966 ,3.11175 ,30.53252 
129 ,24.7314 ,0.94136 ,3.10149 ,30.43178 
130 ,24.9074 ,0.94314 ,3.08438 ,30.26389 
131 ,25.1155 ,0.94508 ,3.07753 ,30.19674 
132 ,25.2914 ,0.94696 ,3.04673 ,29.89453 
133 ,25.4839 ,0.94881 ,3.04331 ,29.86095 
134 ,25.6759 ,0.95079 ,3.02962 ,29.72664 
135 ,25.8522 ,0.95257 ,3.00909 ,29.52517 
136 ,26.0438 ,0.95454 ,2.99198 ,29.35728 
137 ,26.2201 ,0.95626 ,2.96118 ,29.05507 
138 ,26.4121 ,0.95812 ,2.96802 ,29.12223 
139 ,26.5883 ,0.95995 ,2.95433 ,28.98792 
140 ,26.7801 ,0.96184 ,2.93722 ,28.82003 
141 ,26.9724 ,0.96371 ,2.90985 ,28.55140 
142 ,27.1481 ,0.96551 ,2.90642 ,28.51782 
143 ,27.3246 ,0.96731 ,2.89273 ,28.38351 
144 ,27.5005 ,0.96910 ,2.86536 ,28.11488 
145 ,27.6926 ,0.97086 ,2.83798 ,27.84625 
146 ,27.8688 ,0.97276 ,2.84825 ,27.94699 
147 ,28.0607 ,0.97470 ,2.83114 ,27.77910 
148 ,28.2367 ,0.97640 ,2.79349 ,27.40974 
149 ,28.4289 ,0.97827 ,2.79691 ,27.44332 
150 ,28.6210 ,0.98019 ,2.76269 ,27.10753 
151 ,28.8453 ,0.98236 ,2.74216 ,26.90606 
152 ,29.0373 ,0.98439 ,2.73874 ,26.87248 
153 ,29.2290 ,0.98633 ,2.72163 ,26.70459 
154 ,29.4213 ,0.98828 ,2.71136 ,26.60386 
155 ,29.6134 ,0.99016 ,2.69425 ,26.43597 
156 ,29.7896 ,0.99194 ,2.68056 ,26.30165 
157 ,29.9977 ,0.99398 ,2.66003 ,26.10018 
158 ,30.1898 ,0.99592 ,2.67029 ,26.20092 
159 ,30.3978 ,0.99794 ,2.63265 ,25.83156 
160 ,30.5738 ,0.99977 ,2.62923 ,25.79798 
161 ,30.7660 ,1.00165 ,2.60527 ,25.56293 
162 ,30.9420 ,1.00347 ,2.59158 ,25.42862 
163 ,31.1504 ,1.00551 ,2.58132 ,25.32788 
164 ,31.3421 ,1.00743 ,2.55394 ,25.05926 
165 ,31.5342 ,1.00942 ,2.52314 ,24.75705 
166 ,31.7423 ,1.01144 ,2.51630 ,24.68989 
167 ,31.9185 ,1.01321 ,2.50945 ,24.62274 
168 ,32.1265 ,1.01529 ,2.49918 ,24.52200 
169 ,32.3186 ,1.01717 ,2.47865 ,24.32053 
170 ,32.4943 ,1.01898 ,2.46154 ,24.15264 
171 ,32.6705 ,1.02077 ,2.44443 ,23.98475 
172 ,32.8785 ,1.02272 ,2.44443 ,23.98475 
173 ,33.0708 ,1.02471 ,2.42732 ,23.81686 
174 ,33.2631 ,1.02659 ,2.39994 ,23.54823 
175 ,33.4551 ,1.02857 ,2.38625 ,23.41392 
176 ,33.6472 ,1.03049 ,2.37256 ,23.27961 
177 ,33.8230 ,1.03227 ,2.35888 ,23.14529 
178 ,33.9991 ,1.03406 ,2.34861 ,23.04456 
179 ,34.1755 ,1.03583 ,2.31097 ,22.67520 
180 ,34.3676 ,1.03765 ,2.33834 ,22.94382 
181 ,34.5438 ,1.03949 ,2.29728 ,22.54088 
182 ,34.7518 ,1.04154 ,2.28701 ,22.44015 
183 ,34.9599 ,1.04360 ,2.26648 ,22.23868 
184 ,35.1519 ,1.04548 ,2.26306 ,22.20510 
185 ,35.3439 ,1.04747 ,2.24594 ,22.03721 
186 ,35.5360 ,1.04931 ,2.21172 ,21.70143 
187 ,35.7117 ,1.05115 ,2.21172 ,21.70143 
188 ,35.9042 ,1.05297 ,2.19119 ,21.49996 
189 ,36.0963 ,1.05501 ,2.18092 ,21.39922 
190 ,36.2882 ,1.05687 ,2.18092 ,21.39922 
191 ,36.4644 ,1.05867 ,2.15355 ,21.13059 
192 ,36.6564 ,1.06055 ,2.12275 ,20.82839 
193 ,36.8325 ,1.06237 ,2.12959 ,20.89555 
194 ,37.0087 ,1.06412 ,2.12617 ,20.86197 
195 ,37.2167 ,1.06611 ,2.09537 ,20.55976 
196 ,37.4243 ,1.06824 ,2.08852 ,20.49261 
197 ,37.6169 ,1.07005 ,2.06457 ,20.25756 
198 ,37.8087 ,1.07203 ,2.05430 ,20.15682 
199 ,38.0010 ,1.07400 ,2.04746 ,20.08967 
200 ,38.2251 ,1.07611 ,2.03377 ,19.95535 
201 ,38.4327 ,1.07829 ,2.01324 ,19.75388 
202 ,38.6091 ,1.08008 ,1.99613 ,19.58599 
203 ,38.8009 ,1.08196 ,1.96533 ,19.28379 
204 ,38.9772 ,1.08375 ,1.95848 ,19.21663 
205 ,39.1534 ,1.08559 ,1.93795 ,19.01516 
206 ,39.3458 ,1.08750 ,1.94137 ,19.04874 
207 ,39.5377 ,1.08936 ,1.91742 ,18.81369 
208 ,39.7458 ,1.09142 ,1.90373 ,18.67938 
209 ,39.9377 ,1.09331 ,1.87635 ,18.41075 
210 ,40.1296 ,1.09527 ,1.89346 ,18.57864 
211 ,40.3218 ,1.09715 ,1.87977 ,18.44433 
212 ,40.5299 ,1.09920 ,1.83186 ,17.97423 
213 ,40.7220 ,1.10120 ,1.82844 ,17.94066 
214 ,40.9301 ,1.10325 ,1.82844 ,17.94066 
215 ,41.1058 ,1.10503 ,1.81475 ,17.80634 
216 ,41.2823 ,1.10685 ,1.79422 ,17.60487 
217 ,41.4583 ,1.10865 ,1.77711 ,17.43698 
218 ,41.6345 ,1.11035 ,1.75315 ,17.20193 
219 ,41.8424 ,1.11239 ,1.74289 ,17.10120 
220 ,42.0185 ,1.11416 ,1.74631 ,17.13478 
221 ,42.1942 ,1.11596 ,1.71893 ,16.86615 
222 ,42.3706 ,1.11771 ,1.71893 ,16.86615 
223 ,42.5464 ,1.11949 ,1.69498 ,16.63110 
224 ,42.7385 ,1.12134 ,1.67102 ,16.39605 
225 ,42.9307 ,1.12325 ,1.66760 ,16.36248 
226 ,43.1551 ,1.12539 ,1.65049 ,16.19458 
227 ,43.3308 ,1.12727 ,1.64022 ,16.09385 
228 ,43.5069 ,1.12908 ,1.64707 ,16.16101 
229 ,43.6990 ,1.13095 ,1.59231 ,15.62375 
230 ,43.8754 ,1.13277 ,1.59231 ,15.62375 
231 ,44.0830 ,1.13477 ,1.56493 ,15.35513 
232 ,44.2595 ,1.13660 ,1.56493 ,15.35513 
233 ,44.4675 ,1.13864 ,1.57178 ,15.42228 
234 ,44.6757 ,1.14068 ,1.54782 ,15.18724 
235 ,44.8675 ,1.14267 ,1.53756 ,15.08650 
236 ,45.0595 ,1.14456 ,1.50333 ,14.75072 
237 ,45.2358 ,1.14640 ,1.49307 ,14.64998 
238 ,45.4275 ,1.14832 ,1.48280 ,14.54925 
239 ,45.6040 ,1.15007 ,1.48622 ,14.58283 
240 ,45.7961 ,1.15192 ,1.45542 ,14.28062 
241 ,45.9722 ,1.15373 ,1.46227 ,14.34778 
242 ,46.1483 ,1.15549 ,1.43831 ,14.11273 
243 ,46.3243 ,1.15724 ,1.43489 ,14.07915 
