Data stamp = , 27-04-2022 18:12:57 068

Calibration Values: 
Slope = , 26.54 , g/V 
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.0000 ,0.74953 ,5.25061 ,51.51896 
2 ,0.3121 ,0.74975 ,5.25403 ,51.55254 
3 ,0.6649 ,0.75114 ,5.25745 ,51.58611 
4 ,0.8726 ,0.75308 ,5.25745 ,51.58611 
5 ,1.0648 ,0.75485 ,5.24718 ,51.48538 
6 ,1.2731 ,0.75695 ,5.25061 ,51.51896 
7 ,1.4649 ,0.75883 ,5.25061 ,51.51896 
8 ,1.6571 ,0.76076 ,5.25061 ,51.51896 
9 ,1.8492 ,0.76272 ,5.23007 ,51.31749 
10 ,2.0413 ,0.76468 ,5.24718 ,51.48538 
11 ,2.2494 ,0.76675 ,5.21639 ,51.18317 
12 ,2.4413 ,0.76867 ,5.21296 ,51.14960 
13 ,2.6334 ,0.77060 ,5.18901 ,50.91455 
14 ,2.8412 ,0.77261 ,5.18559 ,50.88097 
15 ,3.0173 ,0.77444 ,5.16163 ,50.64592 
16 ,3.1933 ,0.77625 ,5.12741 ,50.31014 
17 ,3.3855 ,0.77810 ,5.10345 ,50.07509 
18 ,3.5937 ,0.78020 ,5.10688 ,50.10867 
19 ,3.7856 ,0.78210 ,5.08977 ,49.94078 
20 ,3.9779 ,0.78406 ,5.06923 ,49.73931 
21 ,4.1705 ,0.78593 ,5.02817 ,49.33637 
22 ,4.3622 ,0.78785 ,5.02817 ,49.33637 
23 ,4.5383 ,0.78966 ,5.02474 ,49.30279 
24 ,4.7302 ,0.79155 ,4.99052 ,48.96701 
25 ,4.9224 ,0.79352 ,4.98368 ,48.89985 
26 ,5.1305 ,0.79556 ,4.94946 ,48.56407 
27 ,5.3227 ,0.79744 ,4.94261 ,48.49691 
28 ,5.5148 ,0.79941 ,4.90839 ,48.16113 
29 ,5.6904 ,0.80123 ,4.89812 ,48.06039 
30 ,5.8828 ,0.80307 ,4.89470 ,48.02681 
31 ,6.0590 ,0.80495 ,4.88101 ,47.89250 
32 ,6.2511 ,0.80679 ,4.83310 ,47.42240 
33 ,6.4431 ,0.80862 ,4.84337 ,47.52314 
34 ,6.6193 ,0.81047 ,4.82968 ,47.38883 
35 ,6.8271 ,0.81250 ,4.78519 ,46.95231 
36 ,7.0033 ,0.81432 ,4.77150 ,46.81800 
37 ,7.1796 ,0.81610 ,4.77835 ,46.88515 
38 ,7.3872 ,0.81808 ,4.73386 ,46.44863 
39 ,7.5636 ,0.81990 ,4.71675 ,46.28074 
40 ,7.7556 ,0.82174 ,4.69622 ,46.07927 
41 ,7.9318 ,0.82366 ,4.68253 ,45.94496 
42 ,8.1235 ,0.82544 ,4.67911 ,45.91138 
43 ,8.3000 ,0.82729 ,4.66542 ,45.77707 
44 ,8.5078 ,0.82926 ,4.62777 ,45.40771 
45 ,8.7002 ,0.83126 ,4.62093 ,45.34055 
46 ,8.9078 ,0.83330 ,4.59355 ,45.07192 
47 ,9.1004 ,0.83530 ,4.58328 ,44.97119 
48 ,9.3078 ,0.83732 ,4.54906 ,44.63541 
49 ,9.5159 ,0.83932 ,4.54564 ,44.60183 
50 ,9.7083 ,0.84132 ,4.50800 ,44.23247 
51 ,9.9485 ,0.84372 ,4.49431 ,44.09815 
52 ,10.1406 ,0.84566 ,4.49089 ,44.06457 
53 ,10.3327 ,0.84766 ,4.45324 ,43.69521 
54 ,10.5249 ,0.84945 ,4.46351 ,43.79595 
55 ,10.7170 ,0.85140 ,4.43271 ,43.49374 
56 ,10.9246 ,0.85343 ,4.41560 ,43.32585 
57 ,11.1006 ,0.85532 ,4.39507 ,43.12438 
58 ,11.2932 ,0.85716 ,4.36427 ,42.82218 
59 ,11.4853 ,0.85904 ,4.37453 ,42.92291 
60 ,11.6773 ,0.86096 ,4.33347 ,42.51997 
61 ,11.8700 ,0.86295 ,4.30951 ,42.28492 
62 ,12.0614 ,0.86483 ,4.30951 ,42.28492 
63 ,12.2536 ,0.86671 ,4.27871 ,41.98272 
64 ,12.4454 ,0.86862 ,4.28556 ,42.04988 
65 ,12.6219 ,0.87048 ,4.25133 ,41.71409 
66 ,12.8299 ,0.87249 ,4.23765 ,41.57978 
67 ,13.0380 ,0.87458 ,4.21369 ,41.34473 
68 ,13.2458 ,0.87671 ,4.19658 ,41.17684 
69 ,13.4382 ,0.87864 ,4.18974 ,41.10968 
70 ,13.6461 ,0.88068 ,4.15209 ,40.74032 
71 ,13.8385 ,0.88256 ,4.14525 ,40.67317 
72 ,14.0305 ,0.88455 ,4.10760 ,40.30380 
73 ,14.2386 ,0.88653 ,4.11445 ,40.37096 
74 ,14.4306 ,0.88856 ,4.08023 ,40.03518 
75 ,14.6226 ,0.89041 ,4.06996 ,39.93444 
76 ,14.7988 ,0.89224 ,4.05285 ,39.76655 
77 ,14.9908 ,0.89409 ,4.01863 ,39.43077 
78 ,15.1985 ,0.89612 ,4.01863 ,39.43077 
79 ,15.3756 ,0.89801 ,3.99125 ,39.16214 
80 ,15.5506 ,0.89981 ,3.97072 ,38.96067 
81 ,15.7432 ,0.90163 ,3.96729 ,38.92709 
82 ,15.9351 ,0.90354 ,3.93992 ,38.65847 
83 ,16.1273 ,0.90545 ,3.93307 ,38.59131 
84 ,16.3195 ,0.90737 ,3.92281 ,38.49058 
85 ,16.5271 ,0.90949 ,3.88174 ,38.08764 
86 ,16.7197 ,0.91137 ,3.87490 ,38.02048 
87 ,16.9277 ,0.91349 ,3.85779 ,37.85259 
88 ,17.1357 ,0.91556 ,3.83041 ,37.58396 
89 ,17.3278 ,0.91750 ,3.79961 ,37.28176 
90 ,17.5359 ,0.91957 ,3.79619 ,37.24818 
91 ,17.7120 ,0.92142 ,3.76881 ,36.97955 
92 ,17.9041 ,0.92327 ,3.75854 ,36.87882 
93 ,18.0803 ,0.92502 ,3.75854 ,36.87882 
94 ,18.2722 ,0.92690 ,3.71405 ,36.44230 
95 ,18.4643 ,0.92878 ,3.71405 ,36.44230 
96 ,18.6559 ,0.93075 ,3.70721 ,36.37514 
97 ,18.8484 ,0.93266 ,3.66957 ,36.00578 
98 ,19.0565 ,0.93473 ,3.65588 ,35.87147 
99 ,19.2487 ,0.93670 ,3.63192 ,35.63642 
100 ,19.4562 ,0.93874 ,3.62166 ,35.53569 
101 ,19.6488 ,0.94063 ,3.59086 ,35.23348 
102 ,19.8566 ,0.94273 ,3.58401 ,35.16632 
103 ,20.0649 ,0.94482 ,3.55321 ,34.86412 
104 ,20.2410 ,0.94664 ,3.54979 ,34.83054 
105 ,20.4491 ,0.94869 ,3.50530 ,34.39402 
106 ,20.6412 ,0.95062 ,3.51899 ,34.52834 
107 ,20.8489 ,0.95264 ,3.48477 ,34.19255 
108 ,21.0414 ,0.95464 ,3.46766 ,34.02466 
109 ,21.2492 ,0.95673 ,3.43686 ,33.72246 
110 ,21.4414 ,0.95859 ,3.43686 ,33.72246 
111 ,21.6333 ,0.96050 ,3.43001 ,33.65530 
112 ,21.8255 ,0.96244 ,3.39921 ,33.35310 
113 ,22.0015 ,0.96429 ,3.38553 ,33.21878 
114 ,22.1780 ,0.96602 ,3.37868 ,33.15163 
115 ,22.3857 ,0.96804 ,3.34446 ,32.81584 
116 ,22.5780 ,0.96992 ,3.33077 ,32.68153 
117 ,22.7857 ,0.97200 ,3.31366 ,32.51364 
118 ,22.9622 ,0.97384 ,3.29655 ,32.34575 
119 ,23.1861 ,0.97596 ,3.27944 ,32.17786 
120 ,23.3942 ,0.97808 ,3.24864 ,31.87565 
121 ,23.5864 ,0.98005 ,3.23153 ,31.70776 
122 ,23.7785 ,0.98203 ,3.23495 ,31.74134 
123 ,23.9706 ,0.98382 ,3.20415 ,31.43913 
124 ,24.1786 ,0.98593 ,3.19731 ,31.37198 
125 ,24.3545 ,0.98780 ,3.16651 ,31.06977 
126 ,24.5308 ,0.98955 ,3.15966 ,31.00262 
127 ,24.7387 ,0.99160 ,3.14597 ,30.86830 
128 ,24.9310 ,0.99351 ,3.11860 ,30.59968 
129 ,25.1229 ,0.99539 ,3.10149 ,30.43178 
130 ,25.3153 ,0.99732 ,3.09806 ,30.39821 
131 ,25.5232 ,0.99936 ,3.06726 ,30.09600 
132 ,25.7313 ,1.00137 ,3.06042 ,30.02884 
133 ,25.9394 ,1.00353 ,3.03647 ,29.79380 
134 ,26.1315 ,1.00550 ,3.00909 ,29.52517 
135 ,26.3235 ,1.00740 ,2.99882 ,29.42444 
136 ,26.4997 ,1.00917 ,2.99198 ,29.35728 
137 ,26.6917 ,1.01105 ,2.97144 ,29.15581 
138 ,26.8842 ,1.01296 ,2.94749 ,28.92076 
139 ,27.0761 ,1.01494 ,2.94064 ,28.85360 
140 ,27.2680 ,1.01682 ,2.89958 ,28.45066 
141 ,27.4598 ,1.01874 ,2.90642 ,28.51782 
142 ,27.6359 ,1.02057 ,2.89958 ,28.45066 
143 ,27.8442 ,1.02262 ,2.85509 ,28.01415 
144 ,28.0361 ,1.02447 ,2.86878 ,28.14846 
145 ,28.2284 ,1.02638 ,2.83114 ,27.77910 
146 ,28.4200 ,1.02835 ,2.82429 ,27.71194 
147 ,28.6284 ,1.03035 ,2.81060 ,27.57763 
148 ,28.8364 ,1.03250 ,2.79007 ,27.37616 
149 ,29.0284 ,1.03447 ,2.75927 ,27.07395 
150 ,29.2207 ,1.03641 ,2.75243 ,27.00680 
151 ,29.4127 ,1.03832 ,2.74900 ,26.97322 
152 ,29.5886 ,1.04017 ,2.70794 ,26.57028 
153 ,29.7650 ,1.04183 ,2.70109 ,26.50312 
154 ,29.9568 ,1.04370 ,2.70452 ,26.53670 
155 ,30.1490 ,1.04569 ,2.66345 ,26.13376 
156 ,30.3250 ,1.04743 ,2.64976 ,25.99945 
157 ,30.5168 ,1.04929 ,2.65660 ,26.06661 
158 ,30.6933 ,1.05119 ,2.61212 ,25.63009 
159 ,30.8851 ,1.05295 ,2.59843 ,25.49577 
160 ,31.0774 ,1.05492 ,2.60527 ,25.56293 
161 ,31.2695 ,1.05687 ,2.56763 ,25.19357 
162 ,31.4616 ,1.05878 ,2.55394 ,25.05926 
163 ,31.6533 ,1.06068 ,2.55052 ,25.02568 
164 ,31.8455 ,1.06257 ,2.50945 ,24.62274 
165 ,32.0376 ,1.06448 ,2.51972 ,24.72347 
166 ,32.2139 ,1.06632 ,2.49918 ,24.52200 
167 ,32.4218 ,1.06840 ,2.47523 ,24.28696 
168 ,32.5980 ,1.07015 ,2.46839 ,24.21980 
169 ,32.7897 ,1.07200 ,2.44443 ,23.98475 
170 ,32.9662 ,1.07381 ,2.42390 ,23.78328 
171 ,33.1741 ,1.07579 ,2.42732 ,23.81686 
172 ,33.3504 ,1.07769 ,2.40679 ,23.61539 
173 ,33.5743 ,1.07992 ,2.39310 ,23.48108 
174 ,33.7666 ,1.08175 ,2.36230 ,23.17887 
175 ,33.9745 ,1.08388 ,2.36914 ,23.24603 
176 ,34.1827 ,1.08595 ,2.33150 ,22.87667 
177 ,34.3743 ,1.08791 ,2.32465 ,22.80951 
178 ,34.5508 ,1.08970 ,2.31439 ,22.70877 
179 ,34.7428 ,1.09153 ,2.28017 ,22.37299 
180 ,34.9186 ,1.09336 ,2.26648 ,22.23868 
181 ,35.1111 ,1.09527 ,2.26648 ,22.23868 
182 ,35.3191 ,1.09735 ,2.23568 ,21.93647 
183 ,35.5111 ,1.09923 ,2.22883 ,21.86932 
184 ,35.7191 ,1.10130 ,2.21172 ,21.70143 
185 ,35.8951 ,1.10312 ,2.19119 ,21.49996 
186 ,36.0715 ,1.10496 ,2.17408 ,21.33206 
187 ,36.2634 ,1.10674 ,2.16039 ,21.19775 
188 ,36.4554 ,1.10865 ,2.14670 ,21.06344 
189 ,36.6475 ,1.11060 ,2.11590 ,20.76123 
190 ,36.8397 ,1.11257 ,2.10564 ,20.66050 
191 ,37.0154 ,1.11437 ,2.10564 ,20.66050 
192 ,37.2079 ,1.11614 ,2.07826 ,20.39187 
193 ,37.4160 ,1.11825 ,2.07141 ,20.32472 
194 ,37.6080 ,1.12018 ,2.05430 ,20.15682 
195 ,37.7842 ,1.12200 ,2.02693 ,19.88820 
196 ,37.9922 ,1.12402 ,2.01666 ,19.78746 
197 ,38.1838 ,1.12606 ,2.00297 ,19.65315 
198 ,38.3763 ,1.12790 ,1.99955 ,19.61957 
199 ,38.5684 ,1.12977 ,1.96875 ,19.31737 
200 ,38.7605 ,1.13176 ,1.95848 ,19.21663 
201 ,38.9524 ,1.13366 ,1.95848 ,19.21663 
202 ,39.1446 ,1.13554 ,1.92768 ,18.91443 
203 ,39.3525 ,1.13765 ,1.92768 ,18.91443 
204 ,39.5768 ,1.13993 ,1.90031 ,18.64580 
205 ,39.7848 ,1.14191 ,1.87977 ,18.44433 
206 ,39.9768 ,1.14383 ,1.87635 ,18.41075 
207 ,40.1689 ,1.14577 ,1.85924 ,18.24286 
208 ,40.3610 ,1.14769 ,1.83186 ,17.97423 
209 ,40.5528 ,1.14959 ,1.84213 ,18.07497 
210 ,40.7451 ,1.15154 ,1.80791 ,17.73919 
211 ,40.9370 ,1.15347 ,1.81475 ,17.80634 
212 ,41.1295 ,1.15542 ,1.78737 ,17.53772 
213 ,41.3053 ,1.15720 ,1.77711 ,17.43698 
214 ,41.4977 ,1.15911 ,1.76000 ,17.26909 
215 ,41.6894 ,1.16102 ,1.74973 ,17.16836 
216 ,41.8822 ,1.16294 ,1.73262 ,17.00046 
217 ,42.0735 ,1.16485 ,1.72578 ,16.93331 
218 ,42.2500 ,1.16666 ,1.72235 ,16.89973 
219 ,42.4416 ,1.16851 ,1.68471 ,16.53037 
220 ,42.6659 ,1.17067 ,1.69498 ,16.63110 
221 ,42.8739 ,1.17279 ,1.66760 ,16.36248 
222 ,43.0503 ,1.17467 ,1.66418 ,16.32890 
223 ,43.2421 ,1.17654 ,1.62653 ,15.95954 
224 ,43.4344 ,1.17842 ,1.62995 ,15.99311 
225 ,43.6263 ,1.18030 ,1.61284 ,15.82522 
226 ,43.8027 ,1.18215 ,1.60258 ,15.72449 
227 ,43.9946 ,1.18406 ,1.58547 ,15.55660 
228 ,44.2028 ,1.18609 ,1.57178 ,15.42228 
229 ,44.4107 ,1.18814 ,1.56836 ,15.38871 
230 ,44.6025 ,1.19009 ,1.53071 ,15.01934 
231 ,44.7949 ,1.19209 ,1.53071 ,15.01934 
232 ,45.0032 ,1.19409 ,1.50676 ,14.78430 
233 ,45.1950 ,1.19598 ,1.51702 ,14.88503 
234 ,45.3872 ,1.19795 ,1.48280 ,14.54925 
235 ,45.5950 ,1.20002 ,1.48280 ,14.54925 
236 ,45.7713 ,1.20186 ,1.45885 ,14.31420 
237 ,45.9633 ,1.20371 ,1.42805 ,14.01199 
238 ,46.1554 ,1.20562 ,1.43831 ,14.11273 
239 ,46.3638 ,1.20772 ,1.41436 ,13.87768 
240 ,46.5558 ,1.20965 ,1.41436 ,13.87768 
241 ,46.7313 ,1.21152 ,1.40751 ,13.81053 
242 ,46.9396 ,1.21339 ,1.38356 ,13.57548 
243 ,47.1481 ,1.21562 ,1.36987 ,13.44116 
