Data stamp = , 29-04-2022 02:15:57 215

Calibration Values: 
Slope = , 26.54  , g/V
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,3.7025 ,3.29999 ,0.59646 ,5.85247 
2 ,7.0374 ,3.09993 ,0.60330 ,5.91962 
3 ,10.3786 ,2.89989 ,0.59988 ,5.88605 
4 ,13.7087 ,2.69986 ,0.59646 ,5.85247 
5 ,17.0168 ,2.49983 ,0.57935 ,5.68458 
6 ,20.3470 ,2.29979 ,0.59988 ,5.88605 
7 ,23.6483 ,2.09976 ,0.59988 ,5.88605 
8 ,26.9739 ,1.89972 ,0.59646 ,5.85247 
9 ,30.3060 ,1.69969 ,0.58619 ,5.75173 
10 ,33.6213 ,1.49965 ,1.11663 ,10.95637 
11 ,35.9558 ,1.39963 ,1.63680 ,16.06027 
12 ,37.6767 ,1.34961 ,1.79764 ,17.63845 
13 ,39.4055 ,1.29959 ,1.79080 ,17.57129 
14 ,41.1168 ,1.24956 ,2.06799 ,20.29114 
15 ,42.8479 ,1.19957 ,2.18777 ,21.46638 
16 ,44.5951 ,1.14955 ,2.47865 ,24.32053 
17 ,46.3285 ,1.09952 ,2.66687 ,26.16734 
18 ,48.0662 ,1.04950 ,2.93038 ,28.75287 
19 ,49.8074 ,0.99948 ,3.29997 ,32.37933 
20 ,51.5481 ,0.94945 ,3.66614 ,35.97220 
21 ,53.2867 ,0.89943 ,4.08707 ,40.10233 
22 ,55.0334 ,0.84941 ,4.51484 ,44.29962 
23 ,56.7481 ,0.79938 ,4.95630 ,48.63122 
24 ,58.4838 ,0.74936 ,5.41487 ,53.13072 

Plateau measurements: 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.02 ,0.7494 ,5.401 ,53.0 
2 ,0.42 ,0.7494 ,5.398 ,53.0 
3 ,0.79 ,0.7494 ,5.405 ,53.0 
4 ,1.18 ,0.7494 ,5.367 ,52.7 
5 ,1.54 ,0.7494 ,5.384 ,52.8 
6 ,1.92 ,0.7494 ,5.381 ,52.8 
7 ,2.29 ,0.7494 ,5.360 ,52.6 
8 ,2.77 ,0.7494 ,5.350 ,52.5 
9 ,3.16 ,0.7494 ,5.350 ,52.5 
10 ,3.56 ,0.7494 ,5.367 ,52.7 
11 ,3.93 ,0.7494 ,5.360 ,52.6 
12 ,4.29 ,0.7494 ,5.340 ,52.4 
13 ,4.66 ,0.7494 ,5.350 ,52.5 
14 ,5.06 ,0.7494 ,5.364 ,52.6 
15 ,5.43 ,0.7494 ,5.346 ,52.5 
16 ,5.82 ,0.7494 ,5.343 ,52.4 
17 ,6.19 ,0.7494 ,5.353 ,52.5 
18 ,6.56 ,0.7494 ,5.336 ,52.4 
19 ,6.93 ,0.7494 ,5.353 ,52.5 
20 ,7.28 ,0.7494 ,5.336 ,52.4 
21 ,7.66 ,0.7494 ,5.340 ,52.4 
22 ,8.05 ,0.7494 ,5.357 ,52.6 
23 ,8.43 ,0.7494 ,5.346 ,52.5 
24 ,8.80 ,0.7494 ,5.346 ,52.5 
25 ,9.19 ,0.7494 ,5.353 ,52.5 
26 ,9.56 ,0.7494 ,5.343 ,52.4 
27 ,9.93 ,0.7494 ,5.346 ,52.5 
28 ,10.31 ,0.7494 ,5.333 ,52.3 
29 ,10.70 ,0.7494 ,5.319 ,52.2 
30 ,11.10 ,0.7494 ,5.336 ,52.4 
31 ,11.47 ,0.7494 ,5.340 ,52.4 
32 ,11.83 ,0.7494 ,5.329 ,52.3 
33 ,12.22 ,0.7494 ,5.322 ,52.2 
34 ,12.60 ,0.7494 ,5.340 ,52.4 
35 ,12.96 ,0.7494 ,5.336 ,52.4 
36 ,13.35 ,0.7494 ,5.326 ,52.3 
37 ,13.74 ,0.7494 ,5.326 ,52.3 
38 ,14.14 ,0.7494 ,5.340 ,52.4 
39 ,14.52 ,0.7494 ,5.336 ,52.4 
40 ,14.90 ,0.7494 ,5.326 ,52.3 
41 ,15.27 ,0.7494 ,5.326 ,52.3 
42 ,15.66 ,0.7494 ,5.305 ,52.1 
43 ,16.06 ,0.7494 ,5.350 ,52.5 
44 ,16.46 ,0.7494 ,5.340 ,52.4 
45 ,16.83 ,0.7494 ,5.322 ,52.2 
46 ,17.19 ,0.7494 ,5.319 ,52.2 
47 ,17.60 ,0.7494 ,5.319 ,52.2 
48 ,17.96 ,0.7494 ,5.329 ,52.3 
49 ,18.34 ,0.7494 ,5.319 ,52.2 
50 ,18.71 ,0.7494 ,5.322 ,52.2 
51 ,19.09 ,0.7494 ,5.319 ,52.2 
52 ,19.46 ,0.7494 ,5.305 ,52.1 
53 ,19.82 ,0.7494 ,5.336 ,52.4 
54 ,20.20 ,0.7494 ,5.322 ,52.2 
55 ,20.57 ,0.7494 ,5.312 ,52.1 
56 ,20.97 ,0.7494 ,5.312 ,52.1 
57 ,21.37 ,0.7494 ,5.312 ,52.1 
58 ,21.75 ,0.7494 ,5.302 ,52.0 
59 ,22.15 ,0.7494 ,5.329 ,52.3 
60 ,22.51 ,0.7494 ,5.319 ,52.2 
61 ,22.91 ,0.7494 ,5.299 ,52.0 
62 ,23.28 ,0.7494 ,5.326 ,52.3 
63 ,23.64 ,0.7494 ,5.316 ,52.2 
64 ,24.04 ,0.7494 ,5.319 ,52.2 
65 ,24.42 ,0.7494 ,5.316 ,52.2 
66 ,24.78 ,0.7494 ,5.322 ,52.2 
67 ,25.15 ,0.7494 ,5.299 ,52.0 
68 ,25.54 ,0.7494 ,5.309 ,52.1 
69 ,25.90 ,0.7494 ,5.319 ,52.2 
70 ,26.30 ,0.7494 ,5.316 ,52.2 
71 ,26.66 ,0.7494 ,5.316 ,52.2 
72 ,27.03 ,0.7494 ,5.322 ,52.2 
73 ,27.40 ,0.7494 ,5.302 ,52.0 
74 ,27.79 ,0.7494 ,5.302 ,52.0 
75 ,28.16 ,0.7494 ,5.319 ,52.2 
76 ,28.55 ,0.7494 ,5.312 ,52.1 
77 ,28.95 ,0.7494 ,5.316 ,52.2 
78 ,29.31 ,0.7494 ,5.305 ,52.1 
79 ,29.70 ,0.7494 ,5.319 ,52.2 
80 ,30.07 ,0.7494 ,5.299 ,52.0 
81 ,30.47 ,0.7494 ,5.302 ,52.0 
82 ,30.84 ,0.7494 ,5.302 ,52.0 
83 ,31.24 ,0.7494 ,5.288 ,51.9 
84 ,31.62 ,0.7494 ,5.309 ,52.1 
85 ,31.98 ,0.7494 ,5.292 ,51.9 
86 ,32.36 ,0.7494 ,5.299 ,52.0 
87 ,32.76 ,0.7494 ,5.281 ,51.8 
88 ,33.11 ,0.7494 ,5.312 ,52.1 
89 ,33.49 ,0.7494 ,5.295 ,52.0 
90 ,33.87 ,0.7494 ,5.305 ,52.1 
91 ,34.25 ,0.7494 ,5.305 ,52.1 
92 ,34.60 ,0.7494 ,5.302 ,52.0 
93 ,34.98 ,0.7494 ,5.292 ,51.9 
94 ,35.37 ,0.7494 ,5.312 ,52.1 
95 ,35.74 ,0.7494 ,5.302 ,52.0 
96 ,36.14 ,0.7494 ,5.309 ,52.1 
97 ,36.53 ,0.7494 ,5.281 ,51.8 
98 ,36.90 ,0.7494 ,5.295 ,52.0 
99 ,37.28 ,0.7494 ,5.285 ,51.9 
100 ,37.64 ,0.7494 ,5.299 ,52.0 
