Data stamp = , 05-04-2022 10:52:41 123

Calibration Values: 
Slope = , 26.54 , g/V 
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.0000 ,0.59952 ,4.92892 ,48.36260 
2 ,0.2044 ,0.59959 ,4.93577 ,48.42975 
3 ,0.5407 ,0.60044 ,4.93577 ,48.42975 
4 ,0.7488 ,0.60201 ,4.93235 ,48.39618 
5 ,0.9249 ,0.60359 ,4.92208 ,48.29544 
6 ,1.1011 ,0.60534 ,4.91523 ,48.22828 
7 ,1.2929 ,0.60716 ,4.92550 ,48.32902 
8 ,1.4694 ,0.60897 ,4.92892 ,48.36260 
9 ,1.6615 ,0.61085 ,4.89812 ,48.06039 
10 ,1.8533 ,0.61284 ,4.90155 ,48.09397 
11 ,2.0291 ,0.61464 ,4.89812 ,48.06039 
12 ,2.2055 ,0.61636 ,4.87417 ,47.82534 
13 ,2.4133 ,0.61834 ,4.87759 ,47.85892 
14 ,2.5897 ,0.62022 ,4.86390 ,47.72461 
15 ,2.7654 ,0.62195 ,4.85021 ,47.59030 
16 ,2.9414 ,0.62370 ,4.82626 ,47.35525 
17 ,3.1178 ,0.62542 ,4.81257 ,47.22093 
18 ,3.3096 ,0.62742 ,4.81257 ,47.22093 
19 ,3.5019 ,0.62921 ,4.80573 ,47.15378 
20 ,3.7101 ,0.63133 ,4.77835 ,46.88515 
21 ,3.9021 ,0.63334 ,4.74413 ,46.54937 
22 ,4.0943 ,0.63522 ,4.73728 ,46.48221 
23 ,4.2703 ,0.63701 ,4.73044 ,46.41506 
24 ,4.4623 ,0.63888 ,4.68595 ,45.97854 
25 ,4.6545 ,0.64081 ,4.67568 ,45.87780 
26 ,4.8305 ,0.64255 ,4.66199 ,45.74349 
27 ,5.0065 ,0.64439 ,4.65173 ,45.64275 
28 ,5.1826 ,0.64608 ,4.60382 ,45.17266 
29 ,5.3586 ,0.64787 ,4.59013 ,45.03835 
30 ,5.5348 ,0.64972 ,4.59013 ,45.03835 
31 ,5.7267 ,0.65151 ,4.55933 ,44.73614 
32 ,5.9027 ,0.65331 ,4.55249 ,44.66898 
33 ,6.0790 ,0.65511 ,4.51826 ,44.33320 
34 ,6.2710 ,0.65694 ,4.50800 ,44.23247 
35 ,6.4632 ,0.65893 ,4.48746 ,44.03100 
36 ,6.6392 ,0.66071 ,4.47035 ,43.86310 
37 ,6.8313 ,0.66259 ,4.47035 ,43.86310 
38 ,7.0072 ,0.66432 ,4.44298 ,43.59448 
39 ,7.1835 ,0.66612 ,4.41902 ,43.35943 
40 ,7.3591 ,0.66787 ,4.39849 ,43.15796 
41 ,7.5352 ,0.66962 ,4.39164 ,43.09080 
42 ,7.7117 ,0.67141 ,4.37453 ,42.92291 
43 ,7.8878 ,0.67317 ,4.35058 ,42.68786 
44 ,8.0638 ,0.67494 ,4.33004 ,42.48639 
45 ,8.2399 ,0.67663 ,4.32662 ,42.45282 
46 ,8.4159 ,0.67840 ,4.30951 ,42.28492 
47 ,8.5919 ,0.68015 ,4.29924 ,42.18419 
48 ,8.7841 ,0.68212 ,4.27529 ,41.94914 
49 ,8.9760 ,0.68403 ,4.25818 ,41.78125 
50 ,9.1523 ,0.68579 ,4.24449 ,41.64694 
51 ,9.3442 ,0.68767 ,4.21711 ,41.37831 
52 ,9.5364 ,0.68966 ,4.19316 ,41.14326 
53 ,9.7121 ,0.69142 ,4.20000 ,41.21042 
54 ,9.8886 ,0.69316 ,4.17605 ,40.97537 
55 ,10.0806 ,0.69506 ,4.14867 ,40.70674 
56 ,10.2567 ,0.69686 ,4.13498 ,40.57243 
57 ,10.4650 ,0.69883 ,4.13840 ,40.60601 
58 ,10.6729 ,0.70097 ,4.12129 ,40.43812 
59 ,10.8650 ,0.70285 ,4.08365 ,40.06876 
60 ,11.0572 ,0.70487 ,4.06312 ,39.86729 
61 ,11.2331 ,0.70662 ,4.05285 ,39.76655 
62 ,11.4090 ,0.70831 ,4.04943 ,39.73297 
63 ,11.5853 ,0.71008 ,4.04258 ,39.66582 
64 ,11.7773 ,0.71203 ,3.99809 ,39.22930 
65 ,11.9696 ,0.71388 ,3.97756 ,39.02783 
66 ,12.1616 ,0.71588 ,3.96387 ,38.89352 
67 ,12.3376 ,0.71763 ,3.95018 ,38.75920 
68 ,12.5295 ,0.71952 ,3.95018 ,38.75920 
69 ,12.7217 ,0.72137 ,3.93307 ,38.59131 
70 ,12.8972 ,0.72327 ,3.90570 ,38.32268 
71 ,13.0738 ,0.72499 ,3.87832 ,38.05406 
72 ,13.2499 ,0.72672 ,3.87490 ,38.02048 
73 ,13.4419 ,0.72871 ,3.85094 ,37.78543 
74 ,13.6178 ,0.73041 ,3.83383 ,37.61754 
75 ,13.7942 ,0.73222 ,3.82014 ,37.48323 
76 ,13.9700 ,0.73397 ,3.81672 ,37.44965 
77 ,14.1462 ,0.73572 ,3.80645 ,37.34891 
78 ,14.3543 ,0.73770 ,3.77565 ,37.04671 
79 ,14.5463 ,0.73970 ,3.75170 ,36.81166 
80 ,14.7383 ,0.74160 ,3.72432 ,36.54303 
81 ,14.9146 ,0.74334 ,3.71063 ,36.40872 
82 ,15.0746 ,0.74512 ,3.71405 ,36.44230 
83 ,15.2507 ,0.74675 ,3.70037 ,36.30799 
84 ,15.4428 ,0.74869 ,3.67641 ,36.07294 
85 ,15.6186 ,0.75041 ,3.65246 ,35.83789 
86 ,15.7949 ,0.75219 ,3.63192 ,35.63642 
87 ,15.9710 ,0.75391 ,3.62850 ,35.60284 
88 ,16.1629 ,0.75587 ,3.61823 ,35.50211 
89 ,16.3551 ,0.75780 ,3.58059 ,35.13275 
90 ,16.5313 ,0.75952 ,3.57375 ,35.06559 
91 ,16.7234 ,0.76141 ,3.56006 ,34.93128 
92 ,16.8993 ,0.76326 ,3.54637 ,34.79696 
93 ,17.0754 ,0.76501 ,3.51215 ,34.46118 
94 ,17.2677 ,0.76689 ,3.52584 ,34.59549 
95 ,17.4436 ,0.76880 ,3.49504 ,34.29329 
96 ,17.6197 ,0.77042 ,3.47792 ,34.12540 
97 ,17.8117 ,0.77226 ,3.46766 ,34.02466 
98 ,17.9877 ,0.77409 ,3.47108 ,34.05824 
99 ,18.1639 ,0.77590 ,3.42317 ,33.58814 
100 ,18.3561 ,0.77781 ,3.40948 ,33.45383 
101 ,18.5480 ,0.77975 ,3.41975 ,33.55457 
102 ,18.7239 ,0.78147 ,3.38895 ,33.25236 
103 ,18.9158 ,0.78332 ,3.35130 ,32.88300 
104 ,19.0918 ,0.78516 ,3.35473 ,32.91658 
105 ,19.2680 ,0.78688 ,3.33762 ,32.74869 
106 ,19.4445 ,0.78867 ,3.32393 ,32.61437 
107 ,19.6525 ,0.79072 ,3.29997 ,32.37933 
108 ,19.8285 ,0.79247 ,3.28628 ,32.24501 
109 ,20.0048 ,0.79427 ,3.26917 ,32.07712 
110 ,20.1646 ,0.79600 ,3.24180 ,31.80849 
111 ,20.3405 ,0.79768 ,3.23837 ,31.77492 
112 ,20.5329 ,0.79945 ,3.20757 ,31.47271 
113 ,20.7250 ,0.80145 ,3.21442 ,31.53987 
114 ,20.9008 ,0.80326 ,3.19731 ,31.37198 
115 ,21.0772 ,0.80496 ,3.16309 ,31.03619 
116 ,21.2852 ,0.80702 ,3.16651 ,31.06977 
117 ,21.4773 ,0.80891 ,3.12886 ,30.70041 
118 ,21.6695 ,0.81091 ,3.12202 ,30.63325 
119 ,21.8456 ,0.81270 ,3.11175 ,30.53252 
120 ,22.0217 ,0.81445 ,3.09122 ,30.33105 
121 ,22.2296 ,0.81641 ,3.05700 ,29.99527 
122 ,22.4058 ,0.81829 ,3.06384 ,30.06242 
123 ,22.5979 ,0.82015 ,3.03304 ,29.76022 
124 ,22.8219 ,0.82231 ,3.00567 ,29.49159 
125 ,22.9979 ,0.82418 ,2.99882 ,29.42444 
126 ,23.1742 ,0.82595 ,2.97487 ,29.18939 
127 ,23.3502 ,0.82770 ,2.95776 ,29.02150 
128 ,23.5583 ,0.82974 ,2.95091 ,28.95434 
129 ,23.7342 ,0.83154 ,2.92353 ,28.68571 
130 ,23.9105 ,0.83327 ,2.92011 ,28.65213 
131 ,24.1024 ,0.83521 ,2.90642 ,28.51782 
132 ,24.2943 ,0.83713 ,2.87220 ,28.18204 
133 ,24.4709 ,0.83890 ,2.87905 ,28.24919 
134 ,24.6467 ,0.84063 ,2.85167 ,27.98057 
135 ,24.8227 ,0.84248 ,2.84482 ,27.91341 
136 ,24.9989 ,0.84422 ,2.82429 ,27.71194 
137 ,25.1909 ,0.84611 ,2.79691 ,27.44332 
138 ,25.3672 ,0.84787 ,2.80034 ,27.47689 
139 ,25.5592 ,0.84984 ,2.77638 ,27.24185 
140 ,25.7352 ,0.85168 ,2.74900 ,26.97322 
141 ,25.9273 ,0.85344 ,2.74558 ,26.93964 
142 ,26.1032 ,0.85526 ,2.74216 ,26.90606 
143 ,26.2795 ,0.85697 ,2.71820 ,26.67101 
144 ,26.4554 ,0.85881 ,2.69425 ,26.43597 
145 ,26.6314 ,0.86048 ,2.66003 ,26.10018 
146 ,26.8077 ,0.86226 ,2.67029 ,26.20092 
147 ,26.9996 ,0.86418 ,2.66345 ,26.13376 
148 ,27.1758 ,0.86593 ,2.63265 ,25.83156 
149 ,27.3519 ,0.86768 ,2.60527 ,25.56293 
150 ,27.5280 ,0.86948 ,2.59843 ,25.49577 
151 ,27.7357 ,0.87150 ,2.57447 ,25.26073 
152 ,27.9122 ,0.87332 ,2.56078 ,25.12641 
153 ,28.1201 ,0.87531 ,2.56421 ,25.15999 
154 ,28.3123 ,0.87729 ,2.52656 ,24.79063 
155 ,28.5204 ,0.87923 ,2.52656 ,24.79063 
156 ,28.7125 ,0.88122 ,2.50945 ,24.62274 
157 ,28.8884 ,0.88306 ,2.46496 ,24.18622 
158 ,29.0806 ,0.88497 ,2.48207 ,24.35411 
159 ,29.2727 ,0.88692 ,2.43416 ,23.88402 
160 ,29.4485 ,0.88867 ,2.42048 ,23.74970 
161 ,29.6248 ,0.89042 ,2.41021 ,23.64897 
162 ,29.8006 ,0.89220 ,2.41705 ,23.71612 
163 ,29.9769 ,0.89393 ,2.38625 ,23.41392 
164 ,30.1689 ,0.89590 ,2.37256 ,23.27961 
165 ,30.3611 ,0.89778 ,2.36572 ,23.21245 
166 ,30.5690 ,0.89978 ,2.33492 ,22.91024 
167 ,30.7453 ,0.90161 ,2.33492 ,22.91024 
168 ,30.9211 ,0.90342 ,2.31781 ,22.74235 
169 ,31.1131 ,0.90532 ,2.28701 ,22.44015 
170 ,31.3215 ,0.90727 ,2.27674 ,22.33941 
171 ,31.4975 ,0.90915 ,2.27332 ,22.30584 
172 ,31.6736 ,0.91096 ,2.24937 ,22.07079 
173 ,31.8658 ,0.91284 ,2.22883 ,21.86932 
174 ,32.0576 ,0.91465 ,2.21857 ,21.76858 
175 ,32.2498 ,0.91660 ,2.19803 ,21.56711 
176 ,32.4256 ,0.91845 ,2.17066 ,21.29849 
177 ,32.6180 ,0.92030 ,2.17066 ,21.29849 
178 ,32.7940 ,0.92215 ,2.15012 ,21.09702 
179 ,32.9862 ,0.92402 ,2.13644 ,20.96270 
180 ,33.1621 ,0.92581 ,2.12959 ,20.89555 
181 ,33.3382 ,0.92756 ,2.10564 ,20.66050 
182 ,33.5144 ,0.92935 ,2.07826 ,20.39187 
183 ,33.6903 ,0.93112 ,2.06115 ,20.22398 
184 ,33.8825 ,0.93297 ,2.05430 ,20.15682 
185 ,34.0744 ,0.93486 ,2.02008 ,19.82104 
186 ,34.2667 ,0.93677 ,2.00639 ,19.68673 
187 ,34.4583 ,0.93877 ,2.01324 ,19.75388 
188 ,34.6509 ,0.94055 ,1.97559 ,19.38452 
189 ,34.8427 ,0.94265 ,1.97559 ,19.38452 
190 ,35.0189 ,0.94435 ,1.96190 ,19.25021 
191 ,35.1947 ,0.94614 ,1.94822 ,19.11590 
192 ,35.3713 ,0.94791 ,1.91742 ,18.81369 
193 ,35.5472 ,0.94966 ,1.90031 ,18.64580 
194 ,35.7390 ,0.95152 ,1.89346 ,18.57864 
195 ,35.9154 ,0.95330 ,1.87293 ,18.37717 
196 ,36.0914 ,0.95508 ,1.85924 ,18.24286 
197 ,36.2674 ,0.95686 ,1.85240 ,18.17570 
198 ,36.4595 ,0.95875 ,1.83871 ,18.04139 
199 ,36.6518 ,0.96063 ,1.80106 ,17.67203 
200 ,36.8277 ,0.96251 ,1.79422 ,17.60487 
201 ,37.0039 ,0.96420 ,1.79422 ,17.60487 
202 ,37.1798 ,0.96595 ,1.78053 ,17.47056 
203 ,37.3717 ,0.96782 ,1.74973 ,17.16836 
204 ,37.5478 ,0.96964 ,1.73262 ,17.00046 
205 ,37.7401 ,0.97155 ,1.73946 ,17.06762 
206 ,37.9161 ,0.97337 ,1.68129 ,16.49679 
207 ,38.0922 ,0.97509 ,1.68813 ,16.56395 
208 ,38.2685 ,0.97687 ,1.66418 ,16.32890 
209 ,38.4441 ,0.97873 ,1.67102 ,16.39605 
210 ,38.6205 ,0.98040 ,1.65049 ,16.19458 
211 ,38.8283 ,0.98239 ,1.62653 ,15.95954 
212 ,39.0207 ,0.98427 ,1.60258 ,15.72449 
213 ,39.2128 ,0.98631 ,1.59231 ,15.62375 
214 ,39.4048 ,0.98819 ,1.58204 ,15.52302 
215 ,39.5807 ,0.98996 ,1.58889 ,15.59018 
216 ,39.7570 ,0.99174 ,1.56836 ,15.38871 
217 ,39.9489 ,0.99357 ,1.52729 ,14.98577 
218 ,40.1250 ,0.99545 ,1.52729 ,14.98577 
219 ,40.3011 ,0.99713 ,1.52387 ,14.95219 
220 ,40.4930 ,0.99911 ,1.49991 ,14.71714 
221 ,40.6693 ,1.00080 ,1.47596 ,14.48209 
222 ,40.8614 ,1.00280 ,1.46911 ,14.41493 
223 ,41.0534 ,1.00471 ,1.44516 ,14.17989 
224 ,41.2295 ,1.00640 ,1.42462 ,13.97842 
225 ,41.4055 ,1.00822 ,1.41094 ,13.84410 
226 ,41.5975 ,1.01006 ,1.40409 ,13.77695 
227 ,41.7895 ,1.01198 ,1.37671 ,13.50832 
228 ,41.9818 ,1.01398 ,1.37329 ,13.47474 
229 ,42.1576 ,1.01577 ,1.36303 ,13.37401 
230 ,42.3660 ,1.01774 ,1.33565 ,13.10538 
231 ,42.5419 ,1.01950 ,1.31512 ,12.90391 
232 ,42.7336 ,1.02147 ,1.30485 ,12.80318 
233 ,42.9100 ,1.02320 ,1.28432 ,12.60171 
234 ,43.0863 ,1.02500 ,1.27405 ,12.50097 
235 ,43.2785 ,1.02694 ,1.28432 ,12.60171 
236 ,43.4705 ,1.02887 ,1.25009 ,12.26592 
237 ,43.6465 ,1.03065 ,1.22614 ,12.03088 
238 ,43.8384 ,1.03246 ,1.24325 ,12.19877 
239 ,44.0147 ,1.03428 ,1.20561 ,11.82941 
240 ,44.1908 ,1.03606 ,1.19192 ,11.69509 
241 ,44.3828 ,1.03800 ,1.18507 ,11.62794 
242 ,44.5590 ,1.03972 ,1.17823 ,11.56078 
243 ,44.7508 ,1.04167 ,1.16112 ,11.39289 
