Data stamp = , 03-04-2022 16:20:39 569

Calibration Values: 
Slope = , 26.54  , g/V
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,3.4521 ,3.29996 ,0.45273 ,4.44218 
2 ,6.7394 ,3.09993 ,0.46300 ,4.54291 
3 ,10.0283 ,2.89989 ,0.46984 ,4.61007 
4 ,13.3224 ,2.69986 ,0.48011 ,4.71081 
5 ,16.6267 ,2.49985 ,0.46642 ,4.57649 
6 ,19.9371 ,2.29982 ,0.44931 ,4.40860 
7 ,23.2247 ,2.09978 ,0.44588 ,4.37502 
8 ,26.5128 ,1.89975 ,0.44931 ,4.40860 
9 ,29.8081 ,1.69971 ,0.43904 ,4.30787 
10 ,33.0922 ,1.49974 ,0.53144 ,5.21448 
11 ,36.3943 ,1.29970 ,1.32196 ,12.97107 
12 ,38.6758 ,1.19969 ,1.64707 ,16.16101 
13 ,40.3828 ,1.14969 ,1.85924 ,18.24286 
14 ,42.0903 ,1.09967 ,2.02008 ,19.82104 
15 ,43.7969 ,1.04964 ,2.13986 ,20.99628 
16 ,45.4993 ,0.99962 ,2.39652 ,23.51465 
17 ,47.1923 ,0.94960 ,2.77980 ,27.27542 
18 ,48.8990 ,0.89957 ,3.08095 ,30.23031 
19 ,50.6062 ,0.84952 ,3.29655 ,32.34575 
20 ,52.3030 ,0.79953 ,3.74485 ,36.74450 
21 ,54.0131 ,0.74950 ,4.17262 ,40.94179 
22 ,55.7038 ,0.69948 ,4.59355 ,45.07192 
23 ,57.4267 ,0.64946 ,5.00763 ,49.13490 
24 ,59.1320 ,0.59946 ,5.51754 ,54.13806 

Plateau measurements: 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.01 ,0.5995 ,5.524 ,54.2 
2 ,0.39 ,0.5995 ,5.473 ,53.7 
3 ,0.75 ,0.5995 ,5.470 ,53.7 
4 ,1.12 ,0.5995 ,5.483 ,53.8 
5 ,1.51 ,0.5995 ,5.459 ,53.6 
6 ,1.87 ,0.5995 ,5.453 ,53.5 
7 ,2.25 ,0.5995 ,5.459 ,53.6 
8 ,2.62 ,0.5995 ,5.432 ,53.3 
9 ,2.97 ,0.5995 ,5.432 ,53.3 
10 ,3.35 ,0.5995 ,5.418 ,53.2 
11 ,3.73 ,0.5995 ,5.429 ,53.3 
12 ,4.09 ,0.5995 ,5.435 ,53.3 
13 ,4.46 ,0.5995 ,5.422 ,53.2 
14 ,4.81 ,0.5995 ,5.429 ,53.3 
15 ,5.20 ,0.5995 ,5.415 ,53.1 
16 ,5.55 ,0.5995 ,5.422 ,53.2 
17 ,5.91 ,0.5995 ,5.401 ,53.0 
18 ,6.26 ,0.5995 ,5.418 ,53.2 
19 ,6.64 ,0.5995 ,5.387 ,52.9 
20 ,6.99 ,0.5995 ,5.398 ,53.0 
21 ,7.38 ,0.5995 ,5.408 ,53.1 
22 ,7.74 ,0.5995 ,5.391 ,52.9 
23 ,8.08 ,0.5995 ,5.401 ,53.0 
24 ,8.46 ,0.5995 ,5.381 ,52.8 
25 ,8.81 ,0.5995 ,5.394 ,52.9 
26 ,9.17 ,0.5995 ,5.381 ,52.8 
27 ,9.52 ,0.5995 ,5.401 ,53.0 
28 ,9.89 ,0.5995 ,5.387 ,52.9 
29 ,10.24 ,0.5995 ,5.377 ,52.8 
30 ,10.60 ,0.5995 ,5.387 ,52.9 
31 ,10.94 ,0.5995 ,5.377 ,52.8 
32 ,11.31 ,0.5995 ,5.377 ,52.8 
33 ,11.68 ,0.5995 ,5.377 ,52.8 
34 ,12.03 ,0.5995 ,5.387 ,52.9 
35 ,12.39 ,0.5995 ,5.364 ,52.6 
36 ,12.74 ,0.5995 ,5.364 ,52.6 
37 ,13.09 ,0.5995 ,5.350 ,52.5 
38 ,13.45 ,0.5995 ,5.374 ,52.7 
39 ,13.81 ,0.5995 ,5.353 ,52.5 
40 ,14.18 ,0.5995 ,5.367 ,52.7 
41 ,14.53 ,0.5995 ,5.353 ,52.5 
42 ,14.91 ,0.5995 ,5.367 ,52.7 
43 ,15.29 ,0.5995 ,5.367 ,52.7 
44 ,15.65 ,0.5995 ,5.360 ,52.6 
45 ,16.03 ,0.5995 ,5.357 ,52.6 
46 ,16.39 ,0.5995 ,5.346 ,52.5 
47 ,16.77 ,0.5995 ,5.346 ,52.5 
48 ,17.14 ,0.5995 ,5.353 ,52.5 
49 ,17.49 ,0.5995 ,5.350 ,52.5 
50 ,17.85 ,0.5995 ,5.340 ,52.4 
51 ,18.23 ,0.5995 ,5.346 ,52.5 
52 ,18.57 ,0.5995 ,5.340 ,52.4 
53 ,18.93 ,0.5995 ,5.360 ,52.6 
54 ,19.29 ,0.5995 ,5.326 ,52.3 
55 ,19.65 ,0.5995 ,5.336 ,52.4 
56 ,20.02 ,0.5995 ,5.336 ,52.4 
57 ,20.37 ,0.5995 ,5.340 ,52.4 
58 ,20.74 ,0.5995 ,5.333 ,52.3 
59 ,21.10 ,0.5995 ,5.333 ,52.3 
60 ,21.45 ,0.5995 ,5.329 ,52.3 
61 ,21.83 ,0.5995 ,5.319 ,52.2 
62 ,22.21 ,0.5995 ,5.340 ,52.4 
63 ,22.57 ,0.5995 ,5.319 ,52.2 
64 ,22.93 ,0.5995 ,5.319 ,52.2 
65 ,23.31 ,0.5995 ,5.336 ,52.4 
66 ,23.67 ,0.5995 ,5.319 ,52.2 
67 ,24.04 ,0.5995 ,5.322 ,52.2 
68 ,24.41 ,0.5995 ,5.322 ,52.2 
69 ,24.79 ,0.5995 ,5.329 ,52.3 
70 ,25.14 ,0.5995 ,5.329 ,52.3 
71 ,25.49 ,0.5995 ,5.309 ,52.1 
72 ,25.87 ,0.5995 ,5.316 ,52.2 
73 ,26.22 ,0.5995 ,5.302 ,52.0 
74 ,26.59 ,0.5995 ,5.312 ,52.1 
75 ,26.96 ,0.5995 ,5.312 ,52.1 
76 ,27.31 ,0.5995 ,5.326 ,52.3 
77 ,27.70 ,0.5995 ,5.322 ,52.2 
78 ,28.07 ,0.5995 ,5.302 ,52.0 
79 ,28.42 ,0.5995 ,5.305 ,52.1 
80 ,28.78 ,0.5995 ,5.312 ,52.1 
81 ,29.17 ,0.5995 ,5.316 ,52.2 
82 ,29.55 ,0.5995 ,5.312 ,52.1 
83 ,29.92 ,0.5995 ,5.302 ,52.0 
84 ,30.27 ,0.5995 ,5.316 ,52.2 
85 ,30.65 ,0.5995 ,5.319 ,52.2 
86 ,31.01 ,0.5995 ,5.312 ,52.1 
87 ,31.39 ,0.5995 ,5.299 ,52.0 
88 ,31.76 ,0.5995 ,5.302 ,52.0 
89 ,32.12 ,0.5995 ,5.305 ,52.1 
90 ,32.50 ,0.5995 ,5.309 ,52.1 
91 ,32.86 ,0.5995 ,5.292 ,51.9 
92 ,33.20 ,0.5995 ,5.295 ,52.0 
93 ,33.56 ,0.5995 ,5.305 ,52.1 
94 ,33.94 ,0.5995 ,5.302 ,52.0 
95 ,34.30 ,0.5995 ,5.309 ,52.1 
96 ,34.65 ,0.5995 ,5.278 ,51.8 
97 ,34.99 ,0.5995 ,5.299 ,52.0 
98 ,35.36 ,0.5995 ,5.299 ,52.0 
99 ,35.72 ,0.5995 ,5.299 ,52.0 
100 ,36.10 ,0.5995 ,5.302 ,52.0 
