Data stamp = , 03-04-2022 16:35:35 411

Calibration Values: 
Slope = , 26.54 , g/V 
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.0000 ,0.59949 ,5.28141 ,51.82116 
2 ,0.2050 ,0.59954 ,5.26430 ,51.65327 
3 ,0.4769 ,0.60028 ,5.26772 ,51.68685 
4 ,0.6531 ,0.60136 ,5.27456 ,51.75401 
5 ,0.8612 ,0.60285 ,5.27456 ,51.75401 
6 ,1.0534 ,0.60477 ,5.27456 ,51.75401 
7 ,1.2292 ,0.60652 ,5.27798 ,51.78758 
8 ,1.4053 ,0.60824 ,5.28141 ,51.82116 
9 ,1.5813 ,0.61007 ,5.25745 ,51.58611 
10 ,1.7574 ,0.61182 ,5.25061 ,51.51896 
11 ,1.9336 ,0.61359 ,5.22323 ,51.25033 
12 ,2.1097 ,0.61535 ,5.21296 ,51.14960 
13 ,2.2858 ,0.61709 ,5.18216 ,50.84739 
14 ,2.4615 ,0.61889 ,5.17532 ,50.78023 
15 ,2.6379 ,0.62063 ,5.16163 ,50.64592 
16 ,2.8141 ,0.62242 ,5.14452 ,50.47803 
17 ,2.9900 ,0.62417 ,5.12741 ,50.31014 
18 ,3.1662 ,0.62592 ,5.10003 ,50.04151 
19 ,3.3742 ,0.62783 ,5.08292 ,49.87362 
20 ,3.5503 ,0.62969 ,5.05897 ,49.63857 
21 ,3.7265 ,0.63153 ,5.06581 ,49.70573 
22 ,3.9184 ,0.63345 ,5.05212 ,49.57142 
23 ,4.0943 ,0.63513 ,5.02132 ,49.26921 
24 ,4.2707 ,0.63698 ,5.01448 ,49.20205 
25 ,4.4466 ,0.63876 ,4.99052 ,48.96701 
26 ,4.6227 ,0.64042 ,4.97341 ,48.79911 
27 ,4.7989 ,0.64229 ,4.94946 ,48.56407 
28 ,4.9750 ,0.64396 ,4.95288 ,48.59764 
29 ,5.1669 ,0.64581 ,4.90839 ,48.16113 
30 ,5.3591 ,0.64783 ,4.91181 ,48.19471 
31 ,5.5351 ,0.64953 ,4.89128 ,47.99324 
32 ,5.6952 ,0.65128 ,4.86732 ,47.75819 
33 ,5.8870 ,0.65303 ,4.85364 ,47.62387 
34 ,6.0793 ,0.65492 ,4.84337 ,47.52314 
35 ,6.2714 ,0.65695 ,4.80915 ,47.18736 
36 ,6.4476 ,0.65868 ,4.79888 ,47.08662 
37 ,6.6235 ,0.66049 ,4.79888 ,47.08662 
38 ,6.8157 ,0.66234 ,4.76466 ,46.75084 
39 ,7.0080 ,0.66430 ,4.75439 ,46.65010 
40 ,7.1676 ,0.66602 ,4.74413 ,46.54937 
41 ,7.3438 ,0.66769 ,4.72359 ,46.34790 
42 ,7.5198 ,0.66940 ,4.71675 ,46.28074 
43 ,7.6958 ,0.67120 ,4.68937 ,46.01212 
44 ,7.8880 ,0.67303 ,4.66199 ,45.74349 
45 ,8.0802 ,0.67502 ,4.65515 ,45.67633 
46 ,8.2721 ,0.67693 ,4.63462 ,45.47486 
47 ,8.4483 ,0.67873 ,4.61408 ,45.27339 
48 ,8.6403 ,0.68069 ,4.60382 ,45.17266 
49 ,8.8161 ,0.68237 ,4.57986 ,44.93761 
50 ,8.9926 ,0.68410 ,4.55933 ,44.73614 
51 ,9.2007 ,0.68609 ,4.54222 ,44.56825 
52 ,9.4247 ,0.68833 ,4.53537 ,44.50109 
53 ,9.6169 ,0.69036 ,4.50457 ,44.19889 
54 ,9.8089 ,0.69232 ,4.49089 ,44.06457 
55 ,9.9849 ,0.69403 ,4.48062 ,43.96384 
56 ,10.1769 ,0.69590 ,4.46693 ,43.82953 
57 ,10.3531 ,0.69775 ,4.43955 ,43.56090 
58 ,10.5292 ,0.69952 ,4.42244 ,43.39301 
59 ,10.7213 ,0.70146 ,4.41902 ,43.35943 
60 ,10.9289 ,0.70347 ,4.37111 ,42.88933 
61 ,11.1215 ,0.70530 ,4.39164 ,43.09080 
62 ,11.3135 ,0.70737 ,4.34373 ,42.62071 
63 ,11.4895 ,0.70910 ,4.33347 ,42.51997 
64 ,11.6656 ,0.71091 ,4.31293 ,42.31850 
65 ,11.8575 ,0.71273 ,4.28898 ,42.08345 
66 ,12.0337 ,0.71452 ,4.27529 ,41.94914 
67 ,12.2096 ,0.71633 ,4.24791 ,41.68051 
68 ,12.3854 ,0.71805 ,4.25133 ,41.71409 
69 ,12.5615 ,0.71981 ,4.24791 ,41.68051 
70 ,12.7379 ,0.72161 ,4.21027 ,41.31115 
71 ,12.9297 ,0.72362 ,4.20685 ,41.27758 
72 ,13.0901 ,0.72524 ,4.17605 ,40.97537 
73 ,13.2659 ,0.72687 ,4.15209 ,40.74032 
74 ,13.4262 ,0.72859 ,4.15551 ,40.77390 
75 ,13.6025 ,0.73025 ,4.13498 ,40.57243 
76 ,13.7785 ,0.73201 ,4.12471 ,40.47170 
77 ,13.9546 ,0.73376 ,4.07338 ,39.96802 
78 ,14.1304 ,0.73554 ,4.07338 ,39.96802 
79 ,14.3066 ,0.73726 ,4.06654 ,39.90087 
80 ,14.4827 ,0.73904 ,4.04943 ,39.73297 
81 ,14.6749 ,0.74089 ,4.02547 ,39.49793 
82 ,14.8508 ,0.74274 ,3.99467 ,39.19572 
83 ,15.0269 ,0.74448 ,3.99809 ,39.22930 
84 ,15.2509 ,0.74656 ,3.97414 ,38.99425 
85 ,15.4431 ,0.74860 ,3.94334 ,38.69205 
86 ,15.6192 ,0.75042 ,3.93650 ,38.62489 
87 ,15.7953 ,0.75217 ,3.90227 ,38.28911 
88 ,15.9714 ,0.75395 ,3.89885 ,38.25553 
89 ,16.1634 ,0.75579 ,3.88174 ,38.08764 
90 ,16.3555 ,0.75768 ,3.85436 ,37.81901 
91 ,16.5474 ,0.75968 ,3.85779 ,37.85259 
92 ,16.7393 ,0.76163 ,3.83725 ,37.65112 
93 ,16.9315 ,0.76348 ,3.81672 ,37.44965 
94 ,17.1239 ,0.76542 ,3.81672 ,37.44965 
95 ,17.2999 ,0.76723 ,3.78250 ,37.11387 
96 ,17.4758 ,0.76892 ,3.77565 ,37.04671 
97 ,17.6520 ,0.77071 ,3.73459 ,36.64377 
98 ,17.8280 ,0.77242 ,3.73459 ,36.64377 
99 ,18.0043 ,0.77421 ,3.72432 ,36.54303 
100 ,18.1962 ,0.77609 ,3.67983 ,36.10652 
101 ,18.3721 ,0.77794 ,3.68325 ,36.14010 
102 ,18.5480 ,0.77965 ,3.68325 ,36.14010 
103 ,18.7243 ,0.78141 ,3.65588 ,35.87147 
104 ,18.9006 ,0.78317 ,3.63877 ,35.70358 
105 ,19.0926 ,0.78503 ,3.62166 ,35.53569 
106 ,19.3167 ,0.78721 ,3.57717 ,35.09917 
107 ,19.4928 ,0.78908 ,3.57032 ,35.03201 
108 ,19.6850 ,0.79100 ,3.56006 ,34.93128 
109 ,19.8609 ,0.79279 ,3.54295 ,34.76338 
110 ,20.0370 ,0.79450 ,3.51899 ,34.52834 
111 ,20.2132 ,0.79634 ,3.50530 ,34.39402 
112 ,20.3892 ,0.79810 ,3.50188 ,34.36045 
113 ,20.5812 ,0.80005 ,3.47792 ,34.12540 
114 ,20.7572 ,0.80173 ,3.45397 ,33.89035 
115 ,20.9334 ,0.80357 ,3.44370 ,33.78961 
116 ,21.1096 ,0.80524 ,3.44028 ,33.75604 
117 ,21.3176 ,0.80721 ,3.40948 ,33.45383 
118 ,21.5094 ,0.80919 ,3.39921 ,33.35310 
119 ,21.6857 ,0.81104 ,3.38895 ,33.25236 
120 ,21.8618 ,0.81276 ,3.35473 ,32.91658 
121 ,22.0379 ,0.81454 ,3.33077 ,32.68153 
122 ,22.2295 ,0.81639 ,3.34104 ,32.78227 
123 ,22.4060 ,0.81823 ,3.31024 ,32.48006 
124 ,22.5817 ,0.82001 ,3.29655 ,32.34575 
125 ,22.7581 ,0.82173 ,3.27944 ,32.17786 
126 ,22.9498 ,0.82368 ,3.26917 ,32.07712 
127 ,23.1262 ,0.82543 ,3.25891 ,31.97639 
128 ,23.3024 ,0.82719 ,3.23153 ,31.70776 
129 ,23.4784 ,0.82898 ,3.20757 ,31.47271 
130 ,23.6704 ,0.83087 ,3.22468 ,31.64060 
131 ,23.8465 ,0.83260 ,3.19731 ,31.37198 
132 ,24.0227 ,0.83439 ,3.17677 ,31.17051 
133 ,24.2147 ,0.83624 ,3.15966 ,31.00262 
134 ,24.3908 ,0.83807 ,3.13913 ,30.80115 
135 ,24.5825 ,0.83995 ,3.12544 ,30.66683 
136 ,24.7425 ,0.84169 ,3.09806 ,30.39821 
137 ,24.9189 ,0.84339 ,3.09464 ,30.36463 
138 ,25.1110 ,0.84531 ,3.09122 ,30.33105 
139 ,25.2870 ,0.84701 ,3.07411 ,30.16316 
140 ,25.4632 ,0.84881 ,3.05358 ,29.96169 
141 ,25.6392 ,0.85056 ,3.02278 ,29.65948 
142 ,25.8313 ,0.85247 ,3.01251 ,29.55875 
143 ,26.0232 ,0.85435 ,3.00909 ,29.52517 
144 ,26.1996 ,0.85615 ,2.98171 ,29.25654 
145 ,26.3916 ,0.85806 ,2.98513 ,29.29012 
146 ,26.5835 ,0.85991 ,2.93722 ,28.82003 
147 ,26.7597 ,0.86178 ,2.92353 ,28.68571 
148 ,26.9358 ,0.86353 ,2.92696 ,28.71929 
149 ,27.1279 ,0.86542 ,2.90985 ,28.55140 
150 ,27.3039 ,0.86717 ,2.89616 ,28.41709 
151 ,27.4801 ,0.86892 ,2.86878 ,28.14846 
152 ,27.6560 ,0.87069 ,2.86536 ,28.11488 
153 ,27.8321 ,0.87243 ,2.85851 ,28.04772 
154 ,28.0082 ,0.87426 ,2.83456 ,27.81268 
155 ,28.2005 ,0.87620 ,2.81402 ,27.61121 
156 ,28.3763 ,0.87790 ,2.79349 ,27.40974 
157 ,28.5525 ,0.87971 ,2.79349 ,27.40974 
158 ,28.7285 ,0.88147 ,2.79007 ,27.37616 
159 ,28.9044 ,0.88318 ,2.75243 ,27.00680 
160 ,29.0808 ,0.88497 ,2.72505 ,26.73817 
161 ,29.2729 ,0.88689 ,2.73874 ,26.87248 
162 ,29.4488 ,0.88870 ,2.71478 ,26.63744 
163 ,29.6249 ,0.89036 ,2.69083 ,26.40239 
164 ,29.8170 ,0.89229 ,2.67714 ,26.26807 
165 ,29.9927 ,0.89411 ,2.66345 ,26.13376 
166 ,30.1692 ,0.89584 ,2.65660 ,26.06661 
167 ,30.3772 ,0.89785 ,2.63607 ,25.86514 
168 ,30.5532 ,0.89966 ,2.62923 ,25.79798 
169 ,30.7293 ,0.90141 ,2.60869 ,25.59651 
170 ,30.9054 ,0.90316 ,2.57789 ,25.29430 
171 ,31.0811 ,0.90494 ,2.55736 ,25.09283 
172 ,31.2575 ,0.90669 ,2.55052 ,25.02568 
173 ,31.4336 ,0.90851 ,2.54025 ,24.92494 
174 ,31.6257 ,0.91036 ,2.52656 ,24.79063 
175 ,31.8020 ,0.91218 ,2.49576 ,24.48842 
176 ,31.9939 ,0.91405 ,2.48550 ,24.38769 
177 ,32.1538 ,0.91577 ,2.48550 ,24.38769 
178 ,32.3301 ,0.91739 ,2.46154 ,24.15264 
179 ,32.5064 ,0.91922 ,2.45812 ,24.11906 
180 ,32.6660 ,0.92093 ,2.43759 ,23.91759 
181 ,32.8583 ,0.92260 ,2.41363 ,23.68255 
182 ,33.0341 ,0.92448 ,2.40679 ,23.61539 
183 ,33.2423 ,0.92654 ,2.37941 ,23.34676 
184 ,33.4184 ,0.92829 ,2.36572 ,23.21245 
185 ,33.5946 ,0.93010 ,2.35545 ,23.11171 
186 ,33.7706 ,0.93189 ,2.35203 ,23.07814 
187 ,33.9626 ,0.93375 ,2.31439 ,22.70877 
188 ,34.1387 ,0.93547 ,2.32123 ,22.77593 
189 ,34.3306 ,0.93738 ,2.30754 ,22.64162 
190 ,34.5228 ,0.93935 ,2.25963 ,22.17152 
191 ,34.6989 ,0.94114 ,2.25963 ,22.17152 
192 ,34.8750 ,0.94285 ,2.24937 ,22.07079 
193 ,35.0511 ,0.94464 ,2.23910 ,21.97005 
194 ,35.2268 ,0.94638 ,2.22199 ,21.80216 
195 ,35.4028 ,0.94818 ,2.19461 ,21.53353 
196 ,35.5788 ,0.94990 ,2.18777 ,21.46638 
197 ,35.7554 ,0.95171 ,2.18435 ,21.43280 
198 ,35.9795 ,0.95380 ,2.15697 ,21.16417 
199 ,36.1556 ,0.95573 ,2.13301 ,20.92912 
200 ,36.3473 ,0.95754 ,2.10906 ,20.69408 
201 ,36.5238 ,0.95936 ,2.09537 ,20.55976 
202 ,36.7155 ,0.96129 ,2.09537 ,20.55976 
203 ,36.8917 ,0.96298 ,2.08852 ,20.49261 
204 ,37.0840 ,0.96499 ,2.06115 ,20.22398 
205 ,37.2598 ,0.96674 ,2.04746 ,20.08967 
206 ,37.4359 ,0.96843 ,2.04061 ,20.02251 
207 ,37.6121 ,0.97022 ,2.03377 ,19.95535 
208 ,37.7881 ,0.97197 ,1.99613 ,19.58599 
209 ,37.9801 ,0.97391 ,1.98586 ,19.48526 
210 ,38.1563 ,0.97564 ,1.98244 ,19.45168 
211 ,38.3484 ,0.97758 ,1.95164 ,19.14948 
212 ,38.5244 ,0.97932 ,1.94479 ,19.08232 
213 ,38.7006 ,0.98110 ,1.92084 ,18.84727 
214 ,38.8926 ,0.98298 ,1.92084 ,18.84727 
215 ,39.0687 ,0.98480 ,1.91057 ,18.74654 
216 ,39.2605 ,0.98669 ,1.90031 ,18.64580 
217 ,39.4369 ,0.98849 ,1.86608 ,18.31002 
218 ,39.6129 ,0.99021 ,1.85924 ,18.24286 
219 ,39.8051 ,0.99219 ,1.82502 ,17.90708 
220 ,39.9971 ,0.99407 ,1.82844 ,17.94066 
221 ,40.1731 ,0.99580 ,1.82160 ,17.87350 
222 ,40.3651 ,0.99774 ,1.78053 ,17.47056 
223 ,40.5570 ,0.99956 ,1.78395 ,17.50414 
224 ,40.7332 ,1.00144 ,1.76684 ,17.33625 
225 ,40.9413 ,1.00347 ,1.74973 ,17.16836 
226 ,41.1172 ,1.00529 ,1.72920 ,16.96689 
227 ,41.2935 ,1.00708 ,1.72920 ,16.96689 
228 ,41.4696 ,1.00879 ,1.69840 ,16.66468 
229 ,41.6451 ,1.01054 ,1.67444 ,16.42963 
230 ,41.8217 ,1.01232 ,1.68129 ,16.49679 
231 ,41.9978 ,1.01405 ,1.67102 ,16.39605 
232 ,42.1738 ,1.01584 ,1.65391 ,16.22816 
233 ,42.3500 ,1.01759 ,1.63680 ,16.06027 
234 ,42.5421 ,1.01949 ,1.62311 ,15.92596 
235 ,42.7338 ,1.02135 ,1.60942 ,15.79164 
236 ,42.9103 ,1.02325 ,1.59231 ,15.62375 
237 ,43.0861 ,1.02494 ,1.56151 ,15.32155 
238 ,43.2621 ,1.02672 ,1.56493 ,15.35513 
239 ,43.4544 ,1.02864 ,1.55467 ,15.25439 
240 ,43.6305 ,1.03040 ,1.53756 ,15.08650 
241 ,43.8064 ,1.03221 ,1.51360 ,14.85145 
242 ,43.9822 ,1.03387 ,1.49649 ,14.68356 
243 ,44.1585 ,1.03565 ,1.49991 ,14.71714 
