Data stamp = , 01-04-2022 01:30:45 222

Calibration Values: 
Slope = , 26.54  , g/V
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,3.3706 ,3.29999 ,0.19949 ,1.95738 
2 ,6.7128 ,3.09993 ,0.19264 ,1.89023 
3 ,10.0011 ,2.89989 ,0.19607 ,1.92381 
4 ,13.3184 ,2.69986 ,0.19264 ,1.89023 
5 ,16.6285 ,2.49983 ,0.19264 ,1.89023 
6 ,19.9460 ,2.29982 ,0.17896 ,1.75592 
7 ,23.2499 ,2.09978 ,0.19949 ,1.95738 
8 ,26.5537 ,1.89975 ,0.19949 ,1.95738 
9 ,29.8507 ,1.69971 ,0.23029 ,2.25959 
10 ,33.1599 ,1.49971 ,0.61015 ,5.98678 
11 ,35.4489 ,1.39969 ,0.86339 ,8.47158 
12 ,37.1604 ,1.34967 ,0.96948 ,9.51250 
13 ,38.8811 ,1.29967 ,1.05845 ,10.38554 
14 ,40.5924 ,1.24968 ,1.09952 ,10.78848 
15 ,42.3209 ,1.19969 ,1.24325 ,12.19877 
16 ,44.0441 ,1.14966 ,1.50676 ,14.78430 
17 ,45.7676 ,1.09964 ,1.87293 ,18.37717 
18 ,47.4988 ,1.04962 ,2.28359 ,22.40657 
19 ,49.1986 ,0.99959 ,2.71478 ,26.63744 
20 ,50.9757 ,0.94957 ,3.04331 ,29.86095 
21 ,52.6910 ,0.89955 ,3.40606 ,33.42025 
22 ,54.4180 ,0.84955 ,3.75170 ,36.81166 
23 ,56.1178 ,0.79953 ,4.18289 ,41.04253 
24 ,57.8488 ,0.74950 ,4.59355 ,45.07192 
25 ,59.5608 ,0.69945 ,5.03501 ,49.40352 
26 ,61.2745 ,0.64943 ,5.50727 ,54.03733 

Plateau measurements: 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.01 ,0.6494 ,5.483 ,53.8 
2 ,0.39 ,0.6494 ,5.466 ,53.6 
3 ,0.75 ,0.6495 ,5.449 ,53.5 
4 ,1.12 ,0.6495 ,5.466 ,53.6 
5 ,1.48 ,0.6495 ,5.463 ,53.6 
6 ,1.86 ,0.6495 ,5.456 ,53.5 
7 ,2.21 ,0.6495 ,5.432 ,53.3 
8 ,2.58 ,0.6495 ,5.446 ,53.4 
9 ,2.94 ,0.6495 ,5.449 ,53.5 
10 ,3.31 ,0.6495 ,5.432 ,53.3 
11 ,3.68 ,0.6495 ,5.429 ,53.3 
12 ,4.06 ,0.6495 ,5.422 ,53.2 
13 ,4.45 ,0.6495 ,5.415 ,53.1 
14 ,4.81 ,0.6495 ,5.429 ,53.3 
15 ,5.19 ,0.6495 ,5.415 ,53.1 
16 ,5.56 ,0.6495 ,5.401 ,53.0 
17 ,5.92 ,0.6495 ,5.418 ,53.2 
18 ,6.30 ,0.6495 ,5.411 ,53.1 
19 ,6.67 ,0.6495 ,5.418 ,53.2 
20 ,7.04 ,0.6495 ,5.411 ,53.1 
21 ,7.40 ,0.6495 ,5.398 ,53.0 
22 ,7.77 ,0.6495 ,5.387 ,52.9 
23 ,8.14 ,0.6495 ,5.394 ,52.9 
24 ,8.52 ,0.6495 ,5.398 ,53.0 
25 ,8.88 ,0.6495 ,5.384 ,52.8 
26 ,9.25 ,0.6495 ,5.384 ,52.8 
27 ,9.61 ,0.6495 ,5.398 ,53.0 
28 ,9.98 ,0.6495 ,5.387 ,52.9 
29 ,10.37 ,0.6495 ,5.394 ,52.9 
30 ,10.76 ,0.6495 ,5.398 ,53.0 
31 ,11.11 ,0.6495 ,5.377 ,52.8 
32 ,11.48 ,0.6495 ,5.394 ,52.9 
33 ,11.85 ,0.6495 ,5.374 ,52.7 
34 ,12.22 ,0.6495 ,5.387 ,52.9 
35 ,12.57 ,0.6495 ,5.377 ,52.8 
36 ,12.95 ,0.6495 ,5.370 ,52.7 
37 ,13.31 ,0.6495 ,5.384 ,52.8 
38 ,13.67 ,0.6495 ,5.364 ,52.6 
39 ,14.03 ,0.6495 ,5.374 ,52.7 
40 ,14.43 ,0.6495 ,5.377 ,52.8 
41 ,14.80 ,0.6495 ,5.360 ,52.6 
42 ,15.17 ,0.6495 ,5.377 ,52.8 
43 ,15.54 ,0.6495 ,5.364 ,52.6 
44 ,15.91 ,0.6495 ,5.360 ,52.6 
45 ,16.27 ,0.6495 ,5.377 ,52.8 
46 ,16.64 ,0.6495 ,5.367 ,52.7 
47 ,16.99 ,0.6495 ,5.353 ,52.5 
48 ,17.34 ,0.6495 ,5.370 ,52.7 
49 ,17.71 ,0.6495 ,5.353 ,52.5 
50 ,18.08 ,0.6495 ,5.353 ,52.5 
51 ,18.49 ,0.6495 ,5.364 ,52.6 
52 ,18.85 ,0.6495 ,5.364 ,52.6 
53 ,19.24 ,0.6495 ,5.357 ,52.6 
54 ,19.60 ,0.6495 ,5.346 ,52.5 
55 ,19.97 ,0.6495 ,5.364 ,52.6 
56 ,20.34 ,0.6495 ,5.340 ,52.4 
57 ,20.75 ,0.6495 ,5.346 ,52.5 
58 ,21.14 ,0.6495 ,5.333 ,52.3 
59 ,21.52 ,0.6495 ,5.346 ,52.5 
60 ,21.90 ,0.6495 ,5.353 ,52.5 
61 ,22.27 ,0.6495 ,5.326 ,52.3 
62 ,22.62 ,0.6495 ,5.350 ,52.5 
63 ,23.01 ,0.6495 ,5.357 ,52.6 
64 ,23.37 ,0.6495 ,5.350 ,52.5 
65 ,23.73 ,0.6495 ,5.353 ,52.5 
66 ,24.11 ,0.6495 ,5.329 ,52.3 
67 ,24.47 ,0.6495 ,5.350 ,52.5 
68 ,24.83 ,0.6495 ,5.360 ,52.6 
69 ,25.19 ,0.6495 ,5.346 ,52.5 
70 ,25.56 ,0.6495 ,5.322 ,52.2 
71 ,25.95 ,0.6495 ,5.333 ,52.3 
72 ,26.33 ,0.6495 ,5.343 ,52.4 
73 ,26.70 ,0.6495 ,5.340 ,52.4 
74 ,27.08 ,0.6495 ,5.333 ,52.3 
75 ,27.44 ,0.6495 ,5.336 ,52.4 
76 ,27.81 ,0.6495 ,5.322 ,52.2 
77 ,28.18 ,0.6495 ,5.333 ,52.3 
78 ,28.55 ,0.6495 ,5.336 ,52.4 
79 ,28.90 ,0.6495 ,5.336 ,52.4 
80 ,29.28 ,0.6495 ,5.336 ,52.4 
81 ,29.67 ,0.6495 ,5.329 ,52.3 
82 ,30.05 ,0.6495 ,5.316 ,52.2 
83 ,30.41 ,0.6495 ,5.333 ,52.3 
84 ,30.79 ,0.6495 ,5.326 ,52.3 
85 ,31.15 ,0.6495 ,5.312 ,52.1 
86 ,31.52 ,0.6495 ,5.319 ,52.2 
87 ,31.91 ,0.6495 ,5.319 ,52.2 
88 ,32.29 ,0.6495 ,5.305 ,52.1 
89 ,32.70 ,0.6495 ,5.312 ,52.1 
90 ,33.09 ,0.6495 ,5.329 ,52.3 
91 ,33.46 ,0.6495 ,5.329 ,52.3 
92 ,33.82 ,0.6495 ,5.309 ,52.1 
93 ,34.21 ,0.6495 ,5.312 ,52.1 
94 ,34.57 ,0.6495 ,5.305 ,52.1 
95 ,34.97 ,0.6495 ,5.316 ,52.2 
96 ,35.34 ,0.6495 ,5.285 ,51.9 
97 ,35.71 ,0.6495 ,5.312 ,52.1 
98 ,36.07 ,0.6495 ,5.292 ,51.9 
99 ,36.47 ,0.6495 ,5.316 ,52.2 
100 ,36.83 ,0.6495 ,5.302 ,52.0 
