Data stamp = , 01-04-2022 05:36:06 032

Calibration Values: 
Slope = , 26.54 , g/V 
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.0000 ,0.69954 ,4.88101 ,47.89250 
2 ,0.2134 ,0.69963 ,4.88444 ,47.92608 
3 ,0.5176 ,0.70038 ,4.87417 ,47.82534 
4 ,0.7258 ,0.70183 ,4.87417 ,47.82534 
5 ,0.9176 ,0.70352 ,4.87759 ,47.85892 
6 ,1.0938 ,0.70521 ,4.87417 ,47.82534 
7 ,1.2541 ,0.70687 ,4.87417 ,47.82534 
8 ,1.4461 ,0.70869 ,4.86390 ,47.72461 
9 ,1.6224 ,0.71047 ,4.86732 ,47.75819 
10 ,1.7981 ,0.71234 ,4.84337 ,47.52314 
11 ,1.9744 ,0.71411 ,4.83652 ,47.45598 
12 ,2.1504 ,0.71582 ,4.81941 ,47.28809 
13 ,2.3265 ,0.71757 ,4.80573 ,47.15378 
14 ,2.5027 ,0.71930 ,4.76808 ,46.78442 
15 ,2.6946 ,0.72124 ,4.77835 ,46.88515 
16 ,2.8868 ,0.72305 ,4.75782 ,46.68368 
17 ,3.1107 ,0.72527 ,4.74070 ,46.51579 
18 ,3.2866 ,0.72717 ,4.70648 ,46.18001 
19 ,3.4469 ,0.72887 ,4.69964 ,46.11285 
20 ,3.6230 ,0.73056 ,4.68253 ,45.94496 
21 ,3.8150 ,0.73241 ,4.68253 ,45.94496 
22 ,3.9913 ,0.73420 ,4.67226 ,45.84422 
23 ,4.1831 ,0.73611 ,4.63462 ,45.47486 
24 ,4.3594 ,0.73786 ,4.63804 ,45.50844 
25 ,4.5354 ,0.73970 ,4.61751 ,45.30697 
26 ,4.7275 ,0.74158 ,4.59013 ,45.03835 
27 ,4.9035 ,0.74331 ,4.57302 ,44.87045 
28 ,5.0797 ,0.74510 ,4.55591 ,44.70256 
29 ,5.2717 ,0.74698 ,4.54564 ,44.60183 
30 ,5.4636 ,0.74892 ,4.50457 ,44.19889 
31 ,5.6717 ,0.75098 ,4.48746 ,44.03100 
32 ,5.8480 ,0.75275 ,4.47720 ,43.93026 
33 ,6.0241 ,0.75456 ,4.46351 ,43.79595 
34 ,6.2161 ,0.75643 ,4.44982 ,43.66163 
35 ,6.3918 ,0.75826 ,4.43613 ,43.52732 
36 ,6.5523 ,0.75994 ,4.40533 ,43.22512 
37 ,6.7284 ,0.76162 ,4.40533 ,43.22512 
38 ,6.9044 ,0.76344 ,4.39164 ,43.09080 
39 ,7.0808 ,0.76510 ,4.37111 ,42.88933 
40 ,7.2722 ,0.76704 ,4.34373 ,42.62071 
41 ,7.4482 ,0.76876 ,4.32320 ,42.41924 
42 ,7.6245 ,0.77054 ,4.30609 ,42.25135 
43 ,7.8168 ,0.77245 ,4.30267 ,42.21777 
44 ,8.0091 ,0.77438 ,4.26160 ,41.81483 
45 ,8.2007 ,0.77627 ,4.25818 ,41.78125 
46 ,8.3770 ,0.77807 ,4.24449 ,41.64694 
47 ,8.5530 ,0.77984 ,4.22738 ,41.47905 
48 ,8.7292 ,0.78154 ,4.20000 ,41.21042 
49 ,8.9213 ,0.78349 ,4.20000 ,41.21042 
50 ,9.0974 ,0.78529 ,4.18974 ,41.10968 
51 ,9.2732 ,0.78699 ,4.16236 ,40.84106 
52 ,9.4655 ,0.78884 ,4.14525 ,40.67317 
53 ,9.6414 ,0.79077 ,4.13498 ,40.57243 
54 ,9.8497 ,0.79266 ,4.10076 ,40.23665 
55 ,10.0417 ,0.79460 ,4.09391 ,40.16949 
56 ,10.2337 ,0.79660 ,4.07338 ,39.96802 
57 ,10.3938 ,0.79833 ,4.04943 ,39.73297 
58 ,10.5539 ,0.79995 ,4.04600 ,39.69940 
59 ,10.7617 ,0.80177 ,4.02547 ,39.49793 
60 ,10.9380 ,0.80362 ,4.02889 ,39.53150 
61 ,11.1140 ,0.80545 ,4.00494 ,39.29646 
62 ,11.3064 ,0.80735 ,3.98441 ,39.09499 
63 ,11.4983 ,0.80916 ,3.97072 ,38.96067 
64 ,11.6740 ,0.81104 ,3.96387 ,38.89352 
65 ,11.8504 ,0.81281 ,3.93650 ,38.62489 
66 ,12.0425 ,0.81473 ,3.91596 ,38.42342 
67 ,12.2185 ,0.81644 ,3.91938 ,38.45700 
68 ,12.3947 ,0.81823 ,3.89885 ,38.25553 
69 ,12.5707 ,0.81998 ,3.87490 ,38.02048 
70 ,12.7465 ,0.82170 ,3.85436 ,37.81901 
71 ,12.9225 ,0.82346 ,3.84752 ,37.75185 
72 ,13.0986 ,0.82530 ,3.82356 ,37.51681 
73 ,13.2747 ,0.82699 ,3.81672 ,37.44965 
74 ,13.4510 ,0.82881 ,3.79276 ,37.21460 
75 ,13.6592 ,0.83085 ,3.78592 ,37.14744 
76 ,13.8348 ,0.83267 ,3.76881 ,36.97955 
77 ,14.0114 ,0.83439 ,3.75854 ,36.87882 
78 ,14.2354 ,0.83648 ,3.73801 ,36.67735 
79 ,14.4114 ,0.83842 ,3.71405 ,36.44230 
80 ,14.5873 ,0.84011 ,3.70037 ,36.30799 
81 ,14.7795 ,0.84206 ,3.69694 ,36.27441 
82 ,14.9556 ,0.84378 ,3.65930 ,35.90505 
83 ,15.1318 ,0.84563 ,3.63877 ,35.70358 
84 ,15.3079 ,0.84739 ,3.61823 ,35.50211 
85 ,15.4839 ,0.84913 ,3.62850 ,35.60284 
86 ,15.6758 ,0.85096 ,3.61823 ,35.50211 
87 ,15.8521 ,0.85276 ,3.58059 ,35.13275 
88 ,16.0121 ,0.85449 ,3.56690 ,34.99843 
89 ,16.2203 ,0.85631 ,3.57032 ,35.03201 
90 ,16.4122 ,0.85837 ,3.53268 ,34.66265 
91 ,16.5884 ,0.86012 ,3.52241 ,34.56192 
92 ,16.7968 ,0.86207 ,3.50872 ,34.42760 
93 ,16.9883 ,0.86408 ,3.49504 ,34.29329 
94 ,17.1806 ,0.86604 ,3.49161 ,34.25971 
95 ,17.3727 ,0.86795 ,3.46424 ,33.99108 
96 ,17.5485 ,0.86972 ,3.43686 ,33.72246 
97 ,17.7248 ,0.87149 ,3.42317 ,33.58814 
98 ,17.9168 ,0.87341 ,3.40948 ,33.45383 
99 ,18.0925 ,0.87522 ,3.38895 ,33.25236 
100 ,18.2690 ,0.87691 ,3.36499 ,33.01731 
101 ,18.4450 ,0.87869 ,3.36157 ,32.98374 
102 ,18.6212 ,0.88047 ,3.35473 ,32.91658 
103 ,18.7971 ,0.88227 ,3.34104 ,32.78227 
104 ,18.9733 ,0.88398 ,3.30339 ,32.41290 
105 ,19.1329 ,0.88568 ,3.29997 ,32.37933 
106 ,19.3096 ,0.88733 ,3.27259 ,32.11070 
107 ,19.5018 ,0.88933 ,3.28286 ,32.21143 
108 ,19.6776 ,0.89103 ,3.26917 ,32.07712 
109 ,19.8538 ,0.89271 ,3.23837 ,31.77492 
110 ,20.0298 ,0.89455 ,3.22126 ,31.60702 
111 ,20.2059 ,0.89637 ,3.21100 ,31.50629 
112 ,20.3817 ,0.89803 ,3.20757 ,31.47271 
113 ,20.5576 ,0.89976 ,3.18362 ,31.23766 
114 ,20.7335 ,0.90160 ,3.17335 ,31.13693 
115 ,20.9098 ,0.90336 ,3.14255 ,30.83472 
116 ,21.1017 ,0.90516 ,3.15282 ,30.93546 
117 ,21.2778 ,0.90699 ,3.12886 ,30.70041 
118 ,21.4539 ,0.90874 ,3.10149 ,30.43178 
119 ,21.6303 ,0.91055 ,3.07753 ,30.19674 
120 ,21.8225 ,0.91247 ,3.07753 ,30.19674 
121 ,22.0145 ,0.91431 ,3.06726 ,30.09600 
122 ,22.1907 ,0.91615 ,3.03304 ,29.76022 
123 ,22.3826 ,0.91807 ,3.02962 ,29.72664 
124 ,22.5584 ,0.91979 ,3.02278 ,29.65948 
125 ,22.7509 ,0.92161 ,2.99198 ,29.35728 
126 ,22.9590 ,0.92378 ,2.98171 ,29.25654 
127 ,23.1351 ,0.92559 ,2.97144 ,29.15581 
128 ,23.3111 ,0.92736 ,2.94064 ,28.85360 
129 ,23.4869 ,0.92909 ,2.92696 ,28.71929 
130 ,23.6791 ,0.93103 ,2.91327 ,28.58498 
131 ,23.8710 ,0.93295 ,2.89273 ,28.38351 
132 ,24.0474 ,0.93469 ,2.88247 ,28.28277 
133 ,24.2233 ,0.93648 ,2.86878 ,28.14846 
134 ,24.3993 ,0.93820 ,2.86193 ,28.08130 
135 ,24.5753 ,0.94001 ,2.84825 ,27.94699 
136 ,24.7674 ,0.94189 ,2.82087 ,27.67836 
137 ,24.9437 ,0.94362 ,2.82087 ,27.67836 
138 ,25.1358 ,0.94560 ,2.78665 ,27.34258 
139 ,25.3279 ,0.94747 ,2.78322 ,27.30900 
140 ,25.5039 ,0.94928 ,2.76269 ,27.10753 
141 ,25.6800 ,0.95101 ,2.76954 ,27.17469 
142 ,25.8720 ,0.95291 ,2.71478 ,26.63744 
143 ,26.0642 ,0.95476 ,2.71820 ,26.67101 
144 ,26.2563 ,0.95668 ,2.70452 ,26.53670 
145 ,26.4322 ,0.95866 ,2.67372 ,26.23450 
146 ,26.6083 ,0.96025 ,2.67029 ,26.20092 
147 ,26.7844 ,0.96209 ,2.66687 ,26.16734 
148 ,26.9605 ,0.96384 ,2.64292 ,25.93229 
149 ,27.1686 ,0.96588 ,2.62581 ,25.76440 
150 ,27.3444 ,0.96767 ,2.60869 ,25.59651 
151 ,27.5207 ,0.96942 ,2.60185 ,25.52935 
152 ,27.6805 ,0.97111 ,2.57789 ,25.29430 
153 ,27.8728 ,0.97290 ,2.57789 ,25.29430 
154 ,28.0489 ,0.97468 ,2.54367 ,24.95852 
155 ,28.2248 ,0.97645 ,2.52998 ,24.82421 
156 ,28.4170 ,0.97837 ,2.54025 ,24.92494 
157 ,28.5931 ,0.98012 ,2.49918 ,24.52200 
158 ,28.7692 ,0.98188 ,2.49234 ,24.45485 
159 ,28.9453 ,0.98368 ,2.48892 ,24.42127 
160 ,29.1373 ,0.98563 ,2.45470 ,24.08549 
161 ,29.3134 ,0.98738 ,2.45127 ,24.05191 
162 ,29.5059 ,0.98929 ,2.43416 ,23.88402 
163 ,29.6813 ,0.99098 ,2.42732 ,23.81686 
164 ,29.8577 ,0.99281 ,2.41021 ,23.64897 
165 ,30.0659 ,0.99481 ,2.39994 ,23.54823 
166 ,30.2578 ,0.99676 ,2.36572 ,23.21245 
167 ,30.4339 ,0.99850 ,2.34519 ,23.01098 
168 ,30.6102 ,1.00034 ,2.33492 ,22.91024 
169 ,30.7860 ,1.00216 ,2.32808 ,22.84309 
170 ,30.9621 ,1.00380 ,2.33150 ,22.87667 
171 ,31.1382 ,1.00560 ,2.31439 ,22.70877 
172 ,31.3304 ,1.00749 ,2.26990 ,22.27226 
173 ,31.5066 ,1.00926 ,2.26648 ,22.23868 
174 ,31.6824 ,1.01102 ,2.25279 ,22.10437 
175 ,31.8585 ,1.01275 ,2.23568 ,21.93647 
176 ,32.0345 ,1.01458 ,2.21172 ,21.70143 
177 ,32.2106 ,1.01632 ,2.19461 ,21.53353 
178 ,32.3867 ,1.01802 ,2.19119 ,21.49996 
179 ,32.5628 ,1.01982 ,2.19119 ,21.49996 
180 ,32.7385 ,1.02162 ,2.17408 ,21.33206 
181 ,32.9149 ,1.02334 ,2.14328 ,21.02986 
182 ,33.1068 ,1.02522 ,2.13644 ,20.96270 
183 ,33.2829 ,1.02699 ,2.12617 ,20.86197 
184 ,33.4591 ,1.02877 ,2.11590 ,20.76123 
185 ,33.6512 ,1.03068 ,2.09537 ,20.55976 
186 ,33.8273 ,1.03243 ,2.07484 ,20.35829 
187 ,34.0035 ,1.03422 ,2.06115 ,20.22398 
188 ,34.1955 ,1.03612 ,2.03035 ,19.92178 
189 ,34.3715 ,1.03788 ,2.02008 ,19.82104 
190 ,34.5636 ,1.03981 ,2.02693 ,19.88820 
191 ,34.7557 ,1.04173 ,1.98244 ,19.45168 
192 ,34.9633 ,1.04370 ,1.97559 ,19.38452 
193 ,35.1398 ,1.04558 ,1.97559 ,19.38452 
194 ,35.3479 ,1.04765 ,1.94822 ,19.11590 
195 ,35.5240 ,1.04947 ,1.94137 ,19.04874 
196 ,35.7160 ,1.05134 ,1.92768 ,18.91443 
197 ,35.8918 ,1.05308 ,1.91057 ,18.74654 
198 ,36.0677 ,1.05494 ,1.89688 ,18.61222 
199 ,36.2442 ,1.05661 ,1.88662 ,18.51149 
200 ,36.4522 ,1.05867 ,1.86266 ,18.27644 
201 ,36.6281 ,1.06046 ,1.84213 ,18.07497 
202 ,36.8043 ,1.06222 ,1.83871 ,18.04139 
203 ,36.9966 ,1.06402 ,1.83186 ,17.97423 
204 ,37.1725 ,1.06593 ,1.79422 ,17.60487 
205 ,37.3485 ,1.06765 ,1.79080 ,17.57129 
206 ,37.5246 ,1.06944 ,1.78737 ,17.53772 
207 ,37.7008 ,1.07120 ,1.77711 ,17.43698 
208 ,37.8769 ,1.07299 ,1.75657 ,17.23551 
209 ,38.0529 ,1.07469 ,1.73604 ,17.03404 
210 ,38.2127 ,1.07642 ,1.72578 ,16.93331 
211 ,38.3890 ,1.07805 ,1.69840 ,16.66468 
212 ,38.5811 ,1.07986 ,1.69498 ,16.63110 
213 ,38.7411 ,1.08174 ,1.68471 ,16.53037 
214 ,38.9172 ,1.08331 ,1.67102 ,16.39605 
215 ,39.1094 ,1.08517 ,1.65733 ,16.26174 
216 ,39.3013 ,1.08719 ,1.64022 ,16.09385 
217 ,39.4935 ,1.08910 ,1.61284 ,15.82522 
218 ,39.6694 ,1.09092 ,1.59916 ,15.69091 
219 ,39.8455 ,1.09272 ,1.59916 ,15.69091 
220 ,40.0216 ,1.09438 ,1.58889 ,15.59018 
221 ,40.1974 ,1.09617 ,1.56836 ,15.38871 
222 ,40.3738 ,1.09785 ,1.54782 ,15.18724 
223 ,40.5500 ,1.09962 ,1.54098 ,15.12008 
224 ,40.7416 ,1.10158 ,1.54098 ,15.12008 
225 ,40.9179 ,1.10330 ,1.50676 ,14.78430 
226 ,41.0941 ,1.10509 ,1.49307 ,14.64998 
227 ,41.2701 ,1.10688 ,1.47938 ,14.51567 
228 ,41.4464 ,1.10862 ,1.46569 ,14.38136 
229 ,41.6221 ,1.11040 ,1.46227 ,14.34778 
230 ,41.8144 ,1.11223 ,1.44516 ,14.17989 
231 ,42.0225 ,1.11436 ,1.44516 ,14.17989 
232 ,42.1985 ,1.11611 ,1.43147 ,14.04557 
233 ,42.3903 ,1.11802 ,1.40067 ,13.74337 
234 ,42.5667 ,1.11984 ,1.35960 ,13.34043 
235 ,42.7585 ,1.12174 ,1.37329 ,13.47474 
236 ,42.9506 ,1.12362 ,1.35618 ,13.30685 
237 ,43.1268 ,1.12538 ,1.33907 ,13.13896 
238 ,43.3031 ,1.12722 ,1.34591 ,13.20612 
239 ,43.4785 ,1.12898 ,1.31169 ,12.87033 
240 ,43.6551 ,1.13068 ,1.30143 ,12.76960 
241 ,43.8312 ,1.13248 ,1.27747 ,12.53455 
242 ,44.0234 ,1.13440 ,1.26378 ,12.40024 
243 ,44.2154 ,1.13633 ,1.25694 ,12.33308 
