Data stamp = , 26-04-2022 08:13:16 076

Calibration Values: 
Slope = , 26.54 , g/V 
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.0000 ,0.74945 ,5.20954 ,51.11602 
2 ,0.2102 ,0.74952 ,5.20612 ,51.08244 
3 ,0.7705 ,0.75171 ,5.20954 ,51.11602 
4 ,0.9789 ,0.75392 ,5.21639 ,51.18317 
5 ,1.1868 ,0.75602 ,5.21981 ,51.21675 
6 ,1.3795 ,0.75799 ,5.21639 ,51.18317 
7 ,1.5710 ,0.75991 ,5.22323 ,51.25033 
8 ,1.7793 ,0.76197 ,5.20954 ,51.11602 
9 ,1.9870 ,0.76402 ,5.19927 ,51.01528 
10 ,2.1795 ,0.76595 ,5.17532 ,50.78023 
11 ,2.3874 ,0.76803 ,5.16163 ,50.64592 
12 ,2.5797 ,0.77006 ,5.15479 ,50.57876 
13 ,2.7717 ,0.77189 ,5.12056 ,50.24298 
14 ,2.9633 ,0.77392 ,5.10688 ,50.10867 
15 ,3.1559 ,0.77573 ,5.08634 ,49.90720 
16 ,3.3475 ,0.77774 ,5.08292 ,49.87362 
17 ,3.5396 ,0.77959 ,5.06923 ,49.73931 
18 ,3.7160 ,0.78140 ,5.04185 ,49.47068 
19 ,3.9242 ,0.78345 ,5.03843 ,49.43710 
20 ,4.1161 ,0.78529 ,4.99052 ,48.96701 
21 ,4.2922 ,0.78712 ,4.97683 ,48.83269 
22 ,4.5004 ,0.78914 ,4.96657 ,48.73196 
23 ,4.7243 ,0.79131 ,4.95288 ,48.59764 
24 ,4.9005 ,0.79320 ,4.93919 ,48.46333 
25 ,5.1083 ,0.79521 ,4.91866 ,48.26186 
26 ,5.3007 ,0.79711 ,4.90839 ,48.16113 
27 ,5.5085 ,0.79924 ,4.86732 ,47.75819 
28 ,5.7003 ,0.80120 ,4.85364 ,47.62387 
29 ,5.8925 ,0.80310 ,4.82284 ,47.32167 
30 ,6.0847 ,0.80505 ,4.82626 ,47.35525 
31 ,6.2927 ,0.80712 ,4.80230 ,47.12020 
32 ,6.4692 ,0.80896 ,4.77835 ,46.88515 
33 ,6.6613 ,0.81072 ,4.77835 ,46.88515 
34 ,6.8854 ,0.81289 ,4.74755 ,46.58295 
35 ,7.0771 ,0.81493 ,4.72702 ,46.38148 
36 ,7.2695 ,0.81687 ,4.72359 ,46.34790 
37 ,7.4614 ,0.81881 ,4.70306 ,46.14643 
38 ,7.6697 ,0.82087 ,4.68253 ,45.94496 
39 ,7.8618 ,0.82279 ,4.66884 ,45.81065 
40 ,8.0378 ,0.82457 ,4.65515 ,45.67633 
41 ,8.2140 ,0.82636 ,4.61408 ,45.27339 
42 ,8.4058 ,0.82824 ,4.62093 ,45.34055 
43 ,8.5980 ,0.83021 ,4.58671 ,45.00477 
44 ,8.7900 ,0.83215 ,4.58671 ,45.00477 
45 ,8.9663 ,0.83385 ,4.56960 ,44.83688 
46 ,9.1419 ,0.83565 ,4.55591 ,44.70256 
47 ,9.3184 ,0.83732 ,4.54222 ,44.56825 
48 ,9.4943 ,0.83914 ,4.50457 ,44.19889 
49 ,9.6865 ,0.84104 ,4.49773 ,44.13173 
50 ,9.8947 ,0.84306 ,4.46351 ,43.79595 
51 ,10.0864 ,0.84503 ,4.46351 ,43.79595 
52 ,10.2788 ,0.84691 ,4.43613 ,43.52732 
53 ,10.4868 ,0.84900 ,4.43271 ,43.49374 
54 ,10.6789 ,0.85108 ,4.40191 ,43.19154 
55 ,10.8712 ,0.85280 ,4.38480 ,43.02365 
56 ,11.0791 ,0.85493 ,4.37453 ,42.92291 
57 ,11.2713 ,0.85688 ,4.34716 ,42.65429 
58 ,11.4633 ,0.85875 ,4.34716 ,42.65429 
59 ,11.6551 ,0.86067 ,4.31636 ,42.35208 
60 ,11.8476 ,0.86264 ,4.30267 ,42.21777 
61 ,12.0555 ,0.86471 ,4.27529 ,41.94914 
62 ,12.2316 ,0.86652 ,4.25818 ,41.78125 
63 ,12.4077 ,0.86832 ,4.26160 ,41.81483 
64 ,12.5839 ,0.87004 ,4.24449 ,41.64694 
65 ,12.7754 ,0.87200 ,4.21369 ,41.34473 
66 ,12.9680 ,0.87376 ,4.21027 ,41.31115 
67 ,13.1763 ,0.87590 ,4.17605 ,40.97537 
68 ,13.3847 ,0.87797 ,4.17262 ,40.94179 
69 ,13.5600 ,0.87984 ,4.14183 ,40.63959 
70 ,13.7524 ,0.88175 ,4.11787 ,40.40454 
71 ,13.9442 ,0.88356 ,4.11445 ,40.37096 
72 ,14.1362 ,0.88554 ,4.10418 ,40.27023 
73 ,14.3445 ,0.88758 ,4.09391 ,40.16949 
74 ,14.5366 ,0.88949 ,4.05285 ,39.76655 
75 ,14.7286 ,0.89137 ,4.04600 ,39.69940 
76 ,14.9043 ,0.89323 ,4.04258 ,39.66582 
77 ,15.0966 ,0.89509 ,4.01520 ,39.39719 
78 ,15.2885 ,0.89714 ,3.99467 ,39.19572 
79 ,15.4970 ,0.89908 ,3.96387 ,38.89352 
80 ,15.7051 ,0.90113 ,3.97072 ,38.96067 
81 ,15.8971 ,0.90310 ,3.94334 ,38.69205 
82 ,16.0731 ,0.90491 ,3.91254 ,38.38984 
83 ,16.2654 ,0.90679 ,3.91596 ,38.42342 
84 ,16.4735 ,0.90882 ,3.89201 ,38.18837 
85 ,16.6655 ,0.91084 ,3.88174 ,38.08764 
86 ,16.8572 ,0.91266 ,3.84752 ,37.75185 
87 ,17.0493 ,0.91459 ,3.83725 ,37.65112 
88 ,17.2417 ,0.91651 ,3.82014 ,37.48323 
89 ,17.4497 ,0.91855 ,3.80645 ,37.34891 
90 ,17.6258 ,0.92043 ,3.79276 ,37.21460 
91 ,17.8338 ,0.92247 ,3.76539 ,36.94597 
92 ,18.0100 ,0.92428 ,3.74828 ,36.77808 
93 ,18.1856 ,0.92600 ,3.73801 ,36.67735 
94 ,18.3782 ,0.92792 ,3.70379 ,36.34157 
95 ,18.5700 ,0.92988 ,3.69010 ,36.20725 
96 ,18.7463 ,0.93161 ,3.68325 ,36.14010 
97 ,18.9540 ,0.93367 ,3.65930 ,35.90505 
98 ,19.1304 ,0.93546 ,3.64219 ,35.73716 
99 ,19.3224 ,0.93731 ,3.63534 ,35.67000 
100 ,19.4986 ,0.93913 ,3.63534 ,35.67000 
101 ,19.6905 ,0.94106 ,3.59428 ,35.26706 
102 ,19.8833 ,0.94285 ,3.59428 ,35.26706 
103 ,20.0746 ,0.94485 ,3.55321 ,34.86412 
104 ,20.2667 ,0.94677 ,3.54979 ,34.83054 
105 ,20.4429 ,0.94862 ,3.54295 ,34.76338 
106 ,20.6350 ,0.95047 ,3.50530 ,34.39402 
107 ,20.8431 ,0.95243 ,3.49846 ,34.32687 
108 ,21.0512 ,0.95461 ,3.46424 ,33.99108 
109 ,21.2272 ,0.95642 ,3.46081 ,33.95751 
110 ,21.4350 ,0.95839 ,3.44028 ,33.75604 
111 ,21.6274 ,0.96035 ,3.43001 ,33.65530 
112 ,21.8195 ,0.96235 ,3.41975 ,33.55457 
113 ,22.0114 ,0.96419 ,3.38210 ,33.18520 
114 ,22.2035 ,0.96614 ,3.38210 ,33.18520 
115 ,22.3798 ,0.96792 ,3.37868 ,33.15163 
116 ,22.5718 ,0.96986 ,3.33419 ,32.71511 
117 ,22.7639 ,0.97175 ,3.34788 ,32.84942 
118 ,22.9558 ,0.97365 ,3.30682 ,32.44648 
119 ,23.1480 ,0.97557 ,3.29313 ,32.31217 
120 ,23.3402 ,0.97751 ,3.27602 ,32.14428 
121 ,23.5320 ,0.97942 ,3.24522 ,31.84207 
122 ,23.7243 ,0.98137 ,3.25548 ,31.94281 
123 ,23.9323 ,0.98341 ,3.21784 ,31.57345 
124 ,24.1083 ,0.98521 ,3.19388 ,31.33840 
125 ,24.3002 ,0.98709 ,3.18020 ,31.20409 
126 ,24.4926 ,0.98913 ,3.17335 ,31.13693 
127 ,24.6844 ,0.99095 ,3.16993 ,31.10335 
128 ,24.8771 ,0.99286 ,3.13229 ,30.73399 
129 ,25.0688 ,0.99477 ,3.12202 ,30.63325 
130 ,25.2610 ,0.99671 ,3.11860 ,30.59968 
131 ,25.4529 ,0.99862 ,3.06384 ,30.06242 
132 ,25.6451 ,1.00055 ,3.08438 ,30.26389 
133 ,25.8370 ,1.00248 ,3.05700 ,29.99527 
134 ,26.0294 ,1.00437 ,3.02962 ,29.72664 
135 ,26.2214 ,1.00628 ,3.02278 ,29.65948 
136 ,26.4136 ,1.00824 ,2.99198 ,29.35728 
137 ,26.6216 ,1.01028 ,2.98855 ,29.32370 
138 ,26.8134 ,1.01229 ,2.95091 ,28.95434 
139 ,27.0057 ,1.01417 ,2.95091 ,28.95434 
140 ,27.2139 ,1.01624 ,2.92353 ,28.68571 
141 ,27.4058 ,1.01812 ,2.91327 ,28.58498 
142 ,27.5978 ,1.02014 ,2.89273 ,28.38351 
143 ,27.7741 ,1.02189 ,2.87905 ,28.24919 
144 ,27.9661 ,1.02370 ,2.88589 ,28.31635 
145 ,28.1579 ,1.02558 ,2.87562 ,28.21562 
146 ,28.3664 ,1.02774 ,2.84140 ,27.87983 
147 ,28.5583 ,1.02963 ,2.81060 ,27.57763 
148 ,28.7344 ,1.03150 ,2.80034 ,27.47689 
149 ,28.9265 ,1.03333 ,2.79691 ,27.44332 
150 ,29.1186 ,1.03526 ,2.79007 ,27.37616 
151 ,29.3267 ,1.03733 ,2.75585 ,27.04038 
152 ,29.5187 ,1.03927 ,2.75243 ,27.00680 
153 ,29.7108 ,1.04123 ,2.72505 ,26.73817 
154 ,29.9189 ,1.04320 ,2.71136 ,26.60386 
155 ,30.1269 ,1.04537 ,2.69767 ,26.46954 
156 ,30.3026 ,1.04712 ,2.67714 ,26.26807 
157 ,30.4952 ,1.04906 ,2.65660 ,26.06661 
158 ,30.6871 ,1.05099 ,2.63265 ,25.83156 
159 ,30.8790 ,1.05284 ,2.61554 ,25.66367 
160 ,31.0715 ,1.05475 ,2.59158 ,25.42862 
161 ,31.2634 ,1.05668 ,2.59843 ,25.49577 
162 ,31.4871 ,1.05887 ,2.55736 ,25.09283 
163 ,31.6635 ,1.06081 ,2.56078 ,25.12641 
164 ,31.8558 ,1.06263 ,2.52998 ,24.82421 
165 ,32.0635 ,1.06461 ,2.50603 ,24.58916 
166 ,32.2555 ,1.06676 ,2.49576 ,24.48842 
167 ,32.4637 ,1.06859 ,2.49234 ,24.45485 
168 ,32.6560 ,1.07065 ,2.46154 ,24.15264 
169 ,32.8479 ,1.07253 ,2.45812 ,24.11906 
170 ,33.0561 ,1.07458 ,2.43416 ,23.88402 
171 ,33.2482 ,1.07652 ,2.41705 ,23.71612 
172 ,33.4402 ,1.07849 ,2.41021 ,23.64897 
173 ,33.6325 ,1.08043 ,2.37256 ,23.27961 
174 ,33.8245 ,1.08231 ,2.38283 ,23.38034 
175 ,34.0166 ,1.08423 ,2.34177 ,22.97740 
176 ,34.2086 ,1.08614 ,2.33150 ,22.87667 
177 ,34.4003 ,1.08804 ,2.33150 ,22.87667 
178 ,34.5928 ,1.09000 ,2.30070 ,22.57446 
179 ,34.8009 ,1.09207 ,2.29728 ,22.54088 
180 ,35.0089 ,1.09409 ,2.26306 ,22.20510 
181 ,35.2010 ,1.09604 ,2.25621 ,22.13794 
182 ,35.3931 ,1.09798 ,2.22199 ,21.80216 
183 ,35.5692 ,1.09980 ,2.21515 ,21.73500 
184 ,35.7452 ,1.10153 ,2.21172 ,21.70143 
185 ,35.9211 ,1.10334 ,2.19803 ,21.56711 
186 ,36.1134 ,1.10522 ,2.17750 ,21.36564 
187 ,36.3049 ,1.10706 ,2.17066 ,21.29849 
188 ,36.4974 ,1.10904 ,2.14328 ,21.02986 
189 ,36.7218 ,1.11112 ,2.12959 ,20.89555 
190 ,36.9298 ,1.11331 ,2.10221 ,20.62692 
191 ,37.1218 ,1.11534 ,2.10564 ,20.66050 
192 ,37.2978 ,1.11706 ,2.08852 ,20.49261 
193 ,37.4898 ,1.11898 ,2.05088 ,20.12325 
194 ,37.6656 ,1.12070 ,2.04746 ,20.08967 
195 ,37.8580 ,1.12260 ,2.03719 ,19.98893 
196 ,38.0664 ,1.12471 ,2.02008 ,19.82104 
197 ,38.2581 ,1.12662 ,2.00297 ,19.65315 
198 ,38.4506 ,1.12857 ,1.98586 ,19.48526 
199 ,38.6582 ,1.13061 ,1.97902 ,19.41810 
200 ,38.8506 ,1.13251 ,1.95506 ,19.18305 
201 ,39.0587 ,1.13455 ,1.94479 ,19.08232 
202 ,39.2667 ,1.13670 ,1.93453 ,18.98158 
203 ,39.4749 ,1.13882 ,1.89688 ,18.61222 
204 ,39.6669 ,1.14070 ,1.89004 ,18.54507 
205 ,39.8586 ,1.14262 ,1.87977 ,18.44433 
206 ,40.0511 ,1.14456 ,1.83528 ,18.00781 
207 ,40.2432 ,1.14647 ,1.84555 ,18.10855 
208 ,40.4352 ,1.14848 ,1.82502 ,17.90708 
209 ,40.6114 ,1.15020 ,1.80449 ,17.70561 
210 ,40.7873 ,1.15195 ,1.79422 ,17.60487 
211 ,40.9796 ,1.15379 ,1.80449 ,17.70561 
212 ,41.1875 ,1.15589 ,1.77711 ,17.43698 
213 ,41.3796 ,1.15781 ,1.77026 ,17.36983 
214 ,41.5557 ,1.15963 ,1.76000 ,17.26909 
215 ,41.7477 ,1.16148 ,1.73604 ,17.03404 
216 ,41.9558 ,1.16355 ,1.71893 ,16.86615 
217 ,42.1640 ,1.16553 ,1.70182 ,16.69826 
218 ,42.3559 ,1.16766 ,1.68813 ,16.56395 
219 ,42.5481 ,1.16944 ,1.66075 ,16.29532 
220 ,42.7561 ,1.17157 ,1.66075 ,16.29532 
221 ,42.9320 ,1.17343 ,1.64022 ,16.09385 
222 ,43.1242 ,1.17530 ,1.64364 ,16.12743 
223 ,43.3004 ,1.17706 ,1.61969 ,15.89238 
224 ,43.4925 ,1.17899 ,1.61284 ,15.82522 
225 ,43.6687 ,1.18081 ,1.58204 ,15.52302 
226 ,43.8603 ,1.18262 ,1.58547 ,15.55660 
227 ,44.0524 ,1.18450 ,1.55809 ,15.28797 
228 ,44.2124 ,1.18630 ,1.55809 ,15.28797 
229 ,44.4048 ,1.18808 ,1.54098 ,15.12008 
230 ,44.6130 ,1.19014 ,1.52387 ,14.95219 
231 ,44.8048 ,1.19218 ,1.51360 ,14.85145 
232 ,44.9811 ,1.19390 ,1.51360 ,14.85145 
233 ,45.1570 ,1.19563 ,1.48622 ,14.58283 
234 ,45.3490 ,1.19748 ,1.47253 ,14.44851 
235 ,45.5254 ,1.19931 ,1.46569 ,14.38136 
236 ,45.7173 ,1.20120 ,1.44516 ,14.17989 
237 ,45.9255 ,1.20329 ,1.42462 ,13.97842 
238 ,46.1017 ,1.20508 ,1.41778 ,13.91126 
239 ,46.2934 ,1.20697 ,1.41778 ,13.91126 
240 ,46.4856 ,1.20885 ,1.39725 ,13.70979 
241 ,46.6778 ,1.21085 ,1.38698 ,13.60906 
242 ,46.8699 ,1.21270 ,1.35618 ,13.30685 
243 ,47.0458 ,1.21454 ,1.35276 ,13.27327 
