Data stamp = , 26-04-2022 20:54:53 054

Calibration Values: 
Slope = , 26.54  , g/V
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,3.7140 ,3.29999 ,0.62384 ,6.12109 
2 ,7.0957 ,3.09993 ,0.61015 ,5.98678 
3 ,10.4235 ,2.89992 ,0.62042 ,6.08752 
4 ,13.8010 ,2.69989 ,0.62726 ,6.15467 
5 ,17.1267 ,2.49985 ,0.61015 ,5.98678 
6 ,20.4463 ,2.29985 ,0.62726 ,6.15467 
7 ,23.7612 ,2.09984 ,0.62384 ,6.12109 
8 ,27.1083 ,1.89981 ,0.61015 ,5.98678 
9 ,30.4491 ,1.69977 ,0.62384 ,6.12109 
10 ,33.7596 ,1.49974 ,1.10294 ,10.82206 
11 ,36.0781 ,1.39972 ,1.64364 ,16.12743 
12 ,37.7901 ,1.34970 ,1.78395 ,17.50414 
13 ,39.5304 ,1.29970 ,1.83871 ,18.04139 
14 ,41.2676 ,1.24968 ,2.09195 ,20.52619 
15 ,42.9756 ,1.19969 ,2.19119 ,21.49996 
16 ,44.6950 ,1.14969 ,2.47865 ,24.32053 
17 ,46.4227 ,1.09967 ,2.68056 ,26.30165 
18 ,48.1479 ,1.04964 ,2.97487 ,29.18939 
19 ,49.8992 ,0.99965 ,3.35473 ,32.91658 
20 ,51.6314 ,0.94966 ,3.69694 ,36.27441 
21 ,53.3892 ,0.89963 ,4.09049 ,40.13591 
22 ,55.1363 ,0.84961 ,4.49431 ,44.09815 
23 ,56.8974 ,0.79959 ,4.93235 ,48.39618 
24 ,58.6419 ,0.74959 ,5.38407 ,52.82851 

Plateau measurements: 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.01 ,0.7496 ,5.374 ,52.7 
2 ,0.42 ,0.7496 ,5.387 ,52.9 
3 ,0.83 ,0.7496 ,5.384 ,52.8 
4 ,1.22 ,0.7496 ,5.364 ,52.6 
5 ,1.59 ,0.7496 ,5.364 ,52.6 
6 ,1.96 ,0.7496 ,5.370 ,52.7 
7 ,2.33 ,0.7496 ,5.340 ,52.4 
8 ,2.70 ,0.7496 ,5.364 ,52.6 
9 ,3.08 ,0.7496 ,5.350 ,52.5 
10 ,3.45 ,0.7496 ,5.350 ,52.5 
11 ,3.82 ,0.7496 ,5.357 ,52.6 
12 ,4.19 ,0.7496 ,5.336 ,52.4 
13 ,4.56 ,0.7496 ,5.329 ,52.3 
14 ,4.95 ,0.7496 ,5.353 ,52.5 
15 ,5.34 ,0.7496 ,5.353 ,52.5 
16 ,5.73 ,0.7496 ,5.353 ,52.5 
17 ,6.14 ,0.7496 ,5.326 ,52.3 
18 ,6.50 ,0.7496 ,5.346 ,52.5 
19 ,6.90 ,0.7496 ,5.336 ,52.4 
20 ,7.28 ,0.7496 ,5.350 ,52.5 
21 ,7.65 ,0.7496 ,5.350 ,52.5 
22 ,8.04 ,0.7496 ,5.322 ,52.2 
23 ,8.42 ,0.7496 ,5.322 ,52.2 
24 ,8.82 ,0.7496 ,5.333 ,52.3 
25 ,9.23 ,0.7496 ,5.319 ,52.2 
26 ,9.64 ,0.7496 ,5.319 ,52.2 
27 ,10.10 ,0.7496 ,5.316 ,52.2 
28 ,10.57 ,0.7496 ,5.316 ,52.2 
29 ,10.97 ,0.7496 ,5.329 ,52.3 
30 ,11.34 ,0.7496 ,5.312 ,52.1 
31 ,11.72 ,0.7496 ,5.319 ,52.2 
32 ,12.11 ,0.7496 ,5.343 ,52.4 
33 ,12.53 ,0.7496 ,5.309 ,52.1 
34 ,12.92 ,0.7496 ,5.333 ,52.3 
35 ,13.29 ,0.7496 ,5.329 ,52.3 
36 ,13.69 ,0.7496 ,5.319 ,52.2 
37 ,14.08 ,0.7496 ,5.312 ,52.1 
38 ,14.46 ,0.7496 ,5.319 ,52.2 
39 ,14.87 ,0.7496 ,5.319 ,52.2 
40 ,15.23 ,0.7496 ,5.326 ,52.3 
41 ,15.58 ,0.7496 ,5.319 ,52.2 
42 ,15.95 ,0.7496 ,5.309 ,52.1 
43 ,16.37 ,0.7496 ,5.312 ,52.1 
44 ,16.74 ,0.7496 ,5.336 ,52.4 
45 ,17.13 ,0.7496 ,5.299 ,52.0 
46 ,17.51 ,0.7496 ,5.312 ,52.1 
47 ,17.88 ,0.7496 ,5.326 ,52.3 
48 ,18.25 ,0.7496 ,5.322 ,52.2 
49 ,18.62 ,0.7496 ,5.299 ,52.0 
50 ,19.00 ,0.7496 ,5.326 ,52.3 
51 ,19.37 ,0.7496 ,5.316 ,52.2 
52 ,19.76 ,0.7496 ,5.305 ,52.1 
53 ,20.11 ,0.7496 ,5.309 ,52.1 
54 ,20.50 ,0.7496 ,5.302 ,52.0 
55 ,20.90 ,0.7496 ,5.305 ,52.1 
56 ,21.25 ,0.7496 ,5.299 ,52.0 
57 ,21.65 ,0.7496 ,5.329 ,52.3 
58 ,22.01 ,0.7496 ,5.309 ,52.1 
59 ,22.37 ,0.7496 ,5.322 ,52.2 
60 ,22.77 ,0.7496 ,5.309 ,52.1 
61 ,23.12 ,0.7496 ,5.305 ,52.1 
62 ,23.48 ,0.7496 ,5.322 ,52.2 
63 ,23.87 ,0.7496 ,5.309 ,52.1 
64 ,24.23 ,0.7496 ,5.299 ,52.0 
65 ,24.62 ,0.7496 ,5.312 ,52.1 
66 ,24.99 ,0.7496 ,5.312 ,52.1 
67 ,25.36 ,0.7496 ,5.316 ,52.2 
68 ,25.73 ,0.7496 ,5.302 ,52.0 
69 ,26.10 ,0.7496 ,5.302 ,52.0 
70 ,26.45 ,0.7496 ,5.305 ,52.1 
71 ,26.99 ,0.7496 ,5.305 ,52.1 
72 ,27.37 ,0.7496 ,5.305 ,52.1 
73 ,27.76 ,0.7496 ,5.295 ,52.0 
74 ,28.15 ,0.7496 ,5.312 ,52.1 
75 ,28.52 ,0.7496 ,5.299 ,52.0 
76 ,28.91 ,0.7496 ,5.288 ,51.9 
77 ,29.29 ,0.7496 ,5.312 ,52.1 
78 ,29.65 ,0.7496 ,5.292 ,51.9 
79 ,30.01 ,0.7496 ,5.285 ,51.9 
80 ,30.39 ,0.7496 ,5.316 ,52.2 
81 ,30.77 ,0.7496 ,5.305 ,52.1 
82 ,31.13 ,0.7496 ,5.302 ,52.0 
83 ,31.51 ,0.7496 ,5.312 ,52.1 
84 ,31.86 ,0.7496 ,5.302 ,52.0 
85 ,32.25 ,0.7496 ,5.302 ,52.0 
86 ,32.64 ,0.7496 ,5.309 ,52.1 
87 ,33.00 ,0.7496 ,5.295 ,52.0 
88 ,33.40 ,0.7496 ,5.292 ,51.9 
89 ,33.78 ,0.7496 ,5.302 ,52.0 
90 ,34.13 ,0.7496 ,5.281 ,51.8 
91 ,34.49 ,0.7496 ,5.302 ,52.0 
92 ,34.87 ,0.7496 ,5.302 ,52.0 
93 ,35.27 ,0.7496 ,5.288 ,51.9 
94 ,35.67 ,0.7496 ,5.302 ,52.0 
95 ,36.03 ,0.7496 ,5.299 ,52.0 
96 ,36.44 ,0.7496 ,5.285 ,51.9 
97 ,36.81 ,0.7496 ,5.288 ,51.9 
98 ,37.19 ,0.7496 ,5.295 ,52.0 
99 ,37.57 ,0.7496 ,5.281 ,51.8 
100 ,37.93 ,0.7496 ,5.302 ,52.0 
