Data stamp = , 30-03-2022 11:23:14 291

Calibration Values: 
Slope = , 26.54 , g/V 
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.0000 ,0.84943 ,5.01106 ,49.16848 
2 ,0.2089 ,0.84949 ,5.00763 ,49.13490 
3 ,0.5133 ,0.85027 ,5.01790 ,49.23563 
4 ,0.7056 ,0.85164 ,5.02817 ,49.33637 
5 ,0.8814 ,0.85306 ,5.01790 ,49.23563 
6 ,1.0734 ,0.85483 ,5.01106 ,49.16848 
7 ,1.2492 ,0.85655 ,5.02132 ,49.26921 
8 ,1.4254 ,0.85831 ,5.01448 ,49.20205 
9 ,1.6017 ,0.86026 ,4.99052 ,48.96701 
10 ,1.7776 ,0.86197 ,4.96315 ,48.69838 
11 ,1.9699 ,0.86388 ,4.95630 ,48.63122 
12 ,2.1459 ,0.86566 ,4.93235 ,48.39618 
13 ,2.3379 ,0.86752 ,4.89812 ,48.06039 
14 ,2.5139 ,0.86927 ,4.87759 ,47.85892 
15 ,2.6901 ,0.87106 ,4.87075 ,47.79177 
16 ,2.8822 ,0.87299 ,4.87417 ,47.82534 
17 ,3.0741 ,0.87490 ,4.82968 ,47.38883 
18 ,3.2504 ,0.87669 ,4.83310 ,47.42240 
19 ,3.4424 ,0.87861 ,4.82626 ,47.35525 
20 ,3.6342 ,0.88052 ,4.79204 ,47.01946 
21 ,3.8264 ,0.88245 ,4.79888 ,47.08662 
22 ,4.0024 ,0.88421 ,4.76808 ,46.78442 
23 ,4.1786 ,0.88595 ,4.75097 ,46.61653 
24 ,4.3547 ,0.88768 ,4.73386 ,46.44863 
25 ,4.5467 ,0.88958 ,4.73386 ,46.44863 
26 ,4.7388 ,0.89156 ,4.70648 ,46.18001 
27 ,4.9146 ,0.89332 ,4.66884 ,45.81065 
28 ,5.0909 ,0.89501 ,4.66199 ,45.74349 
29 ,5.2669 ,0.89679 ,4.65515 ,45.67633 
30 ,5.4428 ,0.89852 ,4.63462 ,45.47486 
31 ,5.6190 ,0.90035 ,4.61408 ,45.27339 
32 ,5.8111 ,0.90223 ,4.59697 ,45.10550 
33 ,5.9873 ,0.90403 ,4.59013 ,45.03835 
34 ,6.1634 ,0.90574 ,4.57644 ,44.90403 
35 ,6.3551 ,0.90766 ,4.53537 ,44.50109 
36 ,6.5312 ,0.90944 ,4.52511 ,44.40036 
37 ,6.7078 ,0.91125 ,4.51484 ,44.29962 
38 ,6.8834 ,0.91298 ,4.50115 ,44.16531 
39 ,7.0598 ,0.91475 ,4.49089 ,44.06457 
40 ,7.2354 ,0.91653 ,4.44982 ,43.66163 
41 ,7.4122 ,0.91826 ,4.43613 ,43.52732 
42 ,7.6038 ,0.92023 ,4.42929 ,43.46016 
43 ,7.7800 ,0.92196 ,4.40191 ,43.19154 
44 ,7.9721 ,0.92384 ,4.37111 ,42.88933 
45 ,8.1640 ,0.92575 ,4.37795 ,42.95649 
46 ,8.3882 ,0.92787 ,4.35058 ,42.68786 
47 ,8.5643 ,0.92980 ,4.32662 ,42.45282 
48 ,8.7403 ,0.93154 ,4.31978 ,42.38566 
49 ,8.9164 ,0.93330 ,4.29240 ,42.11703 
50 ,9.0926 ,0.93508 ,4.25476 ,41.74767 
51 ,9.2847 ,0.93699 ,4.27187 ,41.91556 
52 ,9.4606 ,0.93878 ,4.24449 ,41.64694 
53 ,9.6525 ,0.94069 ,4.21711 ,41.37831 
54 ,9.8288 ,0.94244 ,4.19316 ,41.14326 
55 ,10.0047 ,0.94420 ,4.18631 ,41.07611 
56 ,10.2129 ,0.94613 ,4.16920 ,40.90821 
57 ,10.3890 ,0.94801 ,4.15894 ,40.80748 
58 ,10.5652 ,0.94986 ,4.14525 ,40.67317 
59 ,10.7248 ,0.95152 ,4.12471 ,40.47170 
60 ,10.9018 ,0.95321 ,4.11787 ,40.40454 
61 ,11.0771 ,0.95493 ,4.10418 ,40.27023 
62 ,11.2855 ,0.95689 ,4.06654 ,39.90087 
63 ,11.4935 ,0.95898 ,4.05285 ,39.76655 
64 ,11.6697 ,0.96082 ,4.03916 ,39.63224 
65 ,11.8454 ,0.96258 ,4.01863 ,39.43077 
66 ,12.0217 ,0.96435 ,4.01178 ,39.36361 
67 ,12.1977 ,0.96613 ,3.98783 ,39.12856 
68 ,12.3736 ,0.96785 ,3.95703 ,38.82636 
69 ,12.5499 ,0.96968 ,3.95018 ,38.75920 
70 ,12.7261 ,0.97137 ,3.94334 ,38.69205 
71 ,12.9181 ,0.97330 ,3.93307 ,38.59131 
72 ,13.1101 ,0.97524 ,3.89885 ,38.25553 
73 ,13.2863 ,0.97700 ,3.89201 ,38.18837 
74 ,13.4783 ,0.97887 ,3.86121 ,37.88617 
75 ,13.6545 ,0.98066 ,3.84067 ,37.68470 
76 ,13.8305 ,0.98247 ,3.83041 ,37.58396 
77 ,14.0066 ,0.98421 ,3.80987 ,37.38249 
78 ,14.1987 ,0.98611 ,3.82356 ,37.51681 
79 ,14.3746 ,0.98789 ,3.79619 ,37.24818 
80 ,14.5503 ,0.98959 ,3.76881 ,36.97955 
81 ,14.7267 ,0.99140 ,3.76539 ,36.94597 
82 ,14.9029 ,0.99316 ,3.75854 ,36.87882 
83 ,15.0950 ,0.99503 ,3.72432 ,36.54303 
84 ,15.3031 ,0.99713 ,3.70037 ,36.30799 
85 ,15.4952 ,0.99911 ,3.68668 ,36.17367 
86 ,15.6712 ,1.00089 ,3.66957 ,36.00578 
87 ,15.8632 ,1.00270 ,3.66957 ,36.00578 
88 ,16.0392 ,1.00446 ,3.65246 ,35.83789 
89 ,16.2155 ,1.00627 ,3.62166 ,35.53569 
90 ,16.3915 ,1.00810 ,3.60797 ,35.40137 
91 ,16.5676 ,1.00982 ,3.60112 ,35.33422 
92 ,16.7595 ,1.01165 ,3.58743 ,35.19990 
93 ,16.9357 ,1.01348 ,3.57032 ,35.03201 
94 ,17.1118 ,1.01523 ,3.55321 ,34.86412 
95 ,17.2875 ,1.01702 ,3.52584 ,34.59549 
96 ,17.4637 ,1.01874 ,3.51899 ,34.52834 
97 ,17.6397 ,1.02052 ,3.51899 ,34.52834 
98 ,17.8159 ,1.02224 ,3.49161 ,34.25971 
99 ,17.9922 ,1.02404 ,3.48135 ,34.15898 
100 ,18.1842 ,1.02594 ,3.46766 ,34.02466 
101 ,18.3760 ,1.02784 ,3.44370 ,33.78961 
102 ,18.5524 ,1.02963 ,3.42317 ,33.58814 
103 ,18.7284 ,1.03140 ,3.40606 ,33.42025 
104 ,18.9045 ,1.03314 ,3.40948 ,33.45383 
105 ,19.0967 ,1.03500 ,3.38210 ,33.18520 
106 ,19.2886 ,1.03696 ,3.35815 ,32.95016 
107 ,19.4808 ,1.03895 ,3.35473 ,32.91658 
108 ,19.6729 ,1.04075 ,3.32393 ,32.61437 
109 ,19.8488 ,1.04259 ,3.30339 ,32.41290 
110 ,20.0250 ,1.04434 ,3.31366 ,32.51364 
111 ,20.2167 ,1.04625 ,3.28971 ,32.27859 
112 ,20.3929 ,1.04803 ,3.27602 ,32.14428 
113 ,20.5851 ,1.04995 ,3.24522 ,31.84207 
114 ,20.7612 ,1.05166 ,3.26233 ,32.00996 
115 ,20.9373 ,1.05346 ,3.24180 ,31.80849 
116 ,21.1290 ,1.05543 ,3.20415 ,31.43913 
117 ,21.2890 ,1.05711 ,3.19731 ,31.37198 
118 ,21.4655 ,1.05874 ,3.17677 ,31.17051 
119 ,21.6416 ,1.06061 ,3.17677 ,31.17051 
120 ,21.8176 ,1.06227 ,3.15966 ,31.00262 
121 ,21.9938 ,1.06405 ,3.14940 ,30.90188 
122 ,22.1699 ,1.06581 ,3.12886 ,30.70041 
123 ,22.3459 ,1.06757 ,3.10491 ,30.46536 
124 ,22.5221 ,1.06932 ,3.10833 ,30.49894 
125 ,22.7142 ,1.07120 ,3.08438 ,30.26389 
126 ,22.8902 ,1.07302 ,3.07069 ,30.12958 
127 ,23.0820 ,1.07483 ,3.05700 ,29.99527 
128 ,23.2581 ,1.07668 ,3.04673 ,29.89453 
129 ,23.4341 ,1.07853 ,3.01251 ,29.55875 
130 ,23.6104 ,1.08019 ,3.00567 ,29.49159 
131 ,23.7863 ,1.08193 ,2.99198 ,29.35728 
132 ,23.9787 ,1.08379 ,2.97144 ,29.15581 
133 ,24.1547 ,1.08566 ,2.97487 ,29.18939 
134 ,24.3308 ,1.08741 ,2.94749 ,28.92076 
135 ,24.5388 ,1.08936 ,2.92696 ,28.71929 
136 ,24.7308 ,1.09139 ,2.90642 ,28.51782 
137 ,24.9075 ,1.09318 ,2.88589 ,28.31635 
138 ,25.0991 ,1.09511 ,2.89616 ,28.41709 
139 ,25.2750 ,1.09683 ,2.88931 ,28.34993 
140 ,25.4510 ,1.09860 ,2.85851 ,28.04772 
141 ,25.6592 ,1.10053 ,2.83114 ,27.77910 
142 ,25.8673 ,1.10266 ,2.81402 ,27.61121 
143 ,26.0595 ,1.10455 ,2.80718 ,27.54405 
144 ,26.2352 ,1.10640 ,2.80034 ,27.47689 
145 ,26.4113 ,1.10821 ,2.76954 ,27.17469 
146 ,26.5716 ,1.10990 ,2.75243 ,27.00680 
147 ,26.7477 ,1.11156 ,2.73189 ,26.80533 
148 ,26.9238 ,1.11330 ,2.72847 ,26.77175 
149 ,27.0999 ,1.11509 ,2.71478 ,26.63744 
150 ,27.2757 ,1.11682 ,2.70794 ,26.57028 
151 ,27.4679 ,1.11867 ,2.66345 ,26.13376 
152 ,27.6436 ,1.12058 ,2.67372 ,26.23450 
153 ,27.8200 ,1.12223 ,2.65660 ,26.06661 
154 ,27.9962 ,1.12405 ,2.63607 ,25.86514 
155 ,28.1723 ,1.12580 ,2.61212 ,25.63009 
156 ,28.3482 ,1.12755 ,2.60185 ,25.52935 
157 ,28.5245 ,1.12931 ,2.58474 ,25.36146 
158 ,28.7165 ,1.13122 ,2.58816 ,25.39504 
159 ,28.9085 ,1.13319 ,2.55052 ,25.02568 
160 ,29.0847 ,1.13487 ,2.53341 ,24.85779 
161 ,29.2604 ,1.13666 ,2.52656 ,24.79063 
162 ,29.4527 ,1.13850 ,2.49576 ,24.48842 
163 ,29.6287 ,1.14036 ,2.48892 ,24.42127 
164 ,29.8050 ,1.14213 ,2.46496 ,24.18622 
165 ,29.9966 ,1.14404 ,2.47181 ,24.25338 
166 ,30.1729 ,1.14577 ,2.44785 ,24.01833 
167 ,30.3650 ,1.14774 ,2.42048 ,23.74970 
168 ,30.5411 ,1.14950 ,2.40679 ,23.61539 
169 ,30.7171 ,1.15129 ,2.40679 ,23.61539 
170 ,30.9099 ,1.15316 ,2.36914 ,23.24603 
171 ,31.1014 ,1.15508 ,2.35203 ,23.07814 
172 ,31.2775 ,1.15685 ,2.34861 ,23.04456 
173 ,31.4856 ,1.15884 ,2.32465 ,22.80951 
174 ,31.6616 ,1.16070 ,2.31097 ,22.67520 
175 ,31.8212 ,1.16239 ,2.30412 ,22.60804 
176 ,31.9978 ,1.16399 ,2.29385 ,22.50731 
177 ,32.1738 ,1.16581 ,2.28701 ,22.44015 
178 ,32.3499 ,1.16752 ,2.24937 ,22.07079 
179 ,32.5258 ,1.16928 ,2.23226 ,21.90290 
180 ,32.7336 ,1.17132 ,2.22883 ,21.86932 
181 ,32.9097 ,1.17316 ,2.20830 ,21.66785 
182 ,33.0860 ,1.17491 ,2.16723 ,21.26491 
183 ,33.3103 ,1.17708 ,2.17066 ,21.29849 
184 ,33.5021 ,1.17905 ,2.15012 ,21.09702 
185 ,33.6780 ,1.18082 ,2.14328 ,21.02986 
186 ,33.8541 ,1.18260 ,2.13644 ,20.96270 
187 ,34.0145 ,1.18428 ,2.10221 ,20.62692 
188 ,34.1907 ,1.18594 ,2.10221 ,20.62692 
189 ,34.3666 ,1.18770 ,2.08168 ,20.42545 
190 ,34.5427 ,1.18948 ,2.06115 ,20.22398 
191 ,34.7188 ,1.19123 ,2.06457 ,20.25756 
192 ,34.9114 ,1.19320 ,2.05773 ,20.19040 
193 ,35.1030 ,1.19499 ,2.02693 ,19.88820 
194 ,35.2791 ,1.19686 ,2.02008 ,19.82104 
195 ,35.4551 ,1.19861 ,1.99955 ,19.61957 
196 ,35.6312 ,1.20031 ,1.99613 ,19.58599 
197 ,35.8233 ,1.20227 ,1.97217 ,19.35094 
198 ,35.9991 ,1.20403 ,1.94822 ,19.11590 
199 ,36.1752 ,1.20584 ,1.95506 ,19.18305 
200 ,36.3674 ,1.20772 ,1.92084 ,18.84727 
201 ,36.5594 ,1.20957 ,1.90031 ,18.64580 
202 ,36.7357 ,1.21143 ,1.89688 ,18.61222 
203 ,36.9118 ,1.21317 ,1.87293 ,18.37717 
204 ,37.0713 ,1.21486 ,1.85924 ,18.24286 
205 ,37.2478 ,1.21653 ,1.84213 ,18.07497 
206 ,37.4399 ,1.21844 ,1.83528 ,18.00781 
207 ,37.6159 ,1.22018 ,1.84213 ,18.07497 
208 ,37.8080 ,1.22210 ,1.80106 ,17.67203 
209 ,37.9841 ,1.22387 ,1.78395 ,17.50414 
210 ,38.1597 ,1.22569 ,1.77711 ,17.43698 
211 ,38.3521 ,1.22744 ,1.76684 ,17.33625 
212 ,38.5443 ,1.22949 ,1.73604 ,17.03404 
213 ,38.7204 ,1.23124 ,1.73262 ,17.00046 
214 ,38.9130 ,1.23312 ,1.72920 ,16.96689 
215 ,39.0885 ,1.23490 ,1.71209 ,16.79899 
216 ,39.2646 ,1.23669 ,1.69155 ,16.59752 
217 ,39.4566 ,1.23859 ,1.68471 ,16.53037 
218 ,39.6649 ,1.24057 ,1.66418 ,16.32890 
219 ,39.8408 ,1.24246 ,1.64707 ,16.16101 
220 ,40.0167 ,1.24420 ,1.63680 ,16.06027 
221 ,40.1930 ,1.24592 ,1.61969 ,15.89238 
222 ,40.3691 ,1.24773 ,1.61627 ,15.85880 
223 ,40.5610 ,1.24955 ,1.58889 ,15.59018 
224 ,40.7532 ,1.25157 ,1.58204 ,15.52302 
225 ,40.9293 ,1.25334 ,1.57178 ,15.42228 
226 ,41.1053 ,1.25506 ,1.53071 ,15.01934 
227 ,41.2812 ,1.25681 ,1.52045 ,14.91861 
228 ,41.4571 ,1.25861 ,1.51018 ,14.81787 
229 ,41.6332 ,1.26032 ,1.51360 ,14.85145 
230 ,41.8094 ,1.26208 ,1.50676 ,14.78430 
231 ,41.9854 ,1.26392 ,1.49649 ,14.68356 
232 ,42.1615 ,1.26563 ,1.46911 ,14.41493 
233 ,42.3374 ,1.26739 ,1.45200 ,14.24704 
234 ,42.5137 ,1.26918 ,1.44174 ,14.14631 
235 ,42.6897 ,1.27089 ,1.42120 ,13.94484 
236 ,42.8496 ,1.27262 ,1.41094 ,13.84410 
237 ,43.0099 ,1.27421 ,1.40067 ,13.74337 
238 ,43.1698 ,1.27583 ,1.39040 ,13.64263 
239 ,43.3299 ,1.27747 ,1.37329 ,13.47474 
240 ,43.4900 ,1.27903 ,1.36303 ,13.37401 
241 ,43.6500 ,1.28064 ,1.34591 ,13.20612 
242 ,43.8101 ,1.28224 ,1.33565 ,13.10538 
243 ,43.9701 ,1.28382 ,1.33565 ,13.10538 
