Data stamp = , 03-06-2022 17:44:34 363

Calibration Values: 
Slope = , 26.54  , g/V
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,3.5549 ,3.29999 ,0.69570 ,6.82624 
2 ,6.8931 ,3.09996 ,0.69570 ,6.82624 
3 ,10.2270 ,2.89992 ,0.70939 ,6.96055 
4 ,13.5743 ,2.69989 ,0.70597 ,6.92697 
5 ,16.9062 ,2.49985 ,0.69228 ,6.79266 
6 ,20.2518 ,2.29985 ,0.68544 ,6.72550 
7 ,23.5804 ,2.09984 ,0.71624 ,7.02771 
8 ,26.9140 ,1.89981 ,0.69228 ,6.79266 
9 ,30.2409 ,1.69977 ,0.69228 ,6.79266 
10 ,33.5816 ,1.49974 ,0.93183 ,9.14314 
11 ,35.9347 ,1.39972 ,1.26036 ,12.36666 
12 ,37.6992 ,1.34970 ,1.48280 ,14.54925 
13 ,39.4255 ,1.29967 ,1.77711 ,17.43698 
14 ,41.1617 ,1.24965 ,2.08510 ,20.45903 
15 ,42.9281 ,1.19966 ,2.43416 ,23.88402 
16 ,44.6402 ,1.14966 ,2.81402 ,27.61121 
17 ,46.3696 ,1.09967 ,3.20757 ,31.47271 
18 ,48.0787 ,1.04964 ,3.62508 ,35.56926 
19 ,49.8277 ,0.99965 ,4.04943 ,39.73297 
20 ,51.6125 ,0.94966 ,4.49089 ,44.06457 
21 ,53.3489 ,0.89963 ,4.93919 ,48.46333 
22 ,55.1035 ,0.84964 ,5.40118 ,52.99640 

Plateau measurements: 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.02 ,0.8496 ,5.398 ,53.0 
2 ,0.51 ,0.8496 ,5.398 ,53.0 
3 ,0.90 ,0.8496 ,5.381 ,52.8 
4 ,1.29 ,0.8496 ,5.384 ,52.8 
5 ,1.69 ,0.8496 ,5.381 ,52.8 
6 ,2.06 ,0.8496 ,5.387 ,52.9 
7 ,2.45 ,0.8496 ,5.381 ,52.8 
8 ,2.84 ,0.8496 ,5.367 ,52.7 
9 ,3.20 ,0.8496 ,5.370 ,52.7 
10 ,3.59 ,0.8496 ,5.384 ,52.8 
11 ,3.99 ,0.8496 ,5.364 ,52.6 
12 ,4.35 ,0.8496 ,5.367 ,52.7 
13 ,4.72 ,0.8496 ,5.374 ,52.7 
14 ,5.08 ,0.8496 ,5.370 ,52.7 
15 ,5.48 ,0.8496 ,5.357 ,52.6 
16 ,5.85 ,0.8496 ,5.346 ,52.5 
17 ,6.23 ,0.8496 ,5.367 ,52.7 
18 ,6.60 ,0.8496 ,5.367 ,52.7 
19 ,6.99 ,0.8496 ,5.340 ,52.4 
20 ,7.37 ,0.8496 ,5.343 ,52.4 
21 ,7.76 ,0.8496 ,5.360 ,52.6 
22 ,8.13 ,0.8496 ,5.353 ,52.5 
23 ,8.50 ,0.8496 ,5.350 ,52.5 
24 ,8.87 ,0.8496 ,5.367 ,52.7 
25 ,9.23 ,0.8496 ,5.340 ,52.4 
26 ,9.62 ,0.8496 ,5.343 ,52.4 
27 ,10.00 ,0.8496 ,5.350 ,52.5 
28 ,10.38 ,0.8496 ,5.353 ,52.5 
29 ,10.76 ,0.8496 ,5.329 ,52.3 
30 ,11.12 ,0.8496 ,5.343 ,52.4 
31 ,11.56 ,0.8496 ,5.329 ,52.3 
32 ,11.95 ,0.8496 ,5.343 ,52.4 
33 ,12.34 ,0.8496 ,5.333 ,52.3 
34 ,12.72 ,0.8496 ,5.343 ,52.4 
35 ,13.11 ,0.8496 ,5.340 ,52.4 
36 ,13.48 ,0.8496 ,5.343 ,52.4 
37 ,13.85 ,0.8496 ,5.343 ,52.4 
38 ,14.22 ,0.8496 ,5.346 ,52.5 
39 ,14.59 ,0.8496 ,5.333 ,52.3 
40 ,14.97 ,0.8496 ,5.343 ,52.4 
41 ,15.34 ,0.8496 ,5.329 ,52.3 
42 ,15.72 ,0.8496 ,5.326 ,52.3 
43 ,16.13 ,0.8496 ,5.340 ,52.4 
44 ,16.52 ,0.8496 ,5.322 ,52.2 
45 ,16.89 ,0.8496 ,5.336 ,52.4 
46 ,17.28 ,0.8496 ,5.340 ,52.4 
47 ,17.67 ,0.8496 ,5.329 ,52.3 
48 ,18.06 ,0.8496 ,5.312 ,52.1 
49 ,18.42 ,0.8496 ,5.322 ,52.2 
50 ,18.78 ,0.8496 ,5.343 ,52.4 
51 ,19.18 ,0.8496 ,5.329 ,52.3 
52 ,19.54 ,0.8496 ,5.340 ,52.4 
53 ,19.92 ,0.8496 ,5.329 ,52.3 
54 ,20.33 ,0.8496 ,5.336 ,52.4 
55 ,20.73 ,0.8496 ,5.343 ,52.4 
56 ,21.11 ,0.8496 ,5.333 ,52.3 
57 ,21.48 ,0.8496 ,5.319 ,52.2 
58 ,21.86 ,0.8496 ,5.326 ,52.3 
59 ,22.26 ,0.8496 ,5.343 ,52.4 
60 ,22.65 ,0.8496 ,5.336 ,52.4 
61 ,23.01 ,0.8496 ,5.312 ,52.1 
62 ,23.40 ,0.8496 ,5.326 ,52.3 
63 ,23.77 ,0.8496 ,5.319 ,52.2 
64 ,24.16 ,0.8496 ,5.326 ,52.3 
65 ,24.54 ,0.8496 ,5.322 ,52.2 
66 ,24.89 ,0.8496 ,5.329 ,52.3 
67 ,25.26 ,0.8496 ,5.322 ,52.2 
68 ,25.63 ,0.8496 ,5.319 ,52.2 
69 ,26.00 ,0.8496 ,5.316 ,52.2 
70 ,26.36 ,0.8496 ,5.316 ,52.2 
71 ,26.76 ,0.8496 ,5.326 ,52.3 
72 ,27.14 ,0.8496 ,5.340 ,52.4 
73 ,27.51 ,0.8496 ,5.309 ,52.1 
74 ,27.88 ,0.8496 ,5.316 ,52.2 
75 ,28.25 ,0.8496 ,5.329 ,52.3 
76 ,28.62 ,0.8496 ,5.312 ,52.1 
77 ,29.02 ,0.8496 ,5.326 ,52.3 
78 ,29.42 ,0.8496 ,5.316 ,52.2 
79 ,29.79 ,0.8496 ,5.322 ,52.2 
80 ,30.18 ,0.8496 ,5.333 ,52.3 
81 ,30.55 ,0.8496 ,5.322 ,52.2 
82 ,30.91 ,0.8496 ,5.292 ,51.9 
83 ,31.29 ,0.8496 ,5.316 ,52.2 
84 ,31.68 ,0.8496 ,5.333 ,52.3 
85 ,32.06 ,0.8496 ,5.319 ,52.2 
86 ,32.44 ,0.8496 ,5.312 ,52.1 
87 ,32.83 ,0.8496 ,5.326 ,52.3 
88 ,33.24 ,0.8496 ,5.322 ,52.2 
89 ,33.60 ,0.8496 ,5.316 ,52.2 
90 ,33.97 ,0.8496 ,5.316 ,52.2 
91 ,34.35 ,0.8496 ,5.312 ,52.1 
92 ,34.73 ,0.8496 ,5.295 ,52.0 
93 ,35.11 ,0.8496 ,5.312 ,52.1 
94 ,35.49 ,0.8496 ,5.319 ,52.2 
95 ,35.87 ,0.8496 ,5.312 ,52.1 
96 ,36.28 ,0.8496 ,5.312 ,52.1 
97 ,36.67 ,0.8496 ,5.329 ,52.3 
98 ,37.05 ,0.8496 ,5.302 ,52.0 
99 ,37.45 ,0.8496 ,5.319 ,52.2 
100 ,37.85 ,0.8496 ,5.329 ,52.3 
