Data stamp = , 02-06-2022 16:39:22 597

Calibration Values: 
Slope = , 26.54 , g/V 
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.0000 ,0.84961 ,5.38065 ,52.79493 
2 ,0.2164 ,0.84970 ,5.39092 ,52.89567 
3 ,0.9050 ,0.85274 ,5.37381 ,52.72778 
4 ,1.1454 ,0.85567 ,5.35327 ,52.52631 
5 ,1.3693 ,0.85800 ,5.36354 ,52.62704 
6 ,1.5775 ,0.86012 ,5.37381 ,52.72778 
7 ,1.7854 ,0.86219 ,5.35669 ,52.55988 
8 ,1.9934 ,0.86430 ,5.31905 ,52.19052 
9 ,2.2176 ,0.86652 ,5.30536 ,52.05621 
10 ,2.4417 ,0.86882 ,5.29510 ,51.95548 
11 ,2.6498 ,0.87086 ,5.26087 ,51.61969 
12 ,2.8739 ,0.87306 ,5.23007 ,51.31749 
13 ,3.0816 ,0.87512 ,5.22665 ,51.28391 
14 ,3.2895 ,0.87730 ,5.20270 ,51.04886 
15 ,3.5140 ,0.87947 ,5.16505 ,50.67950 
16 ,3.7703 ,0.88203 ,5.14452 ,50.47803 
17 ,3.9781 ,0.88414 ,5.12399 ,50.27656 
18 ,4.2025 ,0.88640 ,5.11714 ,50.20940 
19 ,4.4264 ,0.88863 ,5.10003 ,50.04151 
20 ,4.6347 ,0.89065 ,5.05554 ,49.60499 
21 ,4.8433 ,0.89280 ,5.04870 ,49.53784 
22 ,5.0506 ,0.89490 ,5.01448 ,49.20205 
23 ,5.2750 ,0.89711 ,4.99052 ,48.96701 
24 ,5.4985 ,0.89933 ,4.98368 ,48.89985 
25 ,5.7070 ,0.90137 ,4.97683 ,48.83269 
26 ,5.9312 ,0.90364 ,4.92208 ,48.29544 
27 ,6.1553 ,0.90587 ,4.90155 ,48.09397 
28 ,6.4114 ,0.90841 ,4.89470 ,48.02681 
29 ,6.6195 ,0.91054 ,4.86048 ,47.69103 
30 ,6.8274 ,0.91256 ,4.84337 ,47.52314 
31 ,7.0356 ,0.91472 ,4.81599 ,47.25451 
32 ,7.2595 ,0.91693 ,4.81257 ,47.22093 
33 ,7.4841 ,0.91916 ,4.78861 ,46.98589 
34 ,7.7076 ,0.92142 ,4.77835 ,46.88515 
35 ,7.9000 ,0.92349 ,4.74070 ,46.51579 
36 ,8.1080 ,0.92543 ,4.73044 ,46.41506 
37 ,8.3322 ,0.92757 ,4.69964 ,46.11285 
38 ,8.5561 ,0.92985 ,4.66884 ,45.81065 
39 ,8.7802 ,0.93218 ,4.65173 ,45.64275 
40 ,9.0205 ,0.93445 ,4.64488 ,45.57560 
41 ,9.2447 ,0.93680 ,4.62093 ,45.34055 
42 ,9.4685 ,0.93902 ,4.60040 ,45.13908 
43 ,9.6768 ,0.94111 ,4.55933 ,44.73614 
44 ,9.8850 ,0.94314 ,4.56275 ,44.76972 
45 ,10.0928 ,0.94531 ,4.53880 ,44.53467 
46 ,10.3168 ,0.94743 ,4.51484 ,44.29962 
47 ,10.5409 ,0.94973 ,4.49431 ,44.09815 
48 ,10.7491 ,0.95178 ,4.48404 ,43.99742 
49 ,10.9569 ,0.95388 ,4.44298 ,43.59448 
50 ,11.1653 ,0.95592 ,4.44298 ,43.59448 
51 ,11.3571 ,0.95801 ,4.41902 ,43.35943 
52 ,11.5655 ,0.95999 ,4.40875 ,43.25870 
53 ,11.7735 ,0.96202 ,4.37795 ,42.95649 
54 ,11.9817 ,0.96413 ,4.37453 ,42.92291 
55 ,12.1893 ,0.96626 ,4.35058 ,42.68786 
56 ,12.4135 ,0.96841 ,4.32662 ,42.45282 
57 ,12.6220 ,0.97050 ,4.29924 ,42.18419 
58 ,12.8300 ,0.97255 ,4.29582 ,42.15061 
59 ,13.0382 ,0.97471 ,4.26160 ,41.81483 
60 ,13.2621 ,0.97684 ,4.24791 ,41.68051 
61 ,13.4861 ,0.97922 ,4.22396 ,41.44547 
62 ,13.7104 ,0.98143 ,4.20342 ,41.24400 
63 ,13.9345 ,0.98363 ,4.17947 ,41.00895 
64 ,14.1423 ,0.98575 ,4.17262 ,40.94179 
65 ,14.3512 ,0.98781 ,4.14525 ,40.67317 
66 ,14.5587 ,0.98993 ,4.11787 ,40.40454 
67 ,14.7667 ,0.99194 ,4.11103 ,40.33738 
68 ,14.9750 ,0.99404 ,4.07680 ,40.00160 
69 ,15.1827 ,0.99615 ,4.05969 ,39.83371 
70 ,15.4071 ,0.99840 ,4.05285 ,39.76655 
71 ,15.6151 ,1.00048 ,4.01178 ,39.36361 
72 ,15.8233 ,1.00252 ,3.99809 ,39.22930 
73 ,16.0312 ,1.00462 ,3.98783 ,39.12856 
74 ,16.2394 ,1.00669 ,3.96387 ,38.89352 
75 ,16.4474 ,1.00877 ,3.96387 ,38.89352 
76 ,16.6553 ,1.01083 ,3.92623 ,38.52415 
77 ,16.8796 ,1.01307 ,3.90570 ,38.32268 
78 ,17.1999 ,1.01584 ,3.89885 ,38.25553 
79 ,17.4076 ,1.01837 ,3.86463 ,37.91975 
80 ,17.6161 ,1.02045 ,3.83725 ,37.65112 
81 ,17.8076 ,1.02250 ,3.82014 ,37.48323 
82 ,18.0322 ,1.02453 ,3.79961 ,37.28176 
83 ,18.2404 ,1.02672 ,3.76881 ,36.97955 
84 ,18.4644 ,1.02898 ,3.75512 ,36.84524 
85 ,18.6884 ,1.03116 ,3.75170 ,36.81166 
86 ,18.8961 ,1.03328 ,3.72774 ,36.57661 
87 ,19.1205 ,1.03543 ,3.69010 ,36.20725 
88 ,19.3288 ,1.03759 ,3.69352 ,36.24083 
89 ,19.5528 ,1.03981 ,3.67983 ,36.10652 
90 ,19.7610 ,1.04185 ,3.64561 ,35.77073 
91 ,19.9847 ,1.04411 ,3.62850 ,35.60284 
92 ,20.1929 ,1.04623 ,3.60797 ,35.40137 
93 ,20.4172 ,1.04845 ,3.58059 ,35.13275 
94 ,20.6253 ,1.05055 ,3.58059 ,35.13275 
95 ,20.8334 ,1.05260 ,3.55663 ,34.89770 
96 ,21.0255 ,1.05461 ,3.53268 ,34.66265 
97 ,21.2495 ,1.05686 ,3.51215 ,34.46118 
98 ,21.4737 ,1.05896 ,3.50530 ,34.39402 
99 ,21.6657 ,1.06104 ,3.47792 ,34.12540 
100 ,21.8896 ,1.06314 ,3.46424 ,33.99108 
101 ,22.0978 ,1.06525 ,3.44028 ,33.75604 
102 ,22.2735 ,1.06716 ,3.43686 ,33.72246 
103 ,22.4660 ,1.06909 ,3.39921 ,33.35310 
104 ,22.6579 ,1.07085 ,3.38553 ,33.21878 
105 ,22.8662 ,1.07291 ,3.36842 ,33.05089 
106 ,23.0903 ,1.07521 ,3.36499 ,33.01731 
107 ,23.3144 ,1.07732 ,3.33077 ,32.68153 
108 ,23.5225 ,1.07951 ,3.32051 ,32.58080 
109 ,23.7465 ,1.08168 ,3.29655 ,32.34575 
110 ,23.9388 ,1.08366 ,3.27259 ,32.11070 
111 ,24.1470 ,1.08572 ,3.26575 ,32.04354 
112 ,24.3549 ,1.08783 ,3.25891 ,31.97639 
113 ,24.5627 ,1.08993 ,3.22468 ,31.64060 
114 ,24.7869 ,1.09216 ,3.21100 ,31.50629 
115 ,25.0112 ,1.09439 ,3.18362 ,31.23766 
116 ,25.2190 ,1.09642 ,3.17335 ,31.13693 
117 ,25.4273 ,1.09853 ,3.14940 ,30.90188 
118 ,25.6514 ,1.10072 ,3.13913 ,30.80115 
119 ,25.8756 ,1.10299 ,3.11518 ,30.56610 
120 ,26.0836 ,1.10509 ,3.08780 ,30.29747 
121 ,26.2917 ,1.10717 ,3.08438 ,30.26389 
122 ,26.5159 ,1.10936 ,3.06042 ,30.02884 
123 ,26.7234 ,1.11158 ,3.03989 ,29.82737 
124 ,26.9320 ,1.11359 ,3.02962 ,29.72664 
125 ,27.1557 ,1.11577 ,3.00909 ,29.52517 
126 ,27.3486 ,1.11777 ,2.97829 ,29.22297 
127 ,27.5720 ,1.12000 ,2.97144 ,29.15581 
128 ,27.7799 ,1.12210 ,2.96118 ,29.05507 
129 ,27.9884 ,1.12424 ,2.92353 ,28.68571 
130 ,28.2126 ,1.12631 ,2.92353 ,28.68571 
131 ,28.4207 ,1.12844 ,2.90642 ,28.51782 
132 ,28.6767 ,1.13084 ,2.87562 ,28.21562 
133 ,28.8844 ,1.13309 ,2.84482 ,27.91341 
134 ,29.0927 ,1.13522 ,2.84825 ,27.94699 
135 ,29.3010 ,1.13742 ,2.83798 ,27.84625 
136 ,29.5251 ,1.13953 ,2.79007 ,27.37616 
137 ,29.7491 ,1.14170 ,2.77296 ,27.20827 
138 ,29.9570 ,1.14377 ,2.77296 ,27.20827 
139 ,30.1814 ,1.14612 ,2.74900 ,26.97322 
140 ,30.4055 ,1.14826 ,2.71136 ,26.60386 
141 ,30.6294 ,1.15051 ,2.69425 ,26.43597 
142 ,30.8377 ,1.15261 ,2.69425 ,26.43597 
143 ,31.0458 ,1.15470 ,2.66345 ,26.13376 
144 ,31.2697 ,1.15695 ,2.64634 ,25.96587 
145 ,31.4938 ,1.15918 ,2.64292 ,25.93229 
146 ,31.7176 ,1.16144 ,2.63607 ,25.86514 
147 ,31.9261 ,1.16351 ,2.60185 ,25.52935 
148 ,32.1340 ,1.16555 ,2.58816 ,25.39504 
149 ,32.3421 ,1.16768 ,2.56421 ,25.15999 
150 ,32.5663 ,1.16986 ,2.54025 ,24.92494 
151 ,32.7744 ,1.17193 ,2.52656 ,24.79063 
152 ,32.9825 ,1.17408 ,2.51972 ,24.72347 
153 ,33.1906 ,1.17613 ,2.47523 ,24.28696 
154 ,33.4146 ,1.17838 ,2.47181 ,24.25338 
155 ,33.6227 ,1.18045 ,2.46496 ,24.18622 
156 ,33.8471 ,1.18269 ,2.44443 ,23.98475 
157 ,34.0548 ,1.18480 ,2.41363 ,23.68255 
158 ,34.2466 ,1.18683 ,2.41705 ,23.71612 
159 ,34.4546 ,1.18874 ,2.38968 ,23.44750 
160 ,34.6631 ,1.19087 ,2.38968 ,23.44750 
161 ,34.8708 ,1.19297 ,2.33834 ,22.94382 
162 ,35.0791 ,1.19496 ,2.33150 ,22.87667 
163 ,35.2871 ,1.19709 ,2.32123 ,22.77593 
164 ,35.4953 ,1.19919 ,2.30754 ,22.64162 
165 ,35.7195 ,1.20142 ,2.30070 ,22.57446 
166 ,35.9437 ,1.20366 ,2.27674 ,22.33941 
167 ,36.1518 ,1.20573 ,2.23568 ,21.93647 
168 ,36.3597 ,1.20779 ,2.23910 ,21.97005 
169 ,36.5838 ,1.21005 ,2.22199 ,21.80216 
170 ,36.7917 ,1.21215 ,2.18435 ,21.43280 
171 ,37.0000 ,1.21426 ,2.18777 ,21.46638 
172 ,37.2076 ,1.21630 ,2.16381 ,21.23133 
173 ,37.4317 ,1.21860 ,2.14670 ,21.06344 
174 ,37.6399 ,1.22063 ,2.13301 ,20.92912 
175 ,37.8639 ,1.22273 ,2.11590 ,20.76123 
176 ,38.0562 ,1.22492 ,2.09195 ,20.52619 
177 ,38.2806 ,1.22704 ,2.09195 ,20.52619 
178 ,38.4886 ,1.22910 ,2.06457 ,20.25756 
179 ,38.7124 ,1.23136 ,2.03719 ,19.98893 
180 ,38.9209 ,1.23338 ,2.03377 ,19.95535 
181 ,39.1290 ,1.23545 ,2.02008 ,19.82104 
182 ,39.3369 ,1.23757 ,1.98928 ,19.51884 
183 ,39.5452 ,1.23968 ,1.98928 ,19.51884 
184 ,39.7532 ,1.24172 ,1.95848 ,19.21663 
185 ,39.9768 ,1.24391 ,1.95164 ,19.14948 
186 ,40.2812 ,1.24659 ,1.93795 ,19.01516 
187 ,40.5055 ,1.24927 ,1.92084 ,18.84727 
188 ,40.7296 ,1.25149 ,1.90373 ,18.67938 
189 ,40.9538 ,1.25373 ,1.85924 ,18.24286 
190 ,41.1777 ,1.25596 ,1.86266 ,18.27644 
191 ,41.4019 ,1.25825 ,1.83871 ,18.04139 
192 ,41.6099 ,1.26029 ,1.82160 ,17.87350 
193 ,41.8178 ,1.26237 ,1.80106 ,17.67203 
194 ,42.0422 ,1.26465 ,1.78737 ,17.53772 
195 ,42.2504 ,1.26673 ,1.77369 ,17.40340 
196 ,42.4743 ,1.26893 ,1.74289 ,17.10120 
197 ,42.6981 ,1.27119 ,1.73946 ,17.06762 
198 ,42.9066 ,1.27323 ,1.72920 ,16.96689 
199 ,43.1307 ,1.27545 ,1.70182 ,16.69826 
200 ,43.3544 ,1.27772 ,1.67444 ,16.42963 
201 ,43.5626 ,1.27978 ,1.68129 ,16.49679 
202 ,43.7708 ,1.28183 ,1.65733 ,16.26174 
203 ,43.9949 ,1.28412 ,1.62311 ,15.92596 
204 ,44.2030 ,1.28626 ,1.61969 ,15.89238 
205 ,44.4106 ,1.28832 ,1.61284 ,15.82522 
206 ,44.6190 ,1.29042 ,1.59573 ,15.65733 
207 ,44.8271 ,1.29244 ,1.58547 ,15.55660 
208 ,45.0514 ,1.29475 ,1.56151 ,15.32155 
209 ,45.2591 ,1.29680 ,1.54098 ,15.12008 
210 ,45.4830 ,1.29900 ,1.53413 ,15.05292 
211 ,45.6915 ,1.30115 ,1.52045 ,14.91861 
212 ,45.8995 ,1.30322 ,1.48965 ,14.61640 
213 ,46.1078 ,1.30523 ,1.48622 ,14.58283 
214 ,46.3159 ,1.30728 ,1.46227 ,14.34778 
215 ,46.5395 ,1.30960 ,1.44516 ,14.17989 
216 ,46.7636 ,1.31176 ,1.43489 ,14.07915 
217 ,46.9561 ,1.31384 ,1.42805 ,14.01199 
218 ,47.1641 ,1.31581 ,1.39383 ,13.67621 
219 ,47.3564 ,1.31781 ,1.38014 ,13.54190 
220 ,47.5484 ,1.31969 ,1.38356 ,13.57548 
221 ,47.7563 ,1.32176 ,1.34934 ,13.23969 
222 ,47.9644 ,1.32378 ,1.34249 ,13.17254 
223 ,48.1886 ,1.32606 ,1.33565 ,13.10538 
224 ,48.4128 ,1.32830 ,1.31169 ,12.87033 
225 ,48.6369 ,1.33056 ,1.29116 ,12.66886 
226 ,48.8450 ,1.33263 ,1.27747 ,12.53455 
227 ,49.0529 ,1.33471 ,1.25694 ,12.33308 
228 ,49.2611 ,1.33674 ,1.22956 ,12.06445 
229 ,49.4852 ,1.33901 ,1.22272 ,11.99730 
230 ,49.6930 ,1.34111 ,1.21929 ,11.96372 
231 ,49.9009 ,1.34317 ,1.18850 ,11.66151 
232 ,50.1095 ,1.34521 ,1.18165 ,11.59436 
233 ,50.3174 ,1.34736 ,1.16796 ,11.46004 
234 ,50.5417 ,1.34958 ,1.13716 ,11.15784 
235 ,50.7658 ,1.35172 ,1.14058 ,11.19142 
236 ,50.9733 ,1.35388 ,1.12005 ,10.98995 
237 ,51.2139 ,1.35617 ,1.08583 ,10.65416 
238 ,51.4381 ,1.35856 ,1.07899 ,10.58701 
239 ,51.6463 ,1.36064 ,1.06872 ,10.48627 
240 ,51.8538 ,1.36280 ,1.06872 ,10.48627 
241 ,52.0619 ,1.36472 ,1.02765 ,10.08333 
242 ,52.2705 ,1.36688 ,1.03450 ,10.15049 
243 ,52.4945 ,1.36911 ,1.01396 ,9.94902 
