Data stamp = , 19-05-2022 00:57:14 110

Calibration Values: 
Slope = , 26.54  , g/V
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,3.4994 ,3.29999 ,0.65806 ,6.45688 
2 ,6.8493 ,3.09996 ,0.65464 ,6.42330 
3 ,10.1843 ,2.89992 ,0.64779 ,6.35614 
4 ,13.5179 ,2.69989 ,0.65464 ,6.42330 
5 ,16.8144 ,2.49985 ,0.66490 ,6.52403 
6 ,20.1420 ,2.29985 ,0.64779 ,6.35614 
7 ,23.4824 ,2.09984 ,0.64437 ,6.32256 
8 ,26.8009 ,1.89984 ,0.65464 ,6.42330 
9 ,30.1056 ,1.69980 ,0.77099 ,7.56496 
10 ,32.4427 ,1.59978 ,1.32538 ,13.00465 
11 ,34.1809 ,1.54976 ,1.63338 ,16.02669 
12 ,35.9052 ,1.49974 ,1.89004 ,18.54507 
13 ,37.6421 ,1.44971 ,2.19119 ,21.49996 
14 ,39.3742 ,1.39969 ,2.36914 ,23.24603 
15 ,41.1037 ,1.34967 ,2.50603 ,24.58916 
16 ,42.8233 ,1.29967 ,2.56421 ,25.15999 
17 ,44.5521 ,1.24968 ,2.76954 ,27.17469 
18 ,46.2778 ,1.19969 ,3.09464 ,30.36463 
19 ,47.9915 ,1.14969 ,3.31708 ,32.54722 
20 ,49.7255 ,1.09970 ,3.67983 ,36.10652 
21 ,51.4530 ,1.04967 ,4.11787 ,40.40454 
22 ,53.1681 ,0.99968 ,4.50115 ,44.16531 
23 ,54.8820 ,0.94966 ,4.92550 ,48.32902 
24 ,56.6196 ,0.89963 ,5.38749 ,52.86209 

Plateau measurements: 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.02 ,0.8996 ,5.367 ,52.7 
2 ,0.50 ,0.8997 ,5.360 ,52.6 
3 ,0.85 ,0.8997 ,5.377 ,52.8 
4 ,1.20 ,0.8997 ,5.367 ,52.7 
5 ,1.55 ,0.8997 ,5.350 ,52.5 
6 ,1.91 ,0.8997 ,5.381 ,52.8 
7 ,2.27 ,0.8997 ,5.350 ,52.5 
8 ,2.63 ,0.8997 ,5.374 ,52.7 
9 ,2.99 ,0.8997 ,5.360 ,52.6 
10 ,3.37 ,0.8997 ,5.350 ,52.5 
11 ,3.72 ,0.8997 ,5.370 ,52.7 
12 ,4.10 ,0.8997 ,5.346 ,52.5 
13 ,4.45 ,0.8997 ,5.353 ,52.5 
14 ,4.81 ,0.8997 ,5.350 ,52.5 
15 ,5.20 ,0.8997 ,5.364 ,52.6 
16 ,5.57 ,0.8997 ,5.340 ,52.4 
17 ,5.92 ,0.8997 ,5.364 ,52.6 
18 ,6.28 ,0.8997 ,5.340 ,52.4 
19 ,6.68 ,0.8997 ,5.343 ,52.4 
20 ,7.03 ,0.8997 ,5.350 ,52.5 
21 ,7.39 ,0.8997 ,5.350 ,52.5 
22 ,7.78 ,0.8997 ,5.343 ,52.4 
23 ,8.15 ,0.8997 ,5.329 ,52.3 
24 ,8.50 ,0.8997 ,5.357 ,52.6 
25 ,8.87 ,0.8997 ,5.333 ,52.3 
26 ,9.22 ,0.8997 ,5.364 ,52.6 
27 ,9.57 ,0.8997 ,5.353 ,52.5 
28 ,9.97 ,0.8997 ,5.329 ,52.3 
29 ,10.33 ,0.8997 ,5.357 ,52.6 
30 ,10.69 ,0.8997 ,5.329 ,52.3 
31 ,11.07 ,0.8997 ,5.343 ,52.4 
32 ,11.44 ,0.8997 ,5.340 ,52.4 
33 ,11.81 ,0.8997 ,5.350 ,52.5 
34 ,12.20 ,0.8997 ,5.336 ,52.4 
35 ,12.57 ,0.8997 ,5.343 ,52.4 
36 ,12.94 ,0.8997 ,5.322 ,52.2 
37 ,13.31 ,0.8997 ,5.329 ,52.3 
38 ,13.68 ,0.8997 ,5.326 ,52.3 
39 ,14.04 ,0.8997 ,5.336 ,52.4 
40 ,14.41 ,0.8997 ,5.333 ,52.3 
41 ,14.76 ,0.8997 ,5.322 ,52.2 
42 ,15.12 ,0.8997 ,5.322 ,52.2 
43 ,15.51 ,0.8997 ,5.312 ,52.1 
44 ,15.86 ,0.8997 ,5.336 ,52.4 
45 ,16.25 ,0.8997 ,5.316 ,52.2 
46 ,16.62 ,0.8997 ,5.340 ,52.4 
47 ,16.96 ,0.8997 ,5.346 ,52.5 
48 ,17.33 ,0.8997 ,5.329 ,52.3 
49 ,17.70 ,0.8997 ,5.322 ,52.2 
50 ,18.06 ,0.8997 ,5.326 ,52.3 
51 ,18.41 ,0.8997 ,5.309 ,52.1 
52 ,18.75 ,0.8997 ,5.333 ,52.3 
53 ,19.11 ,0.8997 ,5.316 ,52.2 
54 ,19.46 ,0.8997 ,5.322 ,52.2 
55 ,19.82 ,0.8997 ,5.346 ,52.5 
56 ,20.17 ,0.8997 ,5.312 ,52.1 
57 ,20.52 ,0.8997 ,5.336 ,52.4 
58 ,20.87 ,0.8997 ,5.322 ,52.2 
59 ,21.22 ,0.8997 ,5.319 ,52.2 
60 ,21.56 ,0.8997 ,5.326 ,52.3 
61 ,21.91 ,0.8997 ,5.319 ,52.2 
62 ,22.26 ,0.8997 ,5.305 ,52.1 
63 ,22.64 ,0.8997 ,5.333 ,52.3 
64 ,23.02 ,0.8997 ,5.322 ,52.2 
65 ,23.41 ,0.8997 ,5.326 ,52.3 
66 ,23.79 ,0.8997 ,5.322 ,52.2 
67 ,24.15 ,0.8997 ,5.322 ,52.2 
68 ,24.51 ,0.8997 ,5.309 ,52.1 
69 ,24.87 ,0.8997 ,5.319 ,52.2 
70 ,25.24 ,0.8997 ,5.316 ,52.2 
71 ,25.61 ,0.8997 ,5.333 ,52.3 
72 ,26.00 ,0.8997 ,5.316 ,52.2 
73 ,26.35 ,0.8997 ,5.302 ,52.0 
74 ,26.72 ,0.8997 ,5.326 ,52.3 
75 ,27.09 ,0.8997 ,5.305 ,52.1 
76 ,27.45 ,0.8997 ,5.299 ,52.0 
77 ,27.83 ,0.8997 ,5.329 ,52.3 
78 ,28.21 ,0.8997 ,5.322 ,52.2 
79 ,28.59 ,0.8997 ,5.322 ,52.2 
80 ,28.95 ,0.8997 ,5.302 ,52.0 
81 ,29.36 ,0.8997 ,5.316 ,52.2 
82 ,29.75 ,0.8997 ,5.302 ,52.0 
83 ,30.14 ,0.8997 ,5.319 ,52.2 
84 ,30.50 ,0.8997 ,5.312 ,52.1 
85 ,30.88 ,0.8997 ,5.316 ,52.2 
86 ,31.23 ,0.8997 ,5.319 ,52.2 
87 ,31.61 ,0.8997 ,5.312 ,52.1 
88 ,32.00 ,0.8997 ,5.305 ,52.1 
89 ,32.37 ,0.8997 ,5.319 ,52.2 
90 ,32.75 ,0.8997 ,5.302 ,52.0 
91 ,33.12 ,0.8997 ,5.312 ,52.1 
92 ,33.49 ,0.8997 ,5.319 ,52.2 
93 ,33.85 ,0.8997 ,5.309 ,52.1 
94 ,34.23 ,0.8997 ,5.295 ,52.0 
95 ,34.63 ,0.8997 ,5.295 ,52.0 
96 ,35.00 ,0.8997 ,5.309 ,52.1 
97 ,35.38 ,0.8997 ,5.299 ,52.0 
98 ,35.72 ,0.8997 ,5.299 ,52.0 
99 ,36.10 ,0.8997 ,5.299 ,52.0 
100 ,36.49 ,0.8997 ,5.299 ,52.0 
