Data stamp = , 30-04-2022 08:38:25 857

Calibration Values: 
Slope = , 26.54  , g/V
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,3.4477 ,3.29999 ,0.68201 ,6.69193 
2 ,6.7521 ,3.09996 ,0.64779 ,6.35614 
3 ,10.0611 ,2.89992 ,0.66490 ,6.52403 
4 ,13.3707 ,2.69989 ,0.66833 ,6.55761 
5 ,16.6719 ,2.49985 ,0.67175 ,6.59119 
6 ,20.0016 ,2.29982 ,0.63753 ,6.25541 
7 ,23.3241 ,2.09978 ,0.66490 ,6.52403 
8 ,26.6851 ,1.89975 ,0.68201 ,6.69193 
9 ,30.0165 ,1.69971 ,1.35276 ,13.27327 
10 ,32.3329 ,1.59970 ,1.64022 ,16.09385 
11 ,34.0559 ,1.54967 ,1.74631 ,17.13478 
12 ,35.7765 ,1.49965 ,2.02350 ,19.85462 
13 ,37.5173 ,1.44963 ,2.31439 ,22.70877 
14 ,39.2542 ,1.39960 ,2.64292 ,25.93229 
15 ,40.9850 ,1.34958 ,2.94407 ,28.88718 
16 ,42.7150 ,1.29956 ,3.19388 ,31.33840 
17 ,44.4425 ,1.24953 ,3.51557 ,34.49476 
18 ,46.1647 ,1.19954 ,3.84410 ,37.71828 
19 ,47.9053 ,1.14952 ,4.20685 ,41.27758 
20 ,49.6338 ,1.09949 ,4.59697 ,45.10550 
21 ,51.3430 ,1.04947 ,5.04185 ,49.47068 
22 ,53.0652 ,0.99945 ,5.49358 ,53.90302 

Plateau measurements: 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.01 ,0.9994 ,5.473 ,53.7 
2 ,0.39 ,0.9995 ,5.473 ,53.7 
3 ,0.75 ,0.9995 ,5.470 ,53.7 
4 ,1.13 ,0.9995 ,5.470 ,53.7 
5 ,1.50 ,0.9995 ,5.459 ,53.6 
6 ,1.87 ,0.9995 ,5.456 ,53.5 
7 ,2.25 ,0.9995 ,5.456 ,53.5 
8 ,2.62 ,0.9995 ,5.470 ,53.7 
9 ,3.02 ,0.9995 ,5.466 ,53.6 
10 ,3.40 ,0.9995 ,5.449 ,53.5 
11 ,3.76 ,0.9995 ,5.453 ,53.5 
12 ,4.14 ,0.9995 ,5.435 ,53.3 
13 ,4.50 ,0.9995 ,5.439 ,53.4 
14 ,4.87 ,0.9995 ,5.453 ,53.5 
15 ,5.26 ,0.9995 ,5.456 ,53.5 
16 ,5.64 ,0.9995 ,5.456 ,53.5 
17 ,6.02 ,0.9995 ,5.446 ,53.4 
18 ,6.38 ,0.9995 ,5.425 ,53.2 
19 ,6.76 ,0.9995 ,5.418 ,53.2 
20 ,7.13 ,0.9995 ,5.439 ,53.4 
21 ,7.49 ,0.9995 ,5.425 ,53.2 
22 ,7.84 ,0.9995 ,5.439 ,53.4 
23 ,8.22 ,0.9995 ,5.442 ,53.4 
24 ,8.58 ,0.9995 ,5.425 ,53.2 
25 ,8.96 ,0.9995 ,5.425 ,53.2 
26 ,9.33 ,0.9995 ,5.418 ,53.2 
27 ,9.72 ,0.9995 ,5.422 ,53.2 
28 ,10.08 ,0.9995 ,5.425 ,53.2 
29 ,10.46 ,0.9995 ,5.418 ,53.2 
30 ,10.83 ,0.9995 ,5.425 ,53.2 
31 ,11.20 ,0.9995 ,5.432 ,53.3 
32 ,11.56 ,0.9995 ,5.425 ,53.2 
33 ,11.91 ,0.9995 ,5.435 ,53.3 
34 ,12.29 ,0.9995 ,5.418 ,53.2 
35 ,12.66 ,0.9995 ,5.429 ,53.3 
36 ,13.04 ,0.9995 ,5.425 ,53.2 
37 ,13.42 ,0.9995 ,5.418 ,53.2 
38 ,13.77 ,0.9995 ,5.439 ,53.4 
39 ,14.15 ,0.9995 ,5.429 ,53.3 
40 ,14.54 ,0.9995 ,5.422 ,53.2 
41 ,14.93 ,0.9995 ,5.418 ,53.2 
42 ,15.30 ,0.9995 ,5.425 ,53.2 
43 ,15.66 ,0.9995 ,5.418 ,53.2 
44 ,16.04 ,0.9995 ,5.429 ,53.3 
45 ,16.40 ,0.9995 ,5.411 ,53.1 
46 ,16.80 ,0.9995 ,5.405 ,53.0 
47 ,17.18 ,0.9995 ,5.415 ,53.1 
48 ,17.54 ,0.9995 ,5.418 ,53.2 
49 ,17.92 ,0.9995 ,5.398 ,53.0 
50 ,18.30 ,0.9995 ,5.415 ,53.1 
51 ,18.67 ,0.9995 ,5.418 ,53.2 
52 ,19.06 ,0.9995 ,5.408 ,53.1 
53 ,19.42 ,0.9995 ,5.411 ,53.1 
54 ,19.81 ,0.9995 ,5.422 ,53.2 
55 ,20.17 ,0.9995 ,5.408 ,53.1 
56 ,20.56 ,0.9995 ,5.411 ,53.1 
57 ,20.94 ,0.9995 ,5.405 ,53.0 
58 ,21.33 ,0.9995 ,5.429 ,53.3 
59 ,21.69 ,0.9995 ,5.411 ,53.1 
60 ,22.06 ,0.9995 ,5.411 ,53.1 
61 ,22.41 ,0.9995 ,5.405 ,53.0 
62 ,22.76 ,0.9995 ,5.418 ,53.2 
63 ,23.13 ,0.9995 ,5.415 ,53.1 
64 ,23.49 ,0.9995 ,5.418 ,53.2 
65 ,23.87 ,0.9995 ,5.398 ,53.0 
66 ,24.24 ,0.9995 ,5.408 ,53.1 
67 ,24.61 ,0.9995 ,5.387 ,52.9 
68 ,24.98 ,0.9995 ,5.387 ,52.9 
69 ,25.34 ,0.9995 ,5.408 ,53.1 
70 ,25.70 ,0.9995 ,5.401 ,53.0 
71 ,26.08 ,0.9995 ,5.408 ,53.1 
72 ,26.44 ,0.9995 ,5.411 ,53.1 
73 ,26.82 ,0.9995 ,5.398 ,53.0 
74 ,27.18 ,0.9995 ,5.415 ,53.1 
75 ,27.54 ,0.9995 ,5.398 ,53.0 
76 ,27.91 ,0.9995 ,5.405 ,53.0 
77 ,28.28 ,0.9995 ,5.401 ,53.0 
78 ,28.65 ,0.9995 ,5.408 ,53.1 
79 ,29.02 ,0.9995 ,5.391 ,52.9 
80 ,29.39 ,0.9995 ,5.394 ,52.9 
81 ,29.74 ,0.9995 ,5.398 ,53.0 
82 ,30.11 ,0.9995 ,5.381 ,52.8 
83 ,30.48 ,0.9995 ,5.401 ,53.0 
84 ,30.84 ,0.9995 ,5.418 ,53.2 
85 ,31.19 ,0.9995 ,5.408 ,53.1 
86 ,31.55 ,0.9995 ,5.384 ,52.8 
87 ,31.92 ,0.9995 ,5.391 ,52.9 
88 ,32.27 ,0.9995 ,5.387 ,52.9 
89 ,32.66 ,0.9995 ,5.391 ,52.9 
90 ,33.04 ,0.9995 ,5.401 ,53.0 
91 ,33.39 ,0.9995 ,5.381 ,52.8 
92 ,33.76 ,0.9995 ,5.394 ,52.9 
93 ,34.13 ,0.9995 ,5.384 ,52.8 
94 ,34.49 ,0.9995 ,5.401 ,53.0 
95 ,34.85 ,0.9995 ,5.394 ,52.9 
96 ,35.23 ,0.9995 ,5.401 ,53.0 
97 ,35.59 ,0.9995 ,5.411 ,53.1 
98 ,35.97 ,0.9995 ,5.387 ,52.9 
99 ,36.39 ,0.9995 ,5.384 ,52.8 
100 ,36.77 ,0.9995 ,5.391 ,52.9 
