Point No.,Normal Force [N],Gap [mm],Time [s]
1,3.331415,22.1382,335.6
2,3.335034,22.1382,335.6
3,3.333234,22.1382,335.6
4,3.329343,22.1382,335.6
5,3.333584,22.1382,335.6
6,3.334403,22.1382,335.6
7,3.323189,22.1388,335.6
8,3.319458,22.1388,335.6
9,3.294674,22.1407,335.6
10,3.314389,22.1407,335.6
11,3.268515,22.1438,335.6
12,3.269834,22.1438,335.6
13,3.256460,22.1488,335.7
14,3.233005,22.1488,335.7
15,3.199415,22.1538,335.7
16,3.143044,22.1537,335.7
17,3.136372,22.1587,335.7
18,3.094286,22.1587,335.7
19,3.103283,22.1637,335.7
20,3.051246,22.1637,335.7
21,3.062081,22.1687,335.7
22,3.004396,22.1686,335.7
23,3.027309,22.1730,335.7
24,2.963269,22.1730,335.7
25,2.982394,22.1786,335.7
26,2.923180,22.1786,335.7
27,2.951784,22.1836,335.7
28,2.882128,22.1836,335.7
29,2.905607,22.1886,335.7
30,2.939261,22.1886,335.7
31,2.876881,22.1936,335.7
32,2.891919,22.1936,335.7
33,2.842763,22.1985,335.8
34,2.869152,22.1986,335.8
35,2.809797,22.2035,335.8
36,2.819477,22.2035,335.8
37,2.777625,22.2085,335.8
38,2.801062,22.2085,335.8
39,2.735357,22.2129,335.8
40,2.765107,22.2129,335.8
41,2.705261,22.2185,335.8
42,2.739416,22.2185,335.8
43,2.683189,22.2235,335.8
44,2.690185,22.2235,335.8
45,2.653500,22.2284,335.8
46,2.671471,22.2285,335.8
47,2.614417,22.2334,335.8
48,2.640604,22.2334,335.8
49,2.580645,22.2384,335.8
50,2.623582,22.2384,335.8
51,2.560272,22.2434,335.8
52,2.575951,22.2434,335.8
53,2.534240,22.2484,335.9
54,2.560009,22.2484,335.9
55,2.499804,22.2527,335.9
56,2.524391,22.2527,335.9
57,2.468431,22.2583,335.9
58,2.509507,22.2584,335.9
59,2.442507,22.2633,335.9
60,2.463610,22.2633,335.9
61,2.406472,22.2683,335.9
62,2.446902,22.2683,335.9
63,2.380178,22.2727,335.9
64,2.412341,22.2727,335.9
65,2.354459,22.2783,335.9
66,2.403316,22.2783,335.9
67,2.336170,22.2833,335.9
68,2.356194,22.2833,335.9
69,2.309825,22.2882,335.9
70,2.344232,22.2883,335.9
71,2.285766,22.2926,335.9
72,2.317335,22.2926,335.9
73,2.253828,22.2982,336
74,2.305542,22.2982,336
75,2.239187,22.3032,336
76,2.264302,22.3032,336
77,2.221801,22.3082,336
78,2.255726,22.3082,336
79,2.191359,22.3125,336
80,2.228909,22.3126,336
81,2.168763,22.3182,336
82,2.219664,22.3182,336
83,2.141146,22.3231,336
84,2.185668,22.3232,336
85,2.126565,22.3281,336
86,2.174852,22.3282,336
87,2.104251,22.3325,336
88,2.152364,22.3325,336
89,2.070601,22.3381,336
90,2.140187,22.3381,336
91,2.054132,22.3425,336
92,2.104199,22.3425,336
93,2.031265,22.3481,336.1
94,2.086827,22.3481,336.1
95,2.005373,22.3524,336.1
96,2.064237,22.3525,336.1
97,1.981183,22.3580,336.1
98,2.059691,22.3581,336.1
99,1.965181,22.3624,336.1
100,2.021969,22.3624,336.1
101,1.946617,22.3680,336.1
102,2.014520,22.3681,336.1
103,1.925144,22.3724,336.1
104,1.987791,22.3724,336.1
105,1.896807,22.3780,336.1
106,1.979430,22.3780,336.1
107,1.879738,22.3824,336.1
108,1.940987,22.3824,336.1
109,1.864910,22.3880,336.1
110,1.934716,22.3880,336.1
111,1.843573,22.3923,336.1
112,1.910091,22.3924,336.1
113,1.818261,22.3979,336.2
114,1.908165,22.3980,336.2
115,1.801632,22.4023,336.2
116,1.864050,22.4024,336.2
117,1.782067,22.4079,336.2
118,1.861581,22.4080,336.2
119,1.762474,22.4123,336.2
120,1.832247,22.4123,336.2
121,1.736778,22.4179,336.2
122,1.824489,22.4180,336.2
123,1.722946,22.4223,336.2
124,1.793173,22.4223,336.2
125,1.705233,22.4279,336.2
126,1.788394,22.4279,336.2
127,1.684690,22.4322,336.2
128,1.759766,22.4323,336.2
129,1.657489,22.4379,336.2
130,1.755960,22.4379,336.2
131,1.641225,22.4428,336.2
132,1.719257,22.4429,336.2
133,1.629053,22.4478,336.3
134,1.713809,22.4479,336.3
135,1.606004,22.4522,336.3
136,1.692874,22.4522,336.3
137,1.582768,22.4578,336.3
