Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,2.992460,22.3449,430.3
2.0,2.974330,22.3449,430.8
3.0,2.964323,22.3449,431.3
4.0,2.956525,22.3449,431.8
5.0,2.951671,22.3449,432.3
6.0,2.947487,22.3449,432.8
7.0,2.943617,22.3449,433.3
8.0,2.941287,22.3449,433.8
9.0,2.937741,22.3448,434.3
10.0,2.935199,22.3448,434.8
11.0,2.932595,22.3448,435.3
12.0,2.930712,22.3448,435.8
13.0,2.928917,22.3448,436.3
14.0,2.926183,22.3448,436.8
15.0,2.925145,22.3448,437.3
16.0,2.923085,22.3448,437.8
17.0,2.920905,22.3448,438.3
18.0,2.919637,22.3448,438.8
19.0,2.918046,22.3448,439.3
20.0,2.917806,22.3448,439.8
21.0,2.915449,22.3448,440.3
22.0,2.914584,22.3448,440.8
23.0,2.913328,22.3448,441.3
24.0,2.912400,22.3448,441.8
25.0,2.912314,22.3448,442.3
26.0,2.909992,22.3448,442.8
27.0,2.909256,22.3448,443.3
28.0,2.908083,22.3448,443.8
29.0,2.908487,22.3448,444.3
30.0,2.908009,22.3448,444.8
31.0,2.907704,22.3448,445.3
32.0,2.906112,22.3448,445.8
33.0,2.906793,22.3448,446.3
34.0,2.906188,22.3448,446.8
35.0,2.905134,22.3448,447.3
36.0,2.904764,22.3448,447.8
37.0,2.904092,22.3448,448.3
38.0,2.903608,22.3448,448.8
39.0,2.903042,22.3448,449.3
40.0,2.903021,22.3448,449.8
