Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,3.222328,21.2107,3628
2.0,3.209977,21.2107,3629
3.0,3.199730,21.2107,3629
4.0,3.191600,21.2106,3630
5.0,3.185508,21.2106,3630
6.0,3.181062,21.2106,3631
7.0,3.176529,21.2106,3631
8.0,3.172435,21.2106,3632
9.0,3.168955,21.2106,3632
10.0,3.167479,21.2106,3633
11.0,3.165287,21.2106,3633
12.0,3.163857,21.2106,3634
13.0,3.161913,21.2106,3634
14.0,3.159783,21.2106,3635
15.0,3.158717,21.2106,3635
16.0,3.156097,21.2106,3636
17.0,3.154895,21.2106,3636
18.0,3.153797,21.2106,3637
19.0,3.151711,21.2106,3637
20.0,3.149952,21.2106,3638
21.0,3.149712,21.2106,3638
22.0,3.147561,21.2106,3639
23.0,3.145541,21.2106,3639
24.0,3.143422,21.2106,3640
25.0,3.142752,21.2106,3640
26.0,3.141925,21.2106,3641
27.0,3.140697,21.2106,3641
28.0,3.139938,21.2106,3642
29.0,3.139270,21.2106,3642
30.0,3.138071,21.2106,3643
31.0,3.137677,21.2106,3643
32.0,3.136552,21.2106,3644
33.0,3.135674,21.2106,3644
34.0,3.135436,21.2106,3645
35.0,3.133864,21.2106,3645
36.0,3.133706,21.2106,3646
37.0,3.132810,21.2106,3646
38.0,3.131439,21.2106,3647
39.0,3.130592,21.2106,3647
40.0,3.129668,21.2106,3648
