Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.747321,11.8167,501.1770
2.0,0.735779,11.8167,501.6770
3.0,0.729221,11.8167,502.1770
4.0,0.725472,11.8167,502.6770
5.0,0.722581,11.8167,503.1770
6.0,0.720628,11.8167,503.6770
7.0,0.718239,11.8167,504.1770
8.0,0.716784,11.8167,504.6770
9.0,0.715396,11.8167,505.1770
10.0,0.714240,11.8167,505.6770
11.0,0.713776,11.8167,506.1770
12.0,0.713439,11.8167,506.6770
13.0,0.712619,11.8167,507.1770
14.0,0.711941,11.8167,507.6770
15.0,0.710729,11.8167,508.1770
16.0,0.711220,11.8167,508.6770
17.0,0.710500,11.8167,509.1770
18.0,0.710485,11.8167,509.6770
19.0,0.709436,11.8167,510.1770
20.0,0.709011,11.8167,510.6770
21.0,0.708132,11.8167,511.1770
22.0,0.708398,11.8167,511.6770
23.0,0.707715,11.8167,512.1770
24.0,0.707927,11.8167,512.6770
25.0,0.706815,11.8167,513.1770
26.0,0.707839,11.8167,513.6770
27.0,0.707307,11.8167,514.1770
28.0,0.706160,11.8167,514.6770
29.0,0.706869,11.8167,515.1770
30.0,0.706269,11.8167,515.6770
31.0,0.705961,11.8167,516.1770
32.0,0.706005,11.8167,516.6770
33.0,0.705218,11.8167,517.1770
34.0,0.705159,11.8167,517.6770
35.0,0.704829,11.8167,518.1770
36.0,0.704036,11.8167,518.6770
37.0,0.704154,11.8167,519.1770
38.0,0.704073,11.8167,519.6770
39.0,0.703875,11.8167,520.1770
40.0,0.703323,11.8167,520.6770
