Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.000405,14.9876,322.7220
2.0,-0.000954,14.9375,323.2220
3.0,-0.000792,14.8874,323.7220
4.0,-0.001060,14.8371,324.2220
5.0,-0.001968,14.7870,324.7220
6.0,-0.001156,14.7370,325.2220
7.0,0.000676,14.6868,325.7220
8.0,0.000061,14.6366,326.2220
9.0,0.000681,14.5863,326.7220
10.0,-0.001500,14.5362,327.2220
11.0,0.001333,14.4860,327.7220
12.0,-0.000082,14.4357,328.2220
13.0,-0.000331,14.3854,328.7220
14.0,-0.000504,14.3353,329.2220
15.0,-0.000477,14.2852,329.7220
16.0,0.000914,14.2349,330.2220
17.0,0.001282,14.1846,330.7220
18.0,-0.000643,14.1345,331.2220
19.0,-0.000794,14.0845,331.7220
20.0,-0.001745,14.0343,332.2220
21.0,-0.000149,13.9841,332.7220
22.0,-0.000316,13.9338,333.2220
23.0,-0.000454,13.8840,333.7220
24.0,0.000340,13.8337,334.2220
25.0,-0.001071,13.7836,334.7220
26.0,-0.001368,13.7335,335.2220
27.0,0.001280,13.6834,335.7220
28.0,-0.001334,13.6332,336.2220
29.0,-0.001103,13.5830,336.7220
30.0,-0.001136,13.5326,337.2220
31.0,-0.001044,13.4825,337.7220
32.0,-0.001589,13.4323,338.2220
33.0,-0.000883,13.3821,338.7220
34.0,-0.000984,13.3318,339.2220
35.0,-0.001430,13.2815,339.7220
36.0,-0.000964,13.2314,340.2220
37.0,-0.000249,13.1812,340.7220
38.0,-0.000315,13.1311,341.2220
39.0,-0.000072,13.0808,341.7220
40.0,-0.001421,13.0308,342.2220
41.0,-0.000240,12.9806,342.7220
42.0,-0.000510,12.9305,343.2220
43.0,-0.001100,12.8803,343.7220
44.0,-0.000219,12.8304,344.2220
45.0,0.000203,12.7801,344.7220
46.0,0.000188,12.7301,345.2220
47.0,-0.000952,12.6799,345.7220
48.0,-0.001444,12.6298,346.2220
49.0,-0.001321,12.5796,346.7220
50.0,-0.001367,12.5293,347.2220
51.0,-0.001108,12.4789,347.7220
52.0,-0.001042,12.4288,348.2220
53.0,-0.001357,12.3787,348.7220
54.0,-0.001108,12.3283,349.2220
55.0,0.000970,12.2780,349.7220
56.0,0.009282,12.2279,350.2220
57.0,0.026313,12.1779,350.7220
58.0,0.054431,12.1276,351.2220
59.0,0.099898,12.0775,351.7220
60.0,0.167226,12.0274,352.2220
61.0,0.258303,11.9774,352.7220
62.0,0.370386,11.9274,353.2220
63.0,0.519855,11.8772,353.7220
64.0,0.691936,11.8272,354.2220
65.0,0.853562,11.7774,354.7220
66.0,1.019905,11.7273,355.2220
67.0,1.199527,11.6772,355.7220
68.0,1.392660,11.6270,356.2220
69.0,1.619945,11.5771,356.7220
70.0,1.881491,11.5271,357.2220
71.0,2.193439,11.4769,357.7220
72.0,2.518833,11.4268,358.2220
73.0,2.891814,11.3768,358.7220
74.0,3.280124,11.3270,359.2220
75.0,3.687829,11.2769,359.7220
76.0,4.094983,11.2269,360.2220
77.0,4.550989,11.1770,360.7220
78.0,5.036643,11.1272,361.2220
79.0,5.555114,11.0774,361.7220
