Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,1.117813,12.0932,29.4960
2.0,1.094291,12.0931,29.9960
3.0,1.095193,12.0932,30.4960
4.0,1.079290,12.0931,30.9960
5.0,1.076464,12.0931,31.4960
6.0,1.071293,12.0931,31.9960
7.0,1.071333,12.0931,32.4960
8.0,1.060690,12.0931,32.9960
9.0,1.062361,12.0931,33.4960
10.0,1.064654,12.0931,33.9960
11.0,1.063868,12.0931,34.4960
12.0,1.054734,12.0931,34.9960
13.0,1.054204,12.0931,35.4960
14.0,1.056175,12.0931,35.9960
15.0,1.046127,12.0931,36.4960
16.0,1.051996,12.0931,36.9960
17.0,1.042949,12.0931,37.4960
18.0,1.028742,12.0931,37.9960
19.0,1.029475,12.0931,38.4960
20.0,1.036522,12.0931,38.9960
21.0,1.035785,12.0931,39.4960
22.0,1.038715,12.0931,39.9960
23.0,1.035917,12.0931,40.4960
24.0,1.042304,12.0931,40.9960
25.0,1.047101,12.0931,41.4960
26.0,1.034544,12.0931,41.9960
27.0,1.042331,12.0931,42.4960
28.0,1.045167,12.0931,42.9960
29.0,1.035350,12.0931,43.4960
30.0,1.042264,12.0931,43.9960
31.0,1.040668,12.0931,44.4960
32.0,1.041892,12.0931,44.9960
33.0,1.037299,12.0931,45.4960
34.0,1.047321,12.0931,45.9960
35.0,1.049283,12.0931,46.4960
36.0,1.047942,12.0931,46.9960
37.0,1.046289,12.0931,47.4960
38.0,1.045271,12.0931,47.9960
39.0,1.066663,12.0931,48.4960
40.0,1.062845,12.0931,48.9960
