Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,2.176753,11.7675,437.8770
2.0,2.160419,11.7675,438.3770
3.0,2.152271,11.7675,438.8770
4.0,2.146585,11.7675,439.3770
5.0,2.142270,11.7675,439.8770
6.0,2.139009,11.7675,440.3770
7.0,2.135892,11.7675,440.8770
8.0,2.132514,11.7675,441.3770
9.0,2.130927,11.7675,441.8770
10.0,2.128283,11.7675,442.3770
11.0,2.126386,11.7675,442.8770
12.0,2.124775,11.7675,443.3770
13.0,2.123717,11.7675,443.8770
14.0,2.121294,11.7675,444.3770
15.0,2.121058,11.7675,444.8770
16.0,2.119327,11.7675,445.3770
17.0,2.118281,11.7675,445.8770
18.0,2.117429,11.7675,446.3770
19.0,2.115412,11.7675,446.8770
20.0,2.114485,11.7675,447.3770
21.0,2.113994,11.7675,447.8770
22.0,2.113077,11.7675,448.3770
23.0,2.111941,11.7675,448.8770
24.0,2.110291,11.7675,449.3770
25.0,2.109958,11.7675,449.8770
26.0,2.109153,11.7675,450.3770
27.0,2.109066,11.7675,450.8770
28.0,2.108488,11.7675,451.3770
29.0,2.107630,11.7675,451.8770
30.0,2.105098,11.7675,452.3770
31.0,2.105691,11.7675,452.8770
32.0,2.104744,11.7675,453.3770
33.0,2.103757,11.7675,453.8770
34.0,2.103747,11.7675,454.3770
35.0,2.102649,11.7675,454.8770
36.0,2.101809,11.7675,455.3770
37.0,2.102610,11.7675,455.8770
38.0,2.101674,11.7675,456.3770
39.0,2.101491,11.7675,456.8770
40.0,2.101652,11.7675,457.3770
