Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.322093,13.0196,416.7380
2.0,0.308866,13.0196,417.2380
3.0,0.302619,13.0196,417.7380
4.0,0.298975,13.0196,418.2380
5.0,0.296065,13.0196,418.7380
6.0,0.293696,13.0196,419.2380
7.0,0.291820,13.0196,419.7380
8.0,0.291174,13.0196,420.2380
9.0,0.290564,13.0196,420.7380
10.0,0.289357,13.0196,421.2380
11.0,0.288469,13.0195,421.7380
12.0,0.288109,13.0195,422.2380
13.0,0.287199,13.0195,422.7380
14.0,0.287051,13.0195,423.2380
15.0,0.286734,13.0195,423.7380
16.0,0.286292,13.0195,424.2380
17.0,0.285872,13.0195,424.7380
18.0,0.285201,13.0195,425.2380
19.0,0.284908,13.0195,425.7380
20.0,0.285214,13.0195,426.2380
21.0,0.284957,13.0195,426.7380
22.0,0.284426,13.0195,427.2380
23.0,0.284641,13.0195,427.7380
24.0,0.284287,13.0195,428.2380
25.0,0.283510,13.0195,428.7380
26.0,0.283550,13.0195,429.2380
27.0,0.283528,13.0195,429.7380
28.0,0.283079,13.0195,430.2380
29.0,0.283303,13.0195,430.7380
30.0,0.283183,13.0195,431.2380
31.0,0.283327,13.0195,431.7380
32.0,0.282892,13.0195,432.2380
33.0,0.282678,13.0195,432.7380
34.0,0.282515,13.0195,433.2380
35.0,0.282545,13.0195,433.7380
36.0,0.282056,13.0195,434.2380
37.0,0.282334,13.0195,434.7380
38.0,0.282211,13.0195,435.2380
39.0,0.281966,13.0195,435.7380
40.0,0.282168,13.0195,436.2380
