Point No.,Normal Force [N],Gap [mm],Time [s]
21,-0.048312,16.1062,679.0261
22,-0.047281,16.1112,679.0360
23,-0.047222,16.1162,679.0460
24,-0.047204,16.1209,679.0560
25,-0.047475,16.1256,679.0660
26,-0.045511,16.1306,679.0760
27,-0.047187,16.1359,679.0861
28,-0.047667,16.1409,679.0960
29,-0.048770,16.1456,679.1060
30,-0.049495,16.1506,679.1151
31,-0.051136,16.1531,679.1251
32,-0.050084,16.1587,679.1350
33,-0.048324,16.1637,679.1450
34,-0.046039,16.1687,679.1550
35,-0.046332,16.1731,679.1650
36,-0.045378,16.1781,679.1750
37,-0.045039,16.1831,679.1851
38,-0.046231,16.1881,679.1950
39,-0.047713,16.1931,679.2050
40,-0.046413,16.1981,679.2150
41,-0.046175,16.2037,679.2250
42,-0.048943,16.2087,679.2350
43,-0.051840,16.2137,679.2451
44,-0.047496,16.2187,679.2550
45,-0.047178,16.2231,679.2650
46,-0.047519,16.2281,679.2750
47,-0.049535,16.2331,679.2850
57,-0.047559,16.2831,679.3850
58,-0.045609,16.2881,679.3950
59,-0.046056,16.2931,679.4050
60,-0.045422,16.2987,679.4150
61,-0.046128,16.3037,679.4250
62,-0.045756,16.3081,679.4351
63,-0.047711,16.3131,679.4450
64,-0.045955,16.3181,679.4550
65,-0.046126,16.3231,679.4650
66,-0.046116,16.3281,679.4750
67,-0.045953,16.3331,679.4850
68,-0.044777,16.3381,679.4951
69,-0.044503,16.3437,679.5050
70,-0.046058,16.3487,679.5150
71,-0.048473,16.3537,679.5250
72,-0.047119,16.3587,679.5350
73,-0.046516,16.3631,679.5450
74,-0.045581,16.3681,679.5551
75,-0.047837,16.3731,679.5650
76,-0.045034,16.3781,679.5750
77,-0.046229,16.3831,679.5850
78,-0.046944,16.3887,679.5950
79,-0.048705,16.3937,679.6050
80,-0.046818,16.3987,679.6151
81,-0.047851,16.4031,679.6251
82,-0.047753,16.4081,679.6350
93,-0.044709,16.4631,679.7451
94,-0.045520,16.4681,679.7550
95,-0.048562,16.4731,679.7650
96,-0.046238,16.4781,679.7750
97,-0.045639,16.4837,679.7850
98,-0.045983,16.4887,679.7950
99,-0.047634,16.4931,679.8051
100,-0.045719,16.4981,679.8150
101,-0.047791,16.5031,679.8250
102,-0.048497,16.5081,679.8350
103,-0.048805,16.5131,679.8450
104,-0.046292,16.5181,679.8550
105,-0.045583,16.5231,679.8651
106,-0.048609,16.5287,679.8751
107,-0.050005,16.5337,679.8850
108,-0.045852,16.5387,679.8950
109,-0.043636,16.5431,679.9050
110,-0.044064,16.5481,679.9150
111,-0.048106,16.5531,679.9250
112,-0.047115,16.5581,679.9351
113,-0.045562,16.5631,679.9450
114,-0.045268,16.5681,679.9550
115,-0.046687,16.5737,679.9650
116,-0.045677,16.5787,679.9750
117,-0.044926,16.5831,679.9850
118,-0.046000,16.5881,679.9951
119,-0.048031,16.5931,680.0050
129,-0.045904,16.6431,680.1050
130,-0.041709,16.6481,680.1151
131,-0.042046,16.6531,680.1251
132,-0.044676,16.6581,680.1350
133,-0.047365,16.6631,680.1450
134,-0.045852,16.6687,680.1550
135,-0.047012,16.6731,680.1650
136,-0.046102,16.6781,680.1750
137,-0.045623,16.6831,680.1851
138,-0.042326,16.6881,680.1950
139,-0.045387,16.6931,680.2050
140,-0.045254,16.6981,680.2150
141,-0.043542,16.7031,680.2250
142,-0.045076,16.7081,680.2350
143,-0.048391,16.7137,680.2451
144,-0.044896,16.7187,680.2550
145,-0.043816,16.7231,680.2650
146,-0.044403,16.7281,680.2750
147,-0.046949,16.7331,680.2850
148,-0.043018,16.7381,680.2950
149,-0.042796,16.7431,680.3051
150,-0.045476,16.7481,680.3150
151,-0.047028,16.7531,680.3250
152,-0.044325,16.7581,680.3350
153,-0.045520,16.7631,680.3450
154,-0.046350,16.7687,680.3550
165,-0.046035,16.8231,680.4650
166,-0.043856,16.8281,680.4750
167,-0.046084,16.8331,680.4850
168,-0.044763,16.8381,680.4951
169,-0.042387,16.8431,680.5050
170,-0.044026,16.8481,680.5150
171,-0.047620,16.8531,680.5250
172,-0.044681,16.8581,680.5350
173,-0.043711,16.8631,680.5450
174,-0.041337,16.8681,680.5551
175,-0.041782,16.8731,680.5650
176,-0.042310,16.8781,680.5750
177,-0.043329,16.8831,680.5850
178,-0.043538,16.8875,680.5950
179,-0.045153,16.8925,680.6050
180,-0.043446,16.8981,680.6151
