Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,5.236368,11.9650,709.4070
2.0,5.188078,11.9649,709.9070
3.0,5.153930,11.9649,710.4070
4.0,5.135330,11.9649,710.9070
5.0,5.116526,11.9649,711.4070
6.0,5.102276,11.9649,711.9070
7.0,5.092798,11.9649,712.4070
8.0,5.083992,11.9649,712.9070
9.0,5.074349,11.9649,713.4070
10.0,5.065005,11.9649,713.9070
11.0,5.057446,11.9649,714.4070
12.0,5.050169,11.9648,714.9070
13.0,5.045010,11.9648,715.4070
14.0,5.040337,11.9648,715.9070
15.0,5.036066,11.9648,716.4070
16.0,5.033408,11.9648,716.9070
17.0,5.029472,11.9648,717.4070
18.0,5.025317,11.9648,717.9070
19.0,5.021779,11.9648,718.4070
20.0,5.018311,11.9648,718.9070
21.0,5.014354,11.9648,719.4070
22.0,5.011325,11.9648,719.9070
23.0,5.007689,11.9648,720.4070
24.0,5.005340,11.9648,720.9070
25.0,5.002271,11.9648,721.4070
26.0,4.999150,11.9648,721.9070
27.0,4.997031,11.9648,722.4070
28.0,4.993588,11.9648,722.9070
29.0,4.992568,11.9648,723.4070
30.0,4.990530,11.9648,723.9070
31.0,4.988712,11.9648,724.4070
32.0,4.986578,11.9648,724.9070
33.0,4.985168,11.9648,725.4070
34.0,4.984489,11.9648,725.9070
35.0,4.982349,11.9648,726.4070
36.0,4.981374,11.9648,726.9070
37.0,4.979733,11.9648,727.4070
38.0,4.978859,11.9648,727.9070
39.0,4.976373,11.9648,728.4070
40.0,4.975603,11.9648,728.9070
