Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.006811,15.1314,421.9060
2.0,0.004913,15.0815,422.4060
3.0,0.004461,15.0313,422.9060
4.0,0.003684,14.9812,423.4060
5.0,0.004796,14.9311,423.9060
6.0,0.004477,14.8810,424.4060
7.0,0.005280,14.8309,424.9060
8.0,0.004370,14.7807,425.4060
9.0,0.005314,14.7306,425.9060
10.0,0.004201,14.6805,426.4060
11.0,0.005588,14.6303,426.9060
12.0,0.005391,14.5800,427.4060
13.0,0.005381,14.5298,427.9060
14.0,0.005686,14.4797,428.4060
15.0,0.005127,14.4295,428.9060
16.0,0.004944,14.3791,429.4060
17.0,0.005368,14.3289,429.9060
18.0,0.005781,14.2788,430.4060
19.0,0.005723,14.2286,430.9060
20.0,0.005232,14.1784,431.4060
21.0,0.005409,14.1281,431.9060
22.0,0.005049,14.0780,432.4060
23.0,0.005615,14.0280,432.9060
24.0,0.005244,13.9777,433.4060
25.0,0.005548,13.9277,433.9060
26.0,0.005482,13.8775,434.4060
27.0,0.005211,13.8275,434.9060
28.0,0.004612,13.7773,435.4060
29.0,0.005733,13.7272,435.9060
30.0,0.003975,13.6769,436.4060
31.0,0.004770,13.6270,436.9060
32.0,0.004622,13.5767,437.4060
33.0,0.004519,13.5265,437.9060
34.0,0.004452,13.4762,438.4060
35.0,0.004911,13.4260,438.9060
36.0,0.005234,13.3758,439.4060
37.0,0.005177,13.3256,439.9060
38.0,0.005092,13.2752,440.4060
39.0,0.003596,13.2252,440.9060
40.0,0.004585,13.1750,441.4060
41.0,0.004397,13.1248,441.9060
42.0,0.005970,13.0745,442.4060
43.0,0.004474,13.0244,442.9060
44.0,0.004412,12.9744,443.4060
45.0,0.004227,12.9243,443.9060
46.0,0.005165,12.8741,444.4060
47.0,0.004202,12.8239,444.9060
48.0,0.004426,12.7739,445.4060
49.0,0.004153,12.7238,445.9060
50.0,0.003337,12.6736,446.4060
51.0,0.004761,12.6233,446.9060
52.0,0.003581,12.5733,447.4060
53.0,0.003740,12.5231,447.9060
54.0,0.004181,12.4727,448.4060
55.0,0.004994,12.4225,448.9060
56.0,0.004326,12.3723,449.4060
57.0,0.004318,12.3221,449.9060
58.0,0.007122,12.2719,450.4060
59.0,0.015906,12.2216,450.9060
60.0,0.046285,12.1715,451.4060
61.0,0.082597,12.1214,451.9060
62.0,0.119590,12.0713,452.4060
63.0,0.191313,12.0212,452.9060
64.0,0.287280,11.9710,453.4060
65.0,0.400207,11.9211,453.9060
66.0,0.555157,11.8710,454.4060
67.0,0.710448,11.8209,454.9060
68.0,0.863060,11.7709,455.4060
69.0,1.028499,11.7209,455.9060
70.0,1.209781,11.6709,456.4060
71.0,1.408646,11.6207,456.9060
72.0,1.655922,11.5707,457.4060
73.0,1.949979,11.5207,457.9060
74.0,2.262313,11.4707,458.4060
75.0,2.608629,11.4206,458.9060
76.0,2.975808,11.3706,459.4060
77.0,3.361655,11.3207,459.9060
78.0,3.765375,11.2707,460.4060
