Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.000528,15.9677,1765.7750
2.0,-0.000668,15.9176,1766.2750
3.0,-0.001177,15.8674,1766.7750
4.0,-0.001034,15.8172,1767.2750
5.0,-0.000891,15.7673,1767.7750
6.0,0.001458,15.7171,1768.2750
7.0,-0.000419,15.6669,1768.7750
8.0,-0.001513,15.6166,1769.2750
9.0,-0.003700,15.5666,1769.7750
10.0,0.000688,15.5164,1770.2750
11.0,-0.002751,15.4661,1770.7750
12.0,-0.002386,15.4157,1771.2750
13.0,-0.002216,15.3656,1771.7750
14.0,-0.000661,15.3154,1772.2750
15.0,-0.001015,15.2652,1772.7750
16.0,-0.003272,15.2150,1773.2750
17.0,-0.003192,15.1649,1773.7750
18.0,-0.002408,15.1146,1774.2750
19.0,-0.002992,15.0645,1774.7750
20.0,-0.002543,15.0143,1775.2750
21.0,-0.003741,14.9642,1775.7750
22.0,-0.004753,14.9141,1776.2750
23.0,-0.004630,14.8640,1776.7750
24.0,-0.002281,14.8139,1777.2750
25.0,-0.005281,14.7637,1777.7750
26.0,-0.003661,14.7136,1778.2750
27.0,-0.003738,14.6635,1778.7750
28.0,-0.006150,14.6132,1779.2750
29.0,-0.004003,14.5630,1779.7750
30.0,-0.005359,14.5129,1780.2750
31.0,-0.003564,14.4627,1780.7750
32.0,-0.005201,14.4123,1781.2750
33.0,-0.006155,14.3621,1781.7750
34.0,-0.005309,14.3121,1782.2750
35.0,-0.005655,14.2617,1782.7750
36.0,-0.008013,14.2115,1783.2750
37.0,-0.006038,14.1614,1783.7750
38.0,-0.006186,14.1113,1784.2750
39.0,-0.003698,14.0611,1784.7750
40.0,-0.003892,14.0110,1785.2750
41.0,-0.005877,13.9608,1785.7750
42.0,-0.005288,13.9107,1786.2750
43.0,-0.006962,13.8606,1786.7750
44.0,-0.008073,13.8105,1787.2750
45.0,-0.008131,13.7603,1787.7750
46.0,-0.009938,13.7101,1788.2750
47.0,-0.009582,13.6602,1788.7750
48.0,-0.010255,13.6099,1789.2750
49.0,-0.013913,13.5596,1789.7750
50.0,-0.013813,13.5093,1790.2750
51.0,-0.003483,13.4593,1790.7750
52.0,0.032012,13.4090,1791.2750
53.0,0.081301,13.3587,1791.7750
54.0,0.146941,13.3086,1792.2750
55.0,0.210861,13.2586,1792.7750
56.0,0.271035,13.2083,1793.2750
57.0,0.326004,13.1581,1793.7750
58.0,0.373438,13.1079,1794.2750
59.0,0.413729,13.0579,1794.7750
60.0,0.477784,13.0079,1795.2750
61.0,0.562963,12.9577,1795.7750
62.0,0.676309,12.9076,1796.2750
63.0,0.806824,12.8576,1796.7750
64.0,0.953859,12.8076,1797.2750
65.0,1.114979,12.7576,1797.7750
66.0,1.278107,12.7075,1798.2750
67.0,1.448560,12.6573,1798.7750
68.0,1.634243,12.6074,1799.2751
69.0,1.825818,12.5573,1799.7751
70.0,2.028045,12.5071,1800.2751
71.0,2.231061,12.4570,1800.7751
72.0,2.435483,12.4070,1801.2751
73.0,2.670405,12.3568,1801.7751
74.0,2.923711,12.3068,1802.2751
75.0,3.194858,12.2567,1802.7751
76.0,3.490618,12.2068,1803.2751
77.0,3.806396,12.1568,1803.7751
