Data stamp = , 12-04-2022 01:50:09 370

Calibration Values: 
Slope = , 26.54  , g/V
Offset Voltage at no contact = , -0.501760 , V 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,3.4668 ,3.29996 ,0.55197 ,5.41595 
2 ,6.7937 ,3.09993 ,0.54513 ,5.34879 
3 ,10.0886 ,2.89989 ,0.54171 ,5.31522 
4 ,13.4074 ,2.69986 ,0.54171 ,5.31522 
5 ,16.7003 ,2.49983 ,0.53144 ,5.21448 
6 ,19.9935 ,2.29979 ,0.52459 ,5.14732 
7 ,23.2963 ,2.09976 ,0.53828 ,5.28164 
8 ,26.5962 ,1.89972 ,0.52459 ,5.14732 
9 ,29.9204 ,1.69969 ,0.53144 ,5.21448 
10 ,33.2339 ,1.49965 ,0.63410 ,6.22183 
11 ,35.5530 ,1.39963 ,0.94894 ,9.31103 
12 ,37.2641 ,1.34961 ,1.11321 ,10.92279 
13 ,38.9784 ,1.29959 ,1.25352 ,12.29950 
14 ,40.6976 ,1.24956 ,1.36645 ,13.40759 
15 ,42.4839 ,1.19954 ,1.42805 ,14.01199 
16 ,44.2188 ,1.14955 ,1.54098 ,15.12008 
17 ,45.9598 ,1.09952 ,1.76000 ,17.26909 
18 ,47.6870 ,1.04950 ,2.08510 ,20.45903 
19 ,49.4097 ,0.99948 ,2.39652 ,23.51465 
20 ,51.1349 ,0.94945 ,2.73189 ,26.80533 
21 ,52.8783 ,0.89943 ,2.94407 ,28.88718 
22 ,54.6093 ,0.84941 ,3.30682 ,32.44648 
23 ,56.3249 ,0.79938 ,3.67641 ,36.07294 
24 ,58.0926 ,0.74936 ,4.00494 ,39.29646 
25 ,59.8081 ,0.69934 ,4.39164 ,43.09080 
26 ,61.5324 ,0.64931 ,4.72359 ,46.34790 
27 ,63.2462 ,0.59929 ,5.14794 ,50.51161 

Plateau measurements: 

No , Time , Stage Position ,   Mass , Force 
   ,  (s) ,      (mm)      ,   (g)  , (mN)  

1 ,0.02 ,0.5993 ,5.127 ,50.3 
2 ,0.40 ,0.5993 ,5.121 ,50.2 
3 ,0.76 ,0.5993 ,5.114 ,50.2 
4 ,1.14 ,0.5993 ,5.107 ,50.1 
5 ,1.50 ,0.5993 ,5.127 ,50.3 
6 ,1.90 ,0.5993 ,5.103 ,50.1 
7 ,2.29 ,0.5993 ,5.110 ,50.1 
8 ,2.66 ,0.5993 ,5.114 ,50.2 
9 ,3.02 ,0.5993 ,5.114 ,50.2 
10 ,3.41 ,0.5993 ,5.103 ,50.1 
11 ,3.79 ,0.5993 ,5.090 ,49.9 
12 ,4.16 ,0.5993 ,5.103 ,50.1 
13 ,4.53 ,0.5993 ,5.079 ,49.8 
14 ,4.92 ,0.5993 ,5.103 ,50.1 
15 ,5.28 ,0.5993 ,5.097 ,50.0 
16 ,5.65 ,0.5993 ,5.093 ,50.0 
17 ,6.04 ,0.5993 ,5.097 ,50.0 
18 ,6.40 ,0.5993 ,5.097 ,50.0 
19 ,6.79 ,0.5993 ,5.090 ,49.9 
20 ,7.19 ,0.5993 ,5.086 ,49.9 
21 ,7.57 ,0.5993 ,5.090 ,49.9 
22 ,7.96 ,0.5993 ,5.097 ,50.0 
23 ,8.32 ,0.5993 ,5.093 ,50.0 
24 ,8.71 ,0.5993 ,5.086 ,49.9 
25 ,9.09 ,0.5993 ,5.086 ,49.9 
26 ,9.48 ,0.5993 ,5.090 ,49.9 
27 ,9.87 ,0.5993 ,5.079 ,49.8 
28 ,10.28 ,0.5993 ,5.090 ,49.9 
29 ,10.64 ,0.5993 ,5.086 ,49.9 
30 ,11.02 ,0.5993 ,5.093 ,50.0 
31 ,11.39 ,0.5993 ,5.083 ,49.9 
32 ,11.81 ,0.5993 ,5.083 ,49.9 
33 ,12.18 ,0.5993 ,5.100 ,50.0 
34 ,12.55 ,0.5993 ,5.066 ,49.7 
35 ,12.94 ,0.5993 ,5.086 ,49.9 
36 ,13.33 ,0.5993 ,5.076 ,49.8 
37 ,13.72 ,0.5993 ,5.093 ,50.0 
38 ,14.10 ,0.5993 ,5.066 ,49.7 
39 ,14.48 ,0.5993 ,5.073 ,49.8 
40 ,14.88 ,0.5993 ,5.076 ,49.8 
41 ,15.27 ,0.5993 ,5.079 ,49.8 
42 ,15.64 ,0.5993 ,5.079 ,49.8 
43 ,16.06 ,0.5993 ,5.079 ,49.8 
44 ,16.42 ,0.5993 ,5.073 ,49.8 
45 ,16.81 ,0.5993 ,5.079 ,49.8 
46 ,17.21 ,0.5993 ,5.056 ,49.6 
47 ,17.57 ,0.5993 ,5.069 ,49.7 
48 ,17.96 ,0.5993 ,5.076 ,49.8 
49 ,18.33 ,0.5993 ,5.059 ,49.6 
50 ,18.69 ,0.5993 ,5.086 ,49.9 
51 ,19.07 ,0.5993 ,5.079 ,49.8 
52 ,19.44 ,0.5993 ,5.076 ,49.8 
53 ,19.82 ,0.5993 ,5.090 ,49.9 
54 ,20.18 ,0.5993 ,5.062 ,49.7 
55 ,20.55 ,0.5993 ,5.079 ,49.8 
56 ,20.93 ,0.5993 ,5.076 ,49.8 
57 ,21.32 ,0.5993 ,5.079 ,49.8 
58 ,21.69 ,0.5993 ,5.083 ,49.9 
59 ,22.06 ,0.5993 ,5.083 ,49.9 
60 ,22.45 ,0.5993 ,5.073 ,49.8 
61 ,22.84 ,0.5993 ,5.066 ,49.7 
62 ,23.23 ,0.5993 ,5.045 ,49.5 
63 ,23.60 ,0.5993 ,5.066 ,49.7 
64 ,23.96 ,0.5993 ,5.079 ,49.8 
65 ,24.34 ,0.5993 ,5.066 ,49.7 
66 ,24.72 ,0.5993 ,5.073 ,49.8 
67 ,25.10 ,0.5993 ,5.069 ,49.7 
68 ,25.49 ,0.5993 ,5.052 ,49.6 
69 ,25.85 ,0.5993 ,5.052 ,49.6 
70 ,26.23 ,0.5993 ,5.069 ,49.7 
71 ,26.61 ,0.5993 ,5.066 ,49.7 
72 ,26.97 ,0.5993 ,5.076 ,49.8 
73 ,27.35 ,0.5993 ,5.059 ,49.6 
74 ,27.74 ,0.5993 ,5.086 ,49.9 
75 ,28.13 ,0.5993 ,5.056 ,49.6 
76 ,28.51 ,0.5993 ,5.056 ,49.6 
77 ,28.89 ,0.5993 ,5.059 ,49.6 
78 ,29.25 ,0.5993 ,5.052 ,49.6 
79 ,29.65 ,0.5993 ,5.056 ,49.6 
80 ,30.03 ,0.5993 ,5.076 ,49.8 
81 ,30.44 ,0.5993 ,5.062 ,49.7 
82 ,30.82 ,0.5993 ,5.059 ,49.6 
83 ,31.20 ,0.5993 ,5.062 ,49.7 
84 ,31.56 ,0.5993 ,5.038 ,49.4 
85 ,31.94 ,0.5993 ,5.059 ,49.6 
86 ,32.33 ,0.5993 ,5.059 ,49.6 
87 ,32.71 ,0.5993 ,5.052 ,49.6 
88 ,33.11 ,0.5993 ,5.056 ,49.6 
89 ,33.48 ,0.5993 ,5.049 ,49.5 
90 ,33.87 ,0.5993 ,5.052 ,49.6 
91 ,34.25 ,0.5993 ,5.066 ,49.7 
92 ,34.66 ,0.5993 ,5.066 ,49.7 
93 ,35.04 ,0.5993 ,5.056 ,49.6 
94 ,35.40 ,0.5993 ,5.059 ,49.6 
95 ,35.78 ,0.5993 ,5.049 ,49.5 
96 ,36.18 ,0.5993 ,5.066 ,49.7 
97 ,36.54 ,0.5993 ,5.042 ,49.5 
98 ,36.91 ,0.5993 ,5.062 ,49.7 
99 ,37.29 ,0.5993 ,5.066 ,49.7 
100 ,37.66 ,0.5993 ,5.042 ,49.5 
