Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,9.998504,9.9090,626.5350
2.0,9.908676,9.9090,627.0350
3.0,9.863364,9.9089,627.5350
4.0,9.828097,9.9089,628.0350
5.0,9.797308,9.9089,628.5350
6.0,9.775772,9.9089,629.0350
7.0,9.760522,9.9089,629.5350
8.0,9.742351,9.9089,630.0350
9.0,9.728844,9.9089,630.5350
10.0,9.718585,9.9089,631.0350
11.0,9.707655,9.9089,631.5350
12.0,9.695114,9.9089,632.0350
13.0,9.684442,9.9088,632.5350
14.0,9.676626,9.9088,633.0350
15.0,9.671176,9.9088,633.5350
16.0,9.666494,9.9088,634.0350
17.0,9.660926,9.9088,634.5350
18.0,9.655847,9.9088,635.0350
19.0,9.650406,9.9088,635.5350
20.0,9.644098,9.9088,636.0350
21.0,9.639632,9.9088,636.5350
22.0,9.634624,9.9088,637.0350
23.0,9.629056,9.9088,637.5350
24.0,9.624254,9.9088,638.0350
25.0,9.621658,9.9088,638.5350
26.0,9.619399,9.9088,639.0350
27.0,9.616027,9.9088,639.5350
28.0,9.612684,9.9088,640.0350
29.0,9.610234,9.9088,640.5350
30.0,9.607822,9.9088,641.0350
31.0,9.605547,9.9088,641.5350
32.0,9.601667,9.9088,642.0350
33.0,9.598969,9.9088,642.5350
34.0,9.596056,9.9088,643.0350
35.0,9.592567,9.9088,643.5350
36.0,9.589285,9.9088,644.0350
37.0,9.585551,9.9088,644.5350
38.0,9.581635,9.9088,645.0350
39.0,9.579560,9.9088,645.5350
40.0,9.578160,9.9088,646.0350
