Point No.,Normal Force [N],Gap [mm],Time [s]
1,0.638022,11.8160,227.3360
2,0.638031,11.8160,227.3410
3,0.638887,11.8160,227.3460
4,0.639130,11.8160,227.3510
5,0.639130,11.8160,227.3560
6,0.638896,11.8160,227.3610
7,0.637737,11.8166,227.3660
8,0.636844,11.8166,227.3710
9,0.635296,11.8166,227.3750
10,0.629011,11.8185,227.3800
11,0.624751,11.8185,227.3850
12,0.619612,11.8216,227.3900
13,0.614552,11.8216,227.3950
14,0.600720,11.8266,227.4000
15,0.595740,11.8266,227.4050
16,0.577601,11.8310,227.4110
17,0.562876,11.8366,227.4160
18,0.546210,11.8366,227.4210
19,0.534262,11.8409,227.4260
20,0.520019,11.8409,227.4310
21,0.504124,11.8459,227.4360
22,0.489418,11.8459,227.4410
23,0.479579,11.8459,227.4460
24,0.467024,11.8509,227.4510
25,0.455413,11.8509,227.4560
26,0.440884,11.8565,227.4610
27,0.431784,11.8609,227.4660
28,0.419210,11.8609,227.4710
29,0.408585,11.8659,227.4760
30,0.396296,11.8659,227.4800
31,0.391910,11.8659,227.4850
32,0.374043,11.8708,227.4900
33,0.369408,11.8708,227.4950
34,0.353809,11.8765,227.5000
35,0.351279,11.8765,227.5050
36,0.337793,11.8808,227.5100
37,0.334047,11.8808,227.5150
38,0.318953,11.8858,227.5200
39,0.316446,11.8858,227.5250
40,0.300318,11.8908,227.5300
41,0.296007,11.8908,227.5350
42,0.280267,11.8964,227.5400
43,0.278232,11.8964,227.5450
44,0.262722,11.9008,227.5500
45,0.258265,11.9008,227.5550
46,0.241132,11.9058,227.5600
47,0.236946,11.9058,227.5650
48,0.221866,11.9108,227.5700
49,0.218672,11.9108,227.5750
50,0.203867,11.9164,227.5800
51,0.202048,11.9164,227.5850
52,0.188815,11.9207,227.5900
53,0.185817,11.9207,227.5950
54,0.170180,11.9257,227.6000
55,0.167271,11.9257,227.6050
56,0.151999,11.9307,227.6100
57,0.148562,11.9307,227.6150
58,0.136558,11.9363,227.6200
59,0.137475,11.9363,227.6250
60,0.125144,11.9407,227.6300
61,0.122310,11.9407,227.6350
62,0.108960,11.9457,227.6400
63,0.108394,11.9457,227.6450
64,0.099762,11.9507,227.6500
65,0.098939,11.9507,227.6550
66,0.088235,11.9563,227.6600
67,0.088310,11.9563,227.6650
68,0.075609,11.9607,227.6700
69,0.073561,11.9607,227.6750
70,0.062427,11.9657,227.6800
71,0.062955,11.9657,227.6850
72,0.055057,11.9707,227.6900
73,0.055160,11.9707,227.6950
74,0.046434,11.9763,227.7000
75,0.047136,11.9763,227.7050
76,0.038789,11.9806,227.7100
77,0.037578,11.9806,227.7150
78,0.028384,11.9856,227.7200
79,0.028529,11.9856,227.7250
80,0.022011,11.9906,227.7300
81,0.021520,11.9906,227.7350
82,0.010634,11.9963,227.7400
83,0.011475,11.9963,227.7450
84,-0.000580,12.0006,227.7500
85,-0.003381,12.0006,227.7550
86,-0.010274,12.0056,227.7600
87,-0.008094,12.0056,227.7650
88,-0.016100,12.0106,227.7700
89,-0.016091,12.0106,227.7750
90,-0.025013,12.0156,227.7800
91,-0.024307,12.0156,227.7850
92,-0.031676,12.0206,227.7900
93,-0.031410,12.0206,227.7950
94,-0.039299,12.0256,227.8000
95,-0.039359,12.0256,227.8050
96,-0.046883,12.0306,227.8100
97,-0.046079,12.0306,227.8150
98,-0.053795,12.0356,227.8200
99,-0.052200,12.0356,227.8250
100,-0.058017,12.0406,227.8300
101,-0.056820,12.0406,227.8350
102,-0.065064,12.0456,227.8400
103,-0.066851,12.0456,227.8450
104,-0.074711,12.0506,227.8500
105,-0.075137,12.0506,227.8550
106,-0.082665,12.0556,227.8600
107,-0.083573,12.0556,227.8650
108,-0.091681,12.0606,227.8700
109,-0.092050,12.0606,227.8750
110,-0.098695,12.0656,227.8800
111,-0.097433,12.0656,227.8850
112,-0.103040,12.0699,227.8900
113,-0.102053,12.0699,227.8950
114,-0.108029,12.0756,227.9000
115,-0.105130,12.0756,227.9050
116,-0.109577,12.0806,227.9100
117,-0.107823,12.0806,227.9150
118,-0.114314,12.0856,227.9200
119,-0.112088,12.0856,227.9250
120,-0.116614,12.0906,227.9300
121,-0.115099,12.0906,227.9350
122,-0.120996,12.0956,227.9400
123,-0.118555,12.0956,227.9450
124,-0.123315,12.1006,227.9500
125,-0.121772,12.1006,227.9550
126,-0.127725,12.1056,227.9600
127,-0.130026,12.1055,227.9650
128,-0.141431,12.1099,227.9700
129,-0.140056,12.1099,227.9750
130,-0.142460,12.1155,227.9800
131,-0.139827,12.1155,227.9850
132,-0.145265,12.1205,227.9900
133,-0.142633,12.1205,227.9950
134,-0.146416,12.1255,228.0000
135,-0.145406,12.1255,228.0050
136,-0.150283,12.1299,228.0100
137,-0.149914,12.1299,228.0150
138,-0.154576,12.1355,228.0200
139,-0.152481,12.1355,228.0250
140,-0.155464,12.1405,228.0300
141,-0.153968,12.1405,228.0350
142,-0.156610,12.1455,228.0400
143,-0.153711,12.1455,228.0450
144,-0.156325,12.1499,228.0500
145,-0.154786,12.1499,228.0550
146,-0.158382,12.1555,228.0600
147,-0.156007,12.1555,228.0650
148,-0.158836,12.1605,228.0700
149,-0.157550,12.1605,228.0750
150,-0.164690,12.1655,228.0800
151,-0.163675,12.1655,228.0850
152,-0.167332,12.1699,228.0900
153,-0.166556,12.1699,228.0950
154,-0.171499,12.1755,228.1000
155,-0.168969,12.1755,228.1050
156,-0.172280,12.1805,228.1100
157,-0.173322,12.1805,228.1150
158,-0.182852,12.1855,228.1200
159,-0.181777,12.1855,228.1250
160,-0.183942,12.1905,228.1300
161,-0.184555,12.1905,228.1350
162,-0.190423,12.1955,228.1400
