Point No.,Normal Force [N],Gap [mm],Time [s]
1,2.114351,11.7669,161.0230
2,2.113500,11.7669,161.0280
3,2.113959,11.7669,161.0330
4,2.114969,11.7669,161.0380
5,2.115090,11.7669,161.0430
6,2.113514,11.7669,161.0480
7,2.112696,11.7669,161.0530
8,2.111864,11.7675,161.0580
9,2.110644,11.7675,161.0620
10,2.106056,11.7700,161.0670
11,2.100066,11.7700,161.0720
12,2.093805,11.7725,161.0770
13,2.079481,11.7725,161.0820
14,2.067024,11.7775,161.0870
15,2.051513,11.7775,161.0920
16,2.032131,11.7824,161.0980
17,2.019299,11.7824,161.1030
18,1.999200,11.7874,161.1080
19,1.987964,11.7874,161.1130
20,1.966832,11.7918,161.1180
21,1.953940,11.7918,161.1230
22,1.931461,11.7974,161.1280
23,1.919888,11.7974,161.1330
24,1.896741,11.8017,161.1380
25,1.882979,11.8017,161.1430
26,1.860678,11.8073,161.1480
27,1.850465,11.8073,161.1530
28,1.829385,11.8117,161.1580
29,1.817910,11.8117,161.1630
30,1.799346,11.8173,161.1670
31,1.784078,11.8173,161.1720
32,1.766701,11.8217,161.1770
33,1.751560,11.8217,161.1820
34,1.734749,11.8273,161.1870
35,1.721660,11.8273,161.1920
36,1.704648,11.8316,161.1970
37,1.688810,11.8316,161.2020
38,1.670479,11.8372,161.2070
39,1.658471,11.8372,161.2120
40,1.641468,11.8416,161.2170
41,1.625181,11.8416,161.2220
42,1.604489,11.8472,161.2270
43,1.591012,11.8472,161.2320
44,1.572827,11.8516,161.2370
45,1.558766,11.8515,161.2420
46,1.540837,11.8572,161.2470
47,1.530395,11.8572,161.2520
48,1.513804,11.8615,161.2570
49,1.500070,11.8615,161.2620
50,1.482104,11.8671,161.2670
51,1.469432,11.8671,161.2720
52,1.450839,11.8715,161.2770
53,1.437410,11.8715,161.2820
54,1.419355,11.8771,161.2870
55,1.408861,11.8771,161.2920
56,1.391410,11.8814,161.2970
57,1.378148,11.8814,161.3020
58,1.360791,11.8871,161.3070
59,1.349296,11.8870,161.3120
60,1.331714,11.8914,161.3170
61,1.318354,11.8914,161.3220
62,1.300262,11.8970,161.3270
63,1.289642,11.8970,161.3320
64,1.272897,11.9014,161.3370
65,1.260533,11.9014,161.3420
66,1.243479,11.9070,161.3470
67,1.233472,11.9070,161.3520
68,1.216624,11.9113,161.3570
69,1.205448,11.9113,161.3620
70,1.189053,11.9170,161.3670
71,1.180243,11.9169,161.3720
72,1.163540,11.9213,161.3770
73,1.151948,11.9213,161.3820
74,1.134697,11.9263,161.3870
75,1.124265,11.9263,161.3920
76,1.106827,11.9313,161.3970
77,1.094571,11.9313,161.4020
78,1.075951,11.9369,161.4070
79,1.066103,11.9369,161.4120
80,1.049222,11.9412,161.4170
81,1.037391,11.9412,161.4220
82,1.020613,11.9462,161.4270
83,1.011064,11.9462,161.4320
84,0.994314,11.9512,161.4370
85,0.983517,11.9512,161.4420
86,0.966074,11.9568,161.4470
87,0.956988,11.9568,161.4520
88,0.940430,11.9612,161.4570
89,0.928768,11.9612,161.4620
90,0.911630,11.9662,161.4670
91,0.901599,11.9662,161.4720
92,0.884980,11.9711,161.4770
93,0.874440,11.9711,161.4820
94,0.857606,11.9768,161.4870
95,0.849282,11.9768,161.4920
96,0.833514,11.9811,161.4970
97,0.821506,11.9811,161.5020
98,0.803839,11.9861,161.5070
99,0.793177,11.9861,161.5120
100,0.777480,11.9911,161.5170
101,0.768062,11.9911,161.5220
102,0.751466,11.9967,161.5270
103,0.742984,11.9967,161.5320
104,0.726603,12.0011,161.5370
105,0.715062,12.0010,161.5420
106,0.698710,12.0060,161.5470
107,0.690054,12.0060,161.5520
108,0.674122,12.0110,161.5570
109,0.662913,12.0110,161.5620
110,0.645724,12.0166,161.5670
111,0.636708,12.0166,161.5720
112,0.621150,12.0210,161.5770
113,0.610035,12.0210,161.5820
114,0.593692,12.0260,161.5870
115,0.583582,12.0260,161.5920
116,0.566168,12.0310,161.5970
117,0.553580,12.0309,161.6020
118,0.535628,12.0366,161.6070
119,0.527384,12.0366,161.6120
120,0.511868,12.0409,161.6170
121,0.500557,12.0409,161.6220
122,0.485336,12.0459,161.6270
123,0.476404,12.0459,161.6320
124,0.461515,12.0509,161.6370
125,0.449923,12.0509,161.6420
126,0.432953,12.0565,161.6470
127,0.424414,12.0565,161.6520
128,0.408964,12.0609,161.6570
129,0.397784,12.0609,161.6620
130,0.381730,12.0658,161.6670
131,0.372635,12.0658,161.6720
132,0.359364,12.0708,161.6770
133,0.351826,12.0708,161.6820
134,0.338560,12.0765,161.6870
135,0.332565,12.0764,161.6920
136,0.320823,12.0808,161.6970
137,0.314389,12.0808,161.7020
138,0.301889,12.0858,161.7070
139,0.295188,12.0858,161.7120
140,0.281894,12.0908,161.7170
141,0.272528,12.0908,161.7220
142,0.257442,12.0964,161.7270
143,0.249778,12.0964,161.7320
144,0.235946,12.1008,161.7370
145,0.227496,12.1008,161.7420
146,0.214786,12.1058,161.7470
147,0.208104,12.1057,161.7520
148,0.193986,12.1107,161.7570
149,0.184695,12.1107,161.7620
150,0.170652,12.1157,161.7670
151,0.164157,12.1157,161.7720
152,0.149254,12.1207,161.7770
153,0.139635,12.1207,161.7820
154,0.126135,12.1257,161.7870
155,0.119369,12.1257,161.7920
156,0.108819,12.1307,161.7970
157,0.102207,12.1307,161.8020
158,0.088698,12.1363,161.8070
159,0.082427,12.1363,161.8120
160,0.070578,12.1407,161.8170
161,0.061777,12.1407,161.8220
162,0.047706,12.1457,161.8270
163,0.040196,12.1457,161.8320
164,0.028903,12.1506,161.8370
165,0.022343,12.1506,161.8420
166,0.011910,12.1556,161.8470
167,0.008754,12.1556,161.8520
168,-0.000510,12.1606,161.8570
169,-0.008183,12.1606,161.8620
170,-0.022810,12.1656,161.8670
171,-0.032485,12.1656,161.8720
172,-0.046154,12.1706,161.8770
173,-0.054618,12.1706,161.8820
174,-0.067725,12.1756,161.8870
175,-0.071957,12.1756,161.8920
176,-0.082623,12.1806,161.8970
177,-0.086266,12.1806,161.9020
178,-0.099458,12.1856,161.9070
179,-0.110966,12.1856,161.9120
180,-0.125677,12.1906,161.9170
181,-0.131742,12.1905,161.9220
182,-0.144232,12.1955,161.9270
183,-0.146860,12.1955,161.9320
184,-0.159556,12.2005,161.9370
185,-0.170816,12.2005,161.9420
