Point No.,Normal Force [N],Gap [mm],Time [s]
1,6.091335,11.9180,129.6950
2,6.091069,11.9180,129.7000
3,6.090892,11.9180,129.7050
4,6.090522,11.9180,129.7100
5,6.089614,11.9180,129.7150
6,6.089204,11.9180,129.7200
7,6.086425,11.9186,129.7250
8,6.080271,11.9186,129.7300
9,6.066051,11.9205,129.7340
10,6.022904,11.9204,129.7390
11,5.970294,11.9241,129.7440
12,5.859387,11.9241,129.7490
13,5.774230,11.9240,129.7540
14,5.620196,11.9289,129.7590
15,5.504653,11.9289,129.7640
16,5.313730,11.9338,129.7700
17,5.114309,11.9386,129.7750
18,4.971695,11.9386,129.7800
19,4.763545,11.9434,129.7850
20,4.627445,11.9434,129.7900
21,4.443957,11.9482,129.7950
22,4.323835,11.9482,129.8000
23,4.158780,11.9525,129.8050
24,4.052336,11.9524,129.8100
25,3.907220,11.9579,129.8150
26,3.805780,11.9579,129.8200
27,3.663699,11.9628,129.8250
28,3.569923,11.9627,129.8300
29,3.444443,11.9677,129.8350
30,3.360281,11.9676,129.8390
31,3.282801,11.9676,129.8440
32,3.167048,11.9719,129.8490
33,3.098209,11.9718,129.8540
34,2.992140,11.9774,129.8590
35,2.928333,11.9774,129.8640
36,2.833996,11.9823,129.8690
37,2.779518,11.9823,129.8740
38,2.694281,11.9872,129.8790
39,2.646088,11.9916,129.8840
40,2.578078,11.9915,129.8890
41,2.543821,11.9971,129.8940
42,2.489970,11.9971,129.8990
43,2.462923,12.0015,129.9040
44,2.420351,12.0014,129.9090
45,2.401305,12.0064,129.9140
46,2.369699,12.0064,129.9190
47,2.357732,12.0114,129.9240
48,2.340907,12.0114,129.9290
49,2.343428,12.0170,129.9340
50,2.345107,12.0170,129.9390
51,2.359584,12.0170,129.9440
52,2.383559,12.0214,129.9490
53,2.411172,12.0214,129.9540
54,2.445410,12.0271,129.9590
55,2.471817,12.0271,129.9640
56,2.495726,12.0315,129.9690
57,2.521146,12.0315,129.9740
58,2.554772,12.0371,129.9790
59,2.585144,12.0415,129.9840
60,2.624728,12.0415,129.9890
61,2.659963,12.0466,129.9940
62,2.699420,12.0466,129.9990
63,2.733576,12.0516,130.0040
64,2.779224,12.0516,130.0090
65,2.818532,12.0573,130.0140
66,2.863634,12.0573,130.0190
67,2.898555,12.0573,130.0240
68,2.931041,12.0617,130.0290
69,2.954319,12.0617,130.0340
70,2.973805,12.0668,130.0390
71,2.994033,12.0668,130.0440
72,3.014234,12.0718,130.0490
73,3.041272,12.0718,130.0540
74,3.067164,12.0774,130.0590
75,3.089521,12.0774,130.0640
76,3.104868,12.0818,130.0690
77,3.118602,12.0818,130.0740
78,3.124419,12.0868,130.0790
79,3.135347,12.0868,130.0840
80,3.135688,12.0919,130.0890
81,3.141295,12.0919,130.0940
82,3.136395,12.0969,130.0990
83,3.143161,12.0969,130.1040
84,3.142829,12.1019,130.1090
85,3.150017,12.1019,130.1140
86,3.148740,12.1069,130.1190
87,3.156806,12.1069,130.1240
88,3.157349,12.1119,130.1290
89,3.165242,12.1119,130.1340
90,3.165649,12.1169,130.1390
91,3.175030,12.1169,130.1440
92,3.173945,12.1219,130.1490
93,3.179201,12.1219,130.1540
94,3.177036,12.1269,130.1590
95,3.182876,12.1269,130.1640
96,3.175071,12.1319,130.1690
97,3.174114,12.1319,130.1740
98,3.157854,12.1375,130.1790
99,3.155843,12.1375,130.1840
100,3.139238,12.1419,130.1890
101,3.134436,12.1419,130.1940
102,3.115371,12.1468,130.1990
103,3.112280,12.1468,130.2040
104,3.099846,12.1518,130.2090
105,3.100365,12.1518,130.2140
106,3.090526,12.1568,130.2190
107,3.094085,12.1568,130.2240
108,3.084625,12.1618,130.2290
109,3.082539,12.1618,130.2340
110,3.064807,12.1668,130.2390
111,3.060042,12.1668,130.2440
112,3.042376,12.1718,130.2490
113,3.037742,12.1718,130.2540
114,3.022119,12.1774,130.2590
115,3.020093,12.1774,130.2640
116,3.002628,12.1818,130.2690
117,2.995764,12.1818,130.2740
118,2.974221,12.1868,130.2790
119,2.967977,12.1868,130.2840
120,2.947417,12.1917,130.2890
121,2.939617,12.1917,130.2940
122,2.916142,12.1967,130.2990
123,2.909451,12.1967,130.3040
124,2.887996,12.2017,130.3090
125,2.880136,12.2017,130.3140
126,2.857695,12.2067,130.3190
127,2.850428,12.2067,130.3240
128,2.828866,12.2117,130.3290
129,2.820271,12.2117,130.3340
130,2.797737,12.2167,130.3390
131,2.791022,12.2166,130.3440
132,2.771339,12.2216,130.3490
133,2.764564,12.2216,130.3540
134,2.743171,12.2266,130.3590
135,2.736287,12.2266,130.3640
136,2.715137,12.2316,130.3690
137,2.706472,12.2316,130.3740
138,2.684097,12.2366,130.3790
139,2.678424,12.2366,130.3840
140,2.659832,12.2416,130.3890
141,2.652841,12.2416,130.3940
142,2.631985,12.2466,130.3990
143,2.625294,12.2465,130.4040
144,2.605752,12.2515,130.4090
145,2.598177,12.2515,130.4140
146,2.578195,12.2565,130.4190
147,2.572794,12.2565,130.4240
148,2.554001,12.2615,130.4290
149,2.546369,12.2615,130.4340
150,2.525654,12.2671,130.4390
151,2.518476,12.2671,130.4440
152,2.498242,12.2715,130.4490
153,2.490536,12.2715,130.4540
154,2.470667,12.2771,130.4590
155,2.465495,12.2771,130.4640
156,2.448305,12.2814,130.4690
157,2.441609,12.2814,130.4740
158,2.421558,12.2864,130.4790
159,2.414646,12.2864,130.4840
160,2.396100,12.2914,130.4890
161,2.389642,12.2914,130.4940
162,2.371256,12.2964,130.4990
163,2.366477,12.2964,130.5040
164,2.350087,12.3014,130.5090
165,2.343180,12.3014,130.5140
166,2.323830,12.3064,130.5190
167,2.317199,12.3064,130.5240
168,2.298626,12.3114,130.5290
169,2.291682,12.3114,130.5340
170,2.272925,12.3170,130.5390
171,2.267533,12.3170,130.5440
172,2.250662,12.3213,130.5490
173,2.244218,12.3213,130.5540
174,2.226959,12.3263,130.5590
175,2.221829,12.3263,130.5640
176,2.205878,12.3313,130.5690
