Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.204182,11.1975,170.5330
2.0,4.205331,11.1975,170.5380
3.0,4.205822,11.1975,170.5430
4.0,4.205187,11.1975,170.5480
5.0,4.203157,11.1975,170.5530
6.0,4.202778,11.1975,170.5580
7.0,4.202815,11.1981,170.5630
8.0,4.201427,11.1981,170.5680
9.0,4.198883,11.1981,170.5720
10.0,4.192621,11.2000,170.5770
11.0,4.184802,11.2000,170.5820
12.0,4.170250,11.2031,170.5870
13.0,4.158962,11.2031,170.5920
14.0,4.131775,11.2081,170.5970
15.0,4.117826,11.2081,170.6020
16.0,4.084584,11.2137,170.6080
17.0,4.052607,11.2199,170.6130
18.0,4.024887,11.2199,170.6180
19.0,3.988932,11.2255,170.6230
20.0,3.964513,11.2255,170.6280
21.0,3.921310,11.2342,170.6330
22.0,3.888170,11.2342,170.6380
23.0,3.840552,11.2429,170.6430
24.0,3.806809,11.2429,170.6480
25.0,3.750283,11.2528,170.6530
26.0,3.709708,11.2528,170.6580
27.0,3.646949,11.2640,170.6630
28.0,3.603807,11.2640,170.6680
29.0,3.540276,11.2752,170.6730
30.0,3.497396,11.2752,170.6770
31.0,3.451223,11.2752,170.6820
32.0,3.379547,11.2882,170.6870
33.0,3.333944,11.2882,170.6920
34.0,3.256086,11.3032,170.6970
35.0,3.206897,11.3031,170.7020
36.0,3.127094,11.3175,170.7070
37.0,3.073921,11.3174,170.7120
38.0,2.992738,11.3324,170.7170
39.0,2.938887,11.3324,170.7220
40.0,2.855053,11.3486,170.7270
41.0,2.797026,11.3485,170.7320
42.0,2.708502,11.3660,170.7370
43.0,2.650376,11.3659,170.7420
44.0,2.556867,11.3846,170.7470
45.0,2.497405,11.3846,170.7520
46.0,2.402610,11.4039,170.7570
47.0,2.342890,11.4039,170.7620
48.0,2.252182,11.4238,170.7670
49.0,2.194987,11.4238,170.7720
50.0,2.101875,11.4437,170.7770
51.0,2.040889,11.4437,170.7820
52.0,1.941422,11.4636,170.7870
53.0,1.879925,11.4636,170.7920
54.0,1.780089,11.4842,170.7970
55.0,1.717531,11.4841,170.8020
56.0,1.619130,11.5041,170.8070
57.0,1.558167,11.5040,170.8120
58.0,1.460145,11.5234,170.8170
59.0,1.400454,11.5233,170.8220
60.0,1.304129,11.5433,170.8270
61.0,1.245925,11.5432,170.8320
62.0,1.153856,11.5632,170.8370
63.0,1.097335,11.5631,170.8420
64.0,1.005817,11.5831,170.8470
65.0,0.948791,11.5831,170.8520
66.0,0.858695,11.6030,170.8570
67.0,0.804045,11.6030,170.8620
68.0,0.715806,11.6229,170.8670
69.0,0.661160,11.6229,170.8720
70.0,0.575315,11.6428,170.8770
71.0,0.516624,11.6428,170.8820
72.0,0.425298,11.6634,170.8870
73.0,0.370152,11.6633,170.8920
74.0,0.297540,11.6833,170.8970
75.0,0.253313,11.6833,170.9020
76.0,0.188221,11.7026,170.9070
77.0,0.149778,11.7026,170.9120
78.0,0.081160,11.7225,170.9170
79.0,0.036577,11.7225,170.9220
80.0,-0.037040,11.7425,170.9270
81.0,-0.082497,11.7425,170.9320
82.0,-0.155057,11.7624,170.9370
83.0,-0.198588,11.7624,170.9420
84.0,-0.268829,11.7823,170.9470
85.0,-0.311419,11.7823,170.9520
86.0,-0.381019,11.8023,170.9570
87.0,-0.422072,11.8023,170.9620
88.0,-0.488478,11.8216,170.9670
89.0,-0.528688,11.8216,170.9720
90.0,-0.592827,11.8428,170.9770
91.0,-0.631228,11.8428,170.9820
92.0,-0.693360,11.8621,170.9870
93.0,-0.731228,11.8621,170.9920
