Point No.,Normal Force [N],Gap [mm],Time [s]
1,3.949422,11.4536,173.0000
2,3.949222,11.4536,173.0050
3,3.948352,11.4536,173.0100
4,3.947660,11.4536,173.0150
5,3.947281,11.4536,173.0200
6,3.947515,11.4536,173.0250
7,3.947931,11.4536,173.0300
8,3.947749,11.4536,173.0350
9,3.947473,11.4536,173.0390
10,3.944625,11.4536,173.0440
11,3.940926,11.4561,173.0490
12,3.933355,11.4561,173.0540
13,3.926805,11.4586,173.0590
14,3.911363,11.4586,173.0640
15,3.902698,11.4617,173.0690
16,3.889138,11.4617,173.0750
17,3.870517,11.4648,173.0800
18,3.860052,11.4648,173.0850
19,3.845289,11.4673,173.0900
20,3.834683,11.4673,173.0950
21,3.815773,11.4716,173.1000
22,3.807197,11.4716,173.1050
23,3.791167,11.4735,173.1100
24,3.778242,11.4735,173.1150
25,3.764059,11.4766,173.1200
26,3.755408,11.4766,173.1250
27,3.738045,11.4797,173.1300
28,3.727324,11.4797,173.1350
29,3.715693,11.4822,173.1400
30,3.705789,11.4822,173.1440
31,3.695226,11.4859,173.1490
32,3.681950,11.4859,173.1540
33,3.674033,11.4884,173.1590
34,3.656625,11.4884,173.1640
35,3.646322,11.4915,173.1690
36,3.633743,11.4915,173.1740
37,3.622782,11.4946,173.1790
38,3.606622,11.4946,173.1840
39,3.597639,11.4977,173.1890
40,3.586121,11.4977,173.1940
41,3.573547,11.5009,173.1990
42,3.559968,11.5009,173.2040
43,3.553178,11.5033,173.2090
44,3.538729,11.5033,173.2140
45,3.529418,11.5065,173.2190
46,3.517639,11.5065,173.2240
47,3.508492,11.5096,173.2290
48,3.491466,11.5096,173.2340
49,3.484008,11.5127,173.2390
50,3.471850,11.5127,173.2440
51,3.462113,11.5158,173.2490
52,3.449493,11.5158,173.2540
53,3.442819,11.5183,173.2590
54,3.427332,11.5183,173.2640
55,3.416919,11.5214,173.2690
56,3.406159,11.5214,173.2740
57,3.397928,11.5245,173.2790
58,3.383386,11.5245,173.2840
59,3.375029,11.5276,173.2890
60,3.364751,11.5276,173.2940
61,3.352570,11.5314,173.2990
62,3.339906,11.5313,173.3040
63,3.332364,11.5332,173.3090
64,3.317737,11.5332,173.3140
65,3.308960,11.5363,173.3190
66,3.297583,11.5363,173.3240
67,3.289745,11.5394,173.3290
68,3.273182,11.5394,173.3340
69,3.265794,11.5426,173.3390
70,3.256353,11.5425,173.3440
71,3.247529,11.5457,173.3490
72,3.234609,11.5457,173.3540
73,3.228600,11.5482,173.3590
74,3.213285,11.5481,173.3640
75,3.202750,11.5519,173.3690
76,3.191976,11.5519,173.3740
77,3.183938,11.5550,173.3790
78,3.170236,11.5550,173.3840
79,3.162002,11.5575,173.3890
80,3.153177,11.5575,173.3940
81,3.142478,11.5606,173.3990
82,3.128899,11.5606,173.4040
83,3.122259,11.5631,173.4090
84,3.109437,11.5631,173.4140
85,3.099426,11.5662,173.4190
86,3.088071,11.5662,173.4240
87,3.081174,11.5693,173.4290
88,3.065985,11.5693,173.4340
89,3.059490,11.5724,173.4390
90,3.049310,11.5724,173.4440
91,3.040202,11.5755,173.4490
92,3.028239,11.5755,173.4540
93,3.022670,11.5780,173.4590
94,3.009998,11.5780,173.4640
95,3.000692,11.5811,173.4690
96,2.990050,11.5811,173.4740
97,2.982128,11.5843,173.4790
98,2.969007,11.5843,173.4840
99,2.961576,11.5874,173.4890
100,2.953790,11.5874,173.4940
101,2.943386,11.5911,173.4990
102,2.931461,11.5911,173.5040
103,2.924471,11.5930,173.5090
104,2.910209,11.5930,173.5140
105,2.901062,11.5961,173.5190
106,2.889862,11.5961,173.5240
107,2.883862,11.5992,173.5290
108,2.870652,11.5992,173.5340
109,2.863989,11.6023,173.5390
110,2.854534,11.6023,173.5440
111,2.845817,11.6054,173.5490
112,2.833841,11.6054,173.5540
113,2.828291,11.6079,173.5590
114,2.815894,11.6079,173.5640
115,2.806566,11.6117,173.5690
116,2.796124,11.6117,173.5740
117,2.788165,11.6148,173.5790
118,2.774117,11.6148,173.5840
119,2.765213,11.6173,173.5890
120,2.757190,11.6173,173.5940
121,2.748328,11.6204,173.5990
122,2.737798,11.6204,173.6040
123,2.732242,11.6229,173.6090
124,2.719448,11.6229,173.6140
125,2.710217,11.6260,173.6190
126,2.699658,11.6260,173.6240
127,2.693234,11.6291,173.6290
128,2.677886,11.6291,173.6340
129,2.671429,11.6322,173.6390
130,2.661702,11.6322,173.6440
131,2.653098,11.6353,173.6490
132,2.641108,11.6353,173.6540
133,2.635684,11.6378,173.6590
134,2.624503,11.6378,173.6640
135,2.616704,11.6415,173.6690
136,2.607641,11.6415,173.6740
137,2.600875,11.6440,173.6790
138,2.588628,11.6440,173.6840
139,2.580926,11.6471,173.6890
140,2.572196,11.6471,173.6940
141,2.562338,11.6509,173.6990
142,2.551920,11.6509,173.7040
143,2.546309,11.6528,173.7090
144,2.534426,11.6527,173.7140
145,2.526654,11.6559,173.7190
146,2.516072,11.6559,173.7240
147,2.509670,11.6590,173.7290
148,2.494730,11.6590,173.7340
149,2.487791,11.6621,173.7390
150,2.478359,11.6621,173.7440
151,2.470344,11.6652,173.7490
152,2.458480,11.6652,173.7540
153,2.452504,11.6677,173.7590
154,2.440159,11.6677,173.7640
155,2.431148,11.6714,173.7690
156,2.421847,11.6714,173.7740
157,2.414983,11.6745,173.7790
158,2.404321,11.6745,173.7840
159,2.397232,11.6770,173.7890
160,2.388936,11.6770,173.7940
161,2.378962,11.6808,173.7990
162,2.366710,11.6808,173.8040
163,2.360299,11.6826,173.8090
164,2.349483,11.6826,173.8140
165,2.342483,11.6858,173.8190
166,2.333453,11.6858,173.8240
167,2.327351,11.6889,173.8290
168,2.311821,11.6889,173.8340
169,2.305008,11.6920,173.8390
170,2.295043,11.6920,173.8440
171,2.286178,11.6951,173.8490
172,2.274131,11.6951,173.8540
173,2.268763,11.6976,173.8590
174,2.258018,11.6976,173.8640
175,2.249540,11.7007,173.8690
176,2.240828,11.7007,173.8740
177,2.235441,11.7038,173.8790
178,2.226239,11.7038,173.8840
179,2.220389,11.7069,173.8890
180,2.214084,11.7069,173.8940
181,2.207243,11.7107,173.8990
