Point No.,Normal Force [N],Gap [mm],Time [s]
1,2.140145,11.4788,118.2070
2,2.139635,11.4788,118.2120
3,2.139042,11.4788,118.2170
4,2.139635,11.4788,118.2220
5,2.140949,11.4788,118.2270
6,2.140426,11.4788,118.2320
7,2.139659,11.4788,118.2370
8,2.138602,11.4788,118.2420
9,2.135665,11.4794,118.2460
10,2.130503,11.4794,118.2510
11,2.125392,11.4819,118.2560
12,2.117713,11.4819,118.2610
13,2.109315,11.4850,118.2660
14,2.094745,11.4850,118.2710
15,2.085995,11.4894,118.2760
16,2.062053,11.4893,118.2820
17,2.041141,11.4937,118.2870
18,2.019921,11.4937,118.2920
19,2.000140,11.4993,118.2970
20,1.979233,11.4993,118.3020
21,1.956671,11.5037,118.3070
22,1.935852,11.5036,118.3120
23,1.914178,11.5086,118.3170
24,1.892701,11.5086,118.3220
25,1.869385,11.5136,118.3270
26,1.845499,11.5136,118.3320
27,1.824826,11.5186,118.3370
28,1.804363,11.5186,118.3420
29,1.783577,11.5236,118.3470
30,1.762539,11.5235,118.3510
31,1.749759,11.5285,118.3560
32,1.721758,11.5285,118.3610
33,1.707688,11.5335,118.3660
34,1.677545,11.5335,118.3710
35,1.665438,11.5385,118.3760
36,1.639088,11.5385,118.3810
37,1.626079,11.5441,118.3860
38,1.597494,11.5441,118.3910
39,1.584915,11.5484,118.3960
40,1.556446,11.5484,118.4010
41,1.542703,11.5534,118.4060
42,1.513710,11.5534,118.4110
43,1.501945,11.5584,118.4160
44,1.475586,11.5584,118.4210
45,1.462689,11.5634,118.4260
46,1.434847,11.5633,118.4310
47,1.422179,11.5683,118.4360
48,1.396521,11.5683,118.4410
49,1.383376,11.5733,118.4460
50,1.357278,11.5733,118.4510
51,1.346570,11.5783,118.4560
52,1.322455,11.5783,118.4610
53,1.309857,11.5833,118.4660
54,1.282647,11.5833,118.4710
55,1.270002,11.5889,118.4760
56,1.245382,11.5889,118.4810
57,1.233047,11.5932,118.4860
58,1.208216,11.5932,118.4910
59,1.197704,11.5982,118.4960
60,1.173351,11.5982,118.5010
61,1.160047,11.6032,118.5060
62,1.133603,11.6032,118.5110
63,1.122334,11.6082,118.5160
64,1.099546,11.6082,118.5210
65,1.088515,11.6131,118.5260
66,1.063250,11.6131,118.5310
67,1.050690,11.6181,118.5360
68,1.025060,11.6181,118.5410
69,1.012354,11.6231,118.5460
70,0.987730,11.6231,118.5510
71,0.977442,11.6281,118.5560
72,0.956077,11.6281,118.5610
73,0.944550,11.6337,118.5660
74,0.919546,11.6337,118.5710
75,0.906467,11.6387,118.5760
76,0.881796,11.6386,118.5810
77,0.869708,11.6430,118.5860
78,0.846888,11.6430,118.5910
79,0.835763,11.6480,118.5960
80,0.813594,11.6480,118.6010
81,0.800566,11.6530,118.6060
82,0.774552,11.6530,118.6110
83,0.762202,11.6580,118.6160
84,0.741347,11.6579,118.6210
85,0.730423,11.6629,118.6260
86,0.707618,11.6629,118.6310
87,0.695478,11.6679,118.6360
88,0.672630,11.6679,118.6410
89,0.659163,11.6729,118.6460
90,0.635502,11.6729,118.6510
91,0.623839,11.6779,118.6560
92,0.604143,11.6779,118.6610
93,0.591125,11.6828,118.6660
94,0.565611,11.6828,118.6710
95,0.551789,11.6878,118.6760
96,0.530185,11.6878,118.6810
97,0.516989,11.6928,118.6860
98,0.494781,11.6928,118.6910
99,0.483549,11.6978,118.6960
