Point No.,Normal Force [N],Gap [mm],Time [s]
1,1.026860,12.0181,106.0830
2,1.027365,12.0181,106.0880
3,1.027744,12.0181,106.0930
4,1.027276,12.0181,106.0980
5,1.025892,12.0187,106.1030
6,1.025088,12.0187,106.1080
7,1.024915,12.0194,106.1130
8,1.022815,12.0194,106.1180
9,1.021094,12.0212,106.1220
10,1.018957,12.0212,106.1270
11,1.012640,12.0250,106.1320
12,1.005331,12.0250,106.1370
13,1.001328,12.0293,106.1420
14,0.991471,12.0293,106.1470
15,0.983119,12.0337,106.1520
16,0.964545,12.0337,106.1580
17,0.959897,12.0387,106.1630
18,0.942787,12.0387,106.1680
19,0.935193,12.0437,106.1730
20,0.916474,12.0437,106.1780
21,0.910362,12.0480,106.1830
22,0.893902,12.0480,106.1880
23,0.886673,12.0530,106.1930
24,0.869390,12.0530,106.1980
25,0.864050,12.0586,106.2030
26,0.848889,12.0586,106.2080
27,0.842160,12.0636,106.2130
28,0.825368,12.0636,106.2180
29,0.819298,12.0680,106.2230
30,0.809642,12.0680,106.2270
31,0.795820,12.0736,106.2320
32,0.785106,12.0736,106.2370
33,0.773533,12.0786,106.2420
34,0.765546,12.0786,106.2470
35,0.751966,12.0836,106.2520
36,0.741384,12.0836,106.2570
37,0.728721,12.0879,106.2620
38,0.719874,12.0879,106.2670
39,0.706748,12.0929,106.2720
40,0.697199,12.0929,106.2770
41,0.684008,12.0979,106.2820
42,0.676320,12.0979,106.2870
43,0.662722,12.1029,106.2920
44,0.654309,12.1029,106.2970
45,0.640622,12.1079,106.3020
46,0.632714,12.1079,106.3070
47,0.618527,12.1129,106.3120
48,0.609661,12.1129,106.3170
49,0.596521,12.1185,106.3220
50,0.589815,12.1185,106.3270
51,0.574094,12.1235,106.3320
52,0.563208,12.1235,106.3370
53,0.548328,12.1285,106.3420
54,0.540262,12.1284,106.3470
55,0.524751,12.1328,106.3520
56,0.516156,12.1328,106.3570
57,0.504068,12.1378,106.3620
58,0.498153,12.1378,106.3670
59,0.485976,12.1428,106.3720
60,0.477218,12.1428,106.3770
61,0.462422,12.1478,106.3820
62,0.454407,12.1478,106.3870
63,0.439607,12.1528,106.3920
64,0.431550,12.1528,106.3970
65,0.417685,12.1577,106.4020
66,0.410835,12.1577,106.4070
67,0.395759,12.1627,106.4120
68,0.386612,12.1627,106.4170
69,0.371620,12.1683,106.4220
70,0.365022,12.1683,106.4270
71,0.354534,12.1733,106.4320
72,0.349086,12.1733,106.4370
73,0.337662,12.1783,106.4420
74,0.332841,12.1783,106.4470
75,0.321889,12.1827,106.4520
76,0.316348,12.1827,106.4570
77,0.306145,12.1877,106.4620
78,0.301875,12.1877,106.4670
79,0.289418,12.1927,106.4720
80,0.282778,12.1927,106.4770
81,0.269156,12.1977,106.4820
82,0.264082,12.1977,106.4870
83,0.251391,12.2026,106.4920
84,0.245364,12.2026,106.4970
85,0.233360,12.2076,106.5020
86,0.228548,12.2076,106.5070
87,0.214716,12.2126,106.5120
88,0.208024,12.2126,106.5170
89,0.193725,12.2182,106.5220
90,0.190091,12.2182,106.5270
91,0.177980,12.2232,106.5320
92,0.171424,12.2232,106.5370
93,0.156750,12.2276,106.5420
94,0.151980,12.2276,106.5470
95,0.138798,12.2326,106.5520
96,0.133584,12.2326,106.5570
97,0.120533,12.2376,106.5620
98,0.117288,12.2376,106.5670
99,0.105125,12.2426,106.5720
100,0.099037,12.2426,106.5770
101,0.084466,12.2475,106.5820
102,0.080210,12.2475,106.5870
103,0.066916,12.2525,106.5920
104,0.062881,12.2525,106.5970
105,0.054089,12.2575,106.6020
106,0.048894,12.2575,106.6070
107,0.034117,12.2625,106.6120
108,0.028436,12.2625,106.6170
109,0.018073,12.2675,106.6220
110,0.015511,12.2675,106.6270
111,0.005022,12.2731,106.6320
112,-0.001492,12.2731,106.6370
113,-0.017718,12.2781,106.6420
114,-0.021342,12.2781,106.6470
115,-0.032658,12.2825,106.6520
116,-0.037204,12.2825,106.6570
117,-0.044620,12.2875,106.6620
118,-0.048422,12.2875,106.6670
119,-0.064307,12.2925,106.6720
120,-0.069572,12.2925,106.6770
121,-0.082146,12.2974,106.6820
122,-0.084840,12.2974,106.6870
123,-0.095646,12.3024,106.6920
124,-0.099556,12.3024,106.6970
125,-0.114716,12.3074,106.7020
126,-0.118915,12.3074,106.7070
127,-0.133841,12.3124,106.7120
128,-0.137498,12.3124,106.7170
129,-0.147655,12.3180,106.7220
130,-0.148441,12.3180,106.7270
131,-0.164405,12.3230,106.7320
132,-0.173112,12.3230,106.7370
133,-0.190433,12.3274,106.7420
134,-0.194571,12.3274,106.7470
135,-0.206780,12.3324,106.7520
136,-0.208618,12.3324,106.7570
137,-0.221908,12.3374,106.7620
138,-0.224929,12.3374,106.7670
139,-0.238784,12.3424,106.7720
140,-0.243568,12.3424,106.7770
141,-0.257073,12.3474,106.7820
142,-0.260374,12.3473,106.7870
143,-0.276371,12.3523,106.7920
144,-0.281150,12.3523,106.7970
145,-0.295160,12.3573,106.8020
146,-0.298073,12.3573,106.8070
147,-0.310512,12.3629,106.8120
148,-0.314922,12.3629,106.8170
149,-0.327744,12.3679,106.8220
150,-0.329647,12.3679,106.8270
151,-0.343502,12.3729,106.8320
152,-0.347510,12.3729,106.8370
153,-0.361094,12.3773,106.8420
154,-0.362754,12.3773,106.8470
155,-0.375572,12.3823,106.8520
156,-0.380019,12.3823,106.8570
157,-0.392729,12.3873,106.8620
158,-0.394800,12.3873,106.8670
159,-0.408239,12.3923,106.8720
160,-0.411948,12.3923,106.8770
161,-0.425438,12.3972,106.8820
162,-0.426982,12.3972,106.8870
163,-0.439719,12.4022,106.8920
164,-0.443568,12.4022,106.8970
165,-0.456147,12.4079,106.9020
166,-0.457999,12.4079,106.9070
167,-0.471106,12.4128,106.9120
168,-0.474014,12.4128,106.9170
169,-0.486771,12.4178,106.9220
170,-0.487978,12.4178,106.9270
171,-0.500589,12.4222,106.9320
172,-0.504176,12.4222,106.9370
173,-0.517592,12.4272,106.9420
174,-0.519644,12.4272,106.9470
175,-0.533257,12.4322,106.9520
176,-0.536067,12.4322,106.9570
177,-0.549399,12.4372,106.9620
178,-0.550821,12.4372,106.9670
179,-0.562965,12.4422,106.9720
180,-0.565780,12.4422,106.9770
181,-0.578331,12.4472,106.9820
182,-0.580122,12.4472,106.9870
183,-0.593743,12.4522,106.9920
184,-0.596479,12.4521,106.9970
185,-0.609343,12.4578,107.0020
186,-0.610666,12.4578,107.0070
187,-0.623437,12.4628,107.0120
188,-0.626210,12.4628,107.0170
189,-0.638925,12.4671,107.0220
190,-0.640229,12.4671,107.0270
191,-0.653229,12.4721,107.0320
192,-0.655936,12.4721,107.0370
193,-0.669932,12.4771,107.0420
194,-0.670634,12.4771,107.0470
