Point No.,Normal Force [N],Gap [mm],Time [s]
1,4.089151,12.0812,177.0450
2,4.089016,12.0812,177.0500
3,4.089452,12.0812,177.0550
4,4.089199,12.0812,177.0600
5,4.088979,12.0812,177.0650
6,4.088408,12.0812,177.0700
7,4.087547,12.0812,177.0750
8,4.087412,12.0818,177.0800
9,4.086515,12.0818,177.0840
10,4.081661,12.0837,177.0890
11,4.076807,12.0837,177.0940
12,4.066015,12.0874,177.0990
13,4.053570,12.0874,177.1040
14,4.040219,12.0918,177.1090
15,4.025378,12.0918,177.1140
16,4.007328,12.0967,177.1200
17,3.981857,12.0967,177.1250
18,3.969320,12.1017,177.1300
19,3.942493,12.1017,177.1350
20,3.927758,12.1067,177.1400
21,3.900080,12.1067,177.1450
22,3.886523,12.1110,177.1500
23,3.861282,12.1110,177.1550
24,3.847038,12.1160,177.1600
25,3.819266,12.1160,177.1650
26,3.803844,12.1216,177.1700
27,3.777129,12.1216,177.1750
28,3.761726,12.1260,177.1800
29,3.734702,12.1260,177.1850
30,3.719935,12.1309,177.1890
31,3.704153,12.1309,177.1940
32,3.680211,12.1359,177.1990
33,3.664681,12.1359,177.2040
34,3.640482,12.1415,177.2090
35,3.627800,12.1415,177.2140
36,3.603737,12.1465,177.2190
37,3.590012,12.1465,177.2240
38,3.567968,12.1515,177.2290
39,3.555717,12.1515,177.2340
40,3.532248,12.1565,177.2390
41,3.518354,12.1565,177.2440
42,3.494342,12.1614,177.2490
43,3.482773,12.1614,177.2540
44,3.460051,12.1658,177.2590
45,3.447548,12.1658,177.2640
46,3.424840,12.1708,177.2690
47,3.413982,12.1708,177.2740
48,3.390198,12.1758,177.2790
49,3.377863,12.1757,177.2840
50,3.355839,12.1807,177.2890
51,3.346042,12.1807,177.2940
52,3.324704,12.1857,177.2990
53,3.312490,12.1857,177.3040
54,3.290438,12.1913,177.3090
55,3.280023,12.1913,177.3140
56,3.256165,12.1963,177.3190
57,3.244260,12.1963,177.3240
58,3.221216,12.2013,177.3290
59,3.211255,12.2013,177.3340
60,3.190232,12.2056,177.3390
61,3.179332,12.2056,177.3440
62,3.158649,12.2106,177.3490
63,3.149769,12.2106,177.3540
64,3.128913,12.2156,177.3590
65,3.119303,12.2156,177.3640
66,3.098855,12.2206,177.3690
67,3.090292,12.2206,177.3740
68,3.068721,12.2256,177.3790
69,3.057475,12.2256,177.3840
70,3.034726,12.2305,177.3890
71,3.025392,12.2305,177.3940
72,3.003559,12.2361,177.3990
73,2.994548,12.2361,177.4040
74,2.973809,12.2411,177.4090
75,2.966187,12.2411,177.4140
76,2.945247,12.2461,177.4190
77,2.935048,12.2461,177.4240
78,2.914001,12.2505,177.4290
79,2.906444,12.2505,177.4340
80,2.884887,12.2555,177.4390
81,2.875609,12.2554,177.4440
82,2.853126,12.2604,177.4490
83,2.845635,12.2604,177.4540
84,2.825031,12.2654,177.4590
85,2.816203,12.2654,177.4640
86,2.796073,12.2704,177.4690
87,2.789330,12.2704,177.4740
88,2.768338,12.2754,177.4790
89,2.759743,12.2754,177.4840
90,2.738728,12.2804,177.4890
91,2.733066,12.2804,177.4940
92,2.713781,12.2860,177.4990
93,2.706159,12.2860,177.5040
94,2.686949,12.2903,177.5090
95,2.681001,12.2903,177.5140
96,2.659828,12.2953,177.5190
97,2.651704,12.2953,177.5240
98,2.631265,12.3003,177.5290
99,2.626201,12.3003,177.5340
100,2.606757,12.3053,177.5390
101,2.599233,12.3053,177.5440
102,2.579658,12.3103,177.5490
103,2.573351,12.3103,177.5540
104,2.552214,12.3153,177.5590
105,2.545364,12.3153,177.5640
106,2.526285,12.3202,177.5690
107,2.521950,12.3202,177.5740
108,2.504064,12.3252,177.5790
109,2.497236,12.3252,177.5840
110,2.476854,12.3308,177.5890
111,2.471031,12.3308,177.5940
112,2.450966,12.3358,177.5990
113,2.444737,12.3358,177.6040
114,2.425215,12.3408,177.6090
115,2.420505,12.3408,177.6140
116,2.401449,12.3452,177.6190
117,2.394248,12.3452,177.6240
118,2.374768,12.3502,177.6290
119,2.370676,12.3502,177.6340
120,2.352116,12.3551,177.6390
121,2.346589,12.3551,177.6440
122,2.328651,12.3601,177.6490
123,2.324587,12.3601,177.6540
124,2.307155,12.3651,177.6590
125,2.301160,12.3651,177.6640
126,2.284462,12.3651,177.6690
127,2.281394,12.3701,177.6740
128,2.265471,12.3701,177.6790
129,2.260154,12.3757,177.6840
130,2.242727,12.3807,177.6890
131,2.238293,12.3807,177.6940
132,2.220543,12.3851,177.6990
133,2.214534,12.3851,177.7040
134,2.199444,12.3900,177.7090
135,2.196671,12.3900,177.7140
136,2.181230,12.3950,177.7190
137,2.176479,12.3950,177.7240
138,2.158626,12.4000,177.7290
139,2.155525,12.4000,177.7340
140,2.138911,12.4050,177.7390
141,2.134627,12.4050,177.7440
142,2.118340,12.4100,177.7490
143,2.115389,12.4100,177.7540
144,2.096797,12.4150,177.7590
145,2.092148,12.4150,177.7640
146,2.074136,12.4150,177.7690
147,2.072088,12.4206,177.7740
148,2.055848,12.4206,177.7790
149,2.051709,12.4256,177.7840
150,2.034627,12.4300,177.7890
151,2.031284,12.4300,177.7940
152,2.011878,12.4349,177.7990
153,2.007075,12.4349,177.8040
154,1.989273,12.4399,177.8090
155,1.988085,12.4399,177.8140
156,1.972364,12.4449,177.8190
157,1.968352,12.4449,177.8240
158,1.949680,12.4499,177.8290
159,1.946028,12.4499,177.8340
160,1.927159,12.4549,177.8390
161,1.923077,12.4549,177.8440
162,1.905411,12.4599,177.8490
163,1.904078,12.4599,177.8540
164,1.886953,12.4599,177.8590
